station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
BL0,2017-01-01 00:00:00,30.8,31.6,10.8,london_grid_409,-0.1,51.5,5.8,1019.93,91.38,221.79,15.57
BL0,2017-01-01 01:00:00,22.9,34.6,17.3,london_grid_409,-0.1,51.5,5.84,1018.73,89.96,220.34,16.49
BL0,2017-01-01 02:00:00,18.4,25.2,14.2,london_grid_409,-0.1,51.5,5.89,1017.53,88.54,219.03,17.41
BL0,2017-01-01 03:00:00,19.5,24.0,14.8,london_grid_409,-0.1,51.5,5.93,1016.33,87.12,217.86,18.35
BL0,2017-01-01 04:00:00,22.1,26.7,16.7,london_grid_409,-0.1,51.5,6.12,1015.38,87.54,216.18,18.78
BL0,2017-01-01 05:00:00,22.8,27.3,16.2,london_grid_409,-0.1,51.5,6.31,1014.42,87.96,214.58,19.23
BL0,2017-01-01 06:00:00,19.6,25.3,19.5,london_grid_409,-0.1,51.5,6.5,1013.47,88.38,213.05,19.7
BL0,2017-01-01 07:00:00,15.6,24.0,21.0,london_grid_409,-0.1,51.5,6.74,1012.91,89.11,210.84,19.22
BL0,2017-01-01 08:00:00,18.1,23.4,28.0,london_grid_409,-0.1,51.5,6.98,1012.34,89.83,208.53,18.78
BL0,2017-01-01 09:00:00,14.5,22.5,26.4,london_grid_409,-0.1,51.5,7.22,1011.78,90.56,206.1,18.36
BL0,2017-01-01 10:00:00,10.9,19.8,25.3,london_grid_409,-0.1,51.5,8.0,1011.45,88.62,211.21,18.36
BL0,2017-01-01 11:00:00,10.5,14.3,22.8,london_grid_409,-0.1,51.5,8.79,1011.12,86.69,216.27,18.51
BL0,2017-01-01 12:00:00,8.9,12.6,17.8,london_grid_409,-0.1,51.5,9.57,1010.79,84.75,221.22,18.8
BL0,2017-01-01 13:00:00,6.9,13.3,21.4,london_grid_409,-0.1,51.5,8.48,1011.01,87.75,246.31,8.26
BL0,2017-01-01 14:00:00,5.3,12.7,31.0,london_grid_409,-0.1,51.5,7.39,1011.23,90.75,339.95,7.99
BL0,2017-01-01 15:00:00,5.4,8.8,28.8,london_grid_409,-0.1,51.5,6.3,1011.44,93.74,6.49,18.45
