station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
BX9,2017-01-01 00:00:00,23.3,,,london_grid_472,0.2,51.5,5.52,1020.08,92.83,225.18,14.84
BX9,2017-01-01 01:00:00,17.5,,,london_grid_472,0.2,51.5,5.64,1018.89,90.95,222.71,16.06
BX9,2017-01-01 02:00:00,16.6,,,london_grid_472,0.2,51.5,5.75,1017.69,89.08,220.6,17.31
BX9,2017-01-01 03:00:00,18.6,,,london_grid_472,0.2,51.5,5.87,1016.5,87.2,218.77,18.58
BX9,2017-01-01 04:00:00,20.4,,,london_grid_472,0.2,51.5,6.0,1015.56,87.46,216.84,19.03
BX9,2017-01-01 05:00:00,20.5,,,london_grid_472,0.2,51.5,6.14,1014.61,87.71,214.99,19.51
BX9,2017-01-01 06:00:00,21.2,,,london_grid_472,0.2,51.5,6.27,1013.67,87.97,213.24,20.01
BX9,2017-01-01 07:00:00,17.1,,,london_grid_472,0.2,51.5,6.51,1013.12,88.82,211.49,19.39
BX9,2017-01-01 08:00:00,17.1,,,london_grid_472,0.2,51.5,6.75,1012.57,89.67,209.62,18.8
BX9,2017-01-01 09:00:00,19.1,,,london_grid_472,0.2,51.5,6.98,1012.02,90.52,207.63,18.23
BX9,2017-01-01 10:00:00,12.1,,,london_grid_472,0.2,51.5,7.81,1011.68,88.82,212.48,18.3
BX9,2017-01-01 11:00:00,6.0,,,london_grid_472,0.2,51.5,8.63,1011.34,87.12,217.26,18.51
BX9,2017-01-01 12:00:00,5.1,,,london_grid_472,0.2,51.5,9.45,1011.0,85.41,221.9,18.84
BX9,2017-01-01 13:00:00,6.2,,,london_grid_472,0.2,51.5,8.6,1011.11,88.4,242.18,10.56
BX9,2017-01-01 14:00:00,8.2,,,london_grid_472,0.2,51.5,7.74,1011.21,91.38,304.27,7.39
BX9,2017-01-01 15:00:00,2.4,,,london_grid_472,0.2,51.5,6.89,1011.32,94.37,347.78,13.56
BX9,2017-01-01 16:00:00,0.3,,,london_grid_472,0.2,51.5,6.24,1012.2,92.4,5.46,16.13
