station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
CT3,2017-01-01 00:00:00,14.720861762781569,35.8,30.8,london_grid_409,-0.1,51.5,5.8,1019.93,91.38,221.79,15.57
CT3,2017-01-01 01:00:00,14.720861762781569,28.6,31.5,london_grid_409,-0.1,51.5,5.84,1018.73,89.96,220.34,16.49
CT3,2017-01-01 02:00:00,14.720861762781569,22.8,27.3,london_grid_409,-0.1,51.5,5.89,1017.53,88.54,219.03,17.41
CT3,2017-01-01 03:00:00,14.720861762781569,20.6,23.5,london_grid_409,-0.1,51.5,5.93,1016.33,87.12,217.86,18.35
CT3,2017-01-01 04:00:00,14.720861762781569,22.2,28.0,london_grid_409,-0.1,51.5,6.12,1015.38,87.54,216.18,18.78
CT3,2017-01-01 05:00:00,14.720861762781569,27.4,25.2,london_grid_409,-0.1,51.5,6.31,1014.42,87.96,214.58,19.23
CT3,2017-01-01 06:00:00,14.720861762781569,26.2,30.3,london_grid_409,-0.1,51.5,6.5,1013.47,88.38,213.05,19.7
CT3,2017-01-01 07:00:00,14.720861762781569,23.4,33.7,london_grid_409,-0.1,51.5,6.74,1012.91,89.11,210.84,19.22
CT3,2017-01-01 08:00:00,14.720861762781569,20.8,36.2,london_grid_409,-0.1,51.5,6.98,1012.34,89.83,208.53,18.78
CT3,2017-01-01 09:00:00,14.720861762781569,29.2,34.8,london_grid_409,-0.1,51.5,7.22,1011.78,90.56,206.1,18.36
CT3,2017-01-01 10:00:00,14.720861762781569,20.2,29.7,london_grid_409,-0.1,51.5,8.0,1011.45,88.62,211.21,18.36
CT3,2017-01-01 11:00:00,14.720861762781569,16.0,28.0,london_grid_409,-0.1,51.5,8.79,1011.12,86.69,216.27,18.51
CT3,2017-01-01 12:00:00,14.720861762781569,10.8,26.5,london_grid_409,-0.1,51.5,9.57,1010.79,84.75,221.22,18.8
CT3,2017-01-01 13:00:00,14.720861762781569,19.4,28.9,london_grid_409,-0.1,51.5,8.48,1011.01,87.75,246.31,8.26
CT3,2017-01-01 14:00:00,14.720861762781569,11.4,25.0,london_grid_409,-0.1,51.5,7.39,1011.23,90.75,339.95,7.99
CT3,2017-01-01 15:00:00,14.720861762781569,15.8,19.8,london_grid_409,-0.1,51.5,6.3,1011.44,93.74,6.49,18.45
CT3,2017-01-01 16:00:00,14.720861762781569,8.6,20.0,london_grid_409,-0.1,51.5,5.86,1012.35,91.82,14.47,20.26
CT3,2017-01-01 17:00:00,14.720861762781569,5.2,16.0,london_grid_409,-0.1,51.5,5.41,1013.26,89.89,21.04,22.4
