station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
KC1,2017-01-01 00:00:00,31.7,23.2,21.3,london_grid_388,-0.2,51.5,5.91,1019.61,90.76,221.29,15.91
KC1,2017-01-01 01:00:00,29.9,23.1,25.9,london_grid_388,-0.2,51.5,5.93,1018.41,89.52,219.91,16.74
KC1,2017-01-01 02:00:00,21.8,13.9,22.6,london_grid_388,-0.2,51.5,5.95,1017.21,88.27,218.66,17.57
KC1,2017-01-01 03:00:00,19.1,12.8,23.4,london_grid_388,-0.2,51.5,5.97,1016.01,87.03,217.52,18.41
KC1,2017-01-01 04:00:00,23.7,13.8,22.6,london_grid_388,-0.2,51.5,6.17,1015.05,87.51,215.99,18.83
KC1,2017-01-01 05:00:00,25.7,14.9,24.9,london_grid_388,-0.2,51.5,6.37,1014.09,87.99,214.52,19.25
KC1,2017-01-01 06:00:00,24.4,15.1,27.9,london_grid_388,-0.2,51.5,6.56,1013.14,88.47,213.11,19.69
KC1,2017-01-01 07:00:00,20.5,13.9,30.8,london_grid_388,-0.2,51.5,6.81,1012.57,89.15,210.86,19.24
KC1,2017-01-01 08:00:00,19.2,13.8,36.0,london_grid_388,-0.2,51.5,7.05,1012.0,89.83,208.5,18.82
KC1,2017-01-01 09:00:00,14.6,12.1,34.2,london_grid_388,-0.2,51.5,7.3,1011.44,90.52,206.04,18.44
KC1,2017-01-01 10:00:00,13.7,9.2,28.2,london_grid_388,-0.2,51.5,8.06,1011.11,88.51,211.11,18.48
KC1,2017-01-01 11:00:00,10.9,8.1,23.4,london_grid_388,-0.2,51.5,8.83,1010.78,86.51,216.11,18.68
KC1,2017-01-01 12:00:00,8.5,7.8,23.1,london_grid_388,-0.2,51.5,9.6,1010.46,84.5,220.97,19.01
KC1,2017-01-01 13:00:00,11.6,10.4,31.8,london_grid_388,-0.2,51.5,8.44,1010.71,87.43,247.71,7.59
KC1,2017-01-01 14:00:00,6.6,-1.6,19.3,london_grid_388,-0.2,51.5,7.28,1010.96,90.36,349.52,8.74
KC1,2017-01-01 15:00:00,3.3,2.5,15.1,london_grid_388,-0.2,51.5,6.12,1011.21,93.29,10.86,20.42
KC1,2017-01-01 16:00:00,3.0,3.9,15.6,london_grid_388,-0.2,51.5,5.74,1012.12,91.4,16.94,21.9
KC1,2017-01-01 17:00:00,2.9,3.8,17.1,london_grid_388,-0.2,51.5,5.36,1013.03,89.52,22.21,23.58
KC1,2017-01-01 18:00:00,2.0,5.4,20.0,london_grid_388,-0.2,51.5,4.98,1013.93,87.64,26.75,25.44
KC1,2017-01-01 19:00:00,0.7,5.6,20.5,london_grid_388,-0.2,51.5,4.81,1014.85,87.71,24.99,23.74
KC1,2017-01-01 20:00:00,5.8,8.5,20.7,london_grid_388,-0.2,51.5,4.64,1015.77,87.79,22.97,22.06
KC1,2017-01-01 21:00:00,4.6,7.8,21.0,london_grid_388,-0.2,51.5,4.47,1016.69,87.87,20.62,20.42
KC1,2017-01-01 22:00:00,6.9,7.2,17.2,london_grid_388,-0.2,51.5,4.42,1017.46,87.31,21.04,20.06
KC1,2017-01-01 23:00:00,5.5,8.9,18.1,london_grid_388,-0.2,51.5,4.37,1018.22,86.75,21.48,19.7
KC1,2017-01-02 00:00:00,6.3,10.0,15.4,london_grid_388,-0.2,51.5,4.31,1018.99,86.19,21.94,19.35
KC1,2017-01-02 01:00:00,0.4,8.9,9.3,london_grid_388,-0.2,51.5,4.01,1019.53,86.6,19.1,19.94
KC1,2017-01-02 02:00:00,5.7,8.6,9.8,london_grid_388,-0.2,51.5,3.7,1020.07,87.02,16.43,20.57
KC1,2017-01-02 03:00:00,6.1,8.9,11.1,london_grid_388,-0.2,51.5,3.39,1020.61,87.43,13.93,21.25
KC1,2017-01-02 04:00:00,8.0,8.6,11.7,london_grid_388,-0.2,51.5,2.95,1021.25,88.55,15.26,19.64
KC1,2017-01-02 05:00:00,5.2,11.9,14.4,london_grid_388,-0.2,51.5,2.51,1021.89,89.67,16.82,18.05
KC1,2017-01-02 06:00:00,3.8,12.9,26.6,london_grid_388,-0.2,51.5,2.07,1022.53,90.79,18.68,16.48
KC1,2017-01-02 07:00:00,9.3,12.8,37.1,london_grid_388,-0.2,51.5,1.77,1022.99,90.99,11.21,15.89
KC1,2017-01-02 08:00:00,4.8,12.7,38.3,london_grid_388,-0.2,51.5,1.47,1023.45,91.2,3.32,15.59
KC1,2017-01-02 09:00:00,5.3,13.3,32.0,london_grid_388,-0.2,51.5,1.17,1023.9,91.4,355.27,15.59
KC1,2017-01-02 10:00:00,4.3,14.3,26.4,london_grid_388,-0.2,51.5,2.05,1024.45,87.83,356.77,16.48
KC1,2017-01-02 11:00:00,4.0,18.5,22.4,london_grid_388,-0.2,51.5,2.94,1025.0,84.26,358.12,17.38
KC1,2017-01-02 12:00:00,5.3,12.8,22.2,london_grid_388,-0.2,51.5,3.83,1025.54,80.69,359.33,18.28
KC1,2017-01-02 13:00:00,5.6,11.8,22.1,london_grid_388,-0.2,51.5,3.6,1025.48,82.08,355.36,15.84
KC1,2017-01-02 14:00:00,3.5,13.5,25.6,london_grid_388,-0.2,51.5,3.36,1025.42,83.47,349.97,13.5
KC1,2017-01-02 15:00:00,9.3,11.2,31.9,london_grid_388,-0.2,51.5,3.13,1025.36,84.85,342.42,11.33
KC1,2017-01-02 16:00:00,14.7,14.1,53.5,london_grid_388,-0.2,51.5,2.16,1025.62,87.47,336.31,11.26
KC1,2017-01-02 17:00:00,14.3,15.6,63.1,london_grid_388,-0.2,51.5,1.2,1025.87,90.08,330.2,11.32
KC1,2017-01-02 18:00:00,14.6,19.4,62.6,london_grid_388,-0.2,51.5,0.23,1026.13,92.69,324.22,11.51
KC1,2017-01-02 19:00:00,18.3,17.9,63.2,london_grid_388,-0.2,51.5,0.01,1026.1,91.95,318.34,11.1
KC1,2017-01-02 20:00:00,17.1,20.6,66.2,london_grid_388,-0.2,51.5,-0.21,1026.08,91.22,312.09,10.81
KC1,2017-01-02 21:00:00,19.7,21.8,69.3,london_grid_388,-0.2,51.5,-0.43,1026.05,90.49,305.57,10.66
KC1,2017-01-02 22:00:00,25.4,26.4,70.5,london_grid_388,-0.2,51.5,-0.44,1026.13,90.32,303.48,10.72
KC1,2017-01-02 23:00:00,20.9,20.5,64.3,london_grid_388,-0.2,51.5,-0.45,1026.2,90.15,301.41,10.79
KC1,2017-01-03 00:00:00,24.6,21.4,64.0,london_grid_388,-0.2,51.5,-0.46,1026.28,89.98,299.37,10.88
KC1,2017-01-03 01:00:00,19.6,21.0,56.5,london_grid_388,-0.2,51.5,-0.46,1026.19,90.03,292.99,10.7
