station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
TD5,2017-01-01 00:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,5.75,1016.15,91.74,220.81,14.77
TD5,2017-01-01 01:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,5.77,1014.95,90.37,218.63,15.67
TD5,2017-01-01 02:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,5.79,1013.75,89.01,216.68,16.58
TD5,2017-01-01 03:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,5.81,1012.55,87.64,214.95,17.51
TD5,2017-01-01 04:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,6.01,1011.6,88.31,213.83,17.77
TD5,2017-01-01 05:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,6.21,1010.65,88.98,212.74,18.03
TD5,2017-01-01 06:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,6.41,1009.69,89.65,211.68,18.3
TD5,2017-01-01 07:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,6.67,1009.11,90.35,209.52,18.01
TD5,2017-01-01 08:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,6.93,1008.53,91.04,207.3,17.74
TD5,2017-01-01 09:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,7.19,1007.95,91.74,205.01,17.5
TD5,2017-01-01 10:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,7.97,1007.62,89.53,210.94,17.73
TD5,2017-01-01 11:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,8.75,1007.3,87.33,216.65,18.15
TD5,2017-01-01 12:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,9.53,1006.97,85.12,222.05,18.74
TD5,2017-01-01 13:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,8.49,1007.14,88.31,242.3,8.93
TD5,2017-01-01 14:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,7.44,1007.32,91.49,329.84,6.49
TD5,2017-01-01 15:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,6.4,1007.49,94.68,5.14,15.44
TD5,2017-01-01 16:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,5.84,1008.39,92.66,16.2,18.94
TD5,2017-01-01 17:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,5.28,1009.28,90.64,23.62,22.93
TD5,2017-01-01 18:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.72,1010.17,88.63,28.78,27.18
TD5,2017-01-01 19:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.56,1011.09,88.69,26.97,25.08
TD5,2017-01-01 20:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.4,1012.01,88.76,24.83,23.01
TD5,2017-01-01 21:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.25,1012.92,88.83,22.28,20.98
TD5,2017-01-01 22:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.21,1013.69,88.34,22.95,20.71
TD5,2017-01-01 23:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.17,1014.45,87.86,23.64,20.45
TD5,2017-01-02 00:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,4.13,1015.22,87.37,24.34,20.18
TD5,2017-01-02 01:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,3.85,1015.76,87.65,21.72,20.47
TD5,2017-01-02 02:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,3.57,1016.31,87.92,19.17,20.81
TD5,2017-01-02 03:00:00,10.251726415094339,,,london_grid_366,-0.3,51.4,3.29,1016.85,88.2,16.71,21.18
