station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
CD1,2017-01-01 00:00:00,40.0,44.4,36.6,london_grid_388,-0.2,51.5,5.91,1019.61,90.76,221.29,15.91
CD1,2017-01-01 01:00:00,31.6,34.4,46.2,london_grid_388,-0.2,51.5,5.93,1018.41,89.52,219.91,16.74
CD1,2017-01-01 02:00:00,24.7,28.1,38.3,london_grid_388,-0.2,51.5,5.95,1017.21,88.27,218.66,17.57
CD1,2017-01-01 03:00:00,21.2,24.5,32.8,london_grid_388,-0.2,51.5,5.97,1016.01,87.03,217.52,18.41
CD1,2017-01-01 04:00:00,24.9,23.0,28.1,london_grid_388,-0.2,51.5,6.17,1015.05,87.51,215.99,18.83
CD1,2017-01-01 05:00:00,24.6,23.9,29.3,london_grid_388,-0.2,51.5,6.37,1014.09,87.99,214.52,19.25
CD1,2017-01-01 06:00:00,23.9,22.0,28.8,london_grid_388,-0.2,51.5,6.56,1013.14,88.47,213.11,19.69
CD1,2017-01-01 07:00:00,22.0,22.9,34.6,london_grid_388,-0.2,51.5,6.81,1012.57,89.15,210.86,19.24
CD1,2017-01-01 08:00:00,19.0,20.1,44.6,london_grid_388,-0.2,51.5,7.05,1012.0,89.83,208.5,18.82
CD1,2017-01-01 09:00:00,19.9,24.4,55.3,london_grid_388,-0.2,51.5,7.3,1011.44,90.52,206.04,18.44
CD1,2017-01-01 10:00:00,16.6,17.5,46.4,london_grid_388,-0.2,51.5,8.06,1011.11,88.51,211.11,18.48
CD1,2017-01-01 11:00:00,14.5,14.6,42.5,london_grid_388,-0.2,51.5,8.83,1010.78,86.51,216.11,18.68
CD1,2017-01-01 12:00:00,11.0,13.9,44.5,london_grid_388,-0.2,51.5,9.6,1010.46,84.5,220.97,19.01
CD1,2017-01-01 13:00:00,13.9,13.4,53.6,london_grid_388,-0.2,51.5,8.44,1010.71,87.43,247.71,7.59
CD1,2017-01-01 14:00:00,8.3,8.6,61.4,london_grid_388,-0.2,51.5,7.28,1010.96,90.36,349.52,8.74
CD1,2017-01-01 15:00:00,7.3,6.1,57.9,london_grid_388,-0.2,51.5,6.12,1011.21,93.29,10.86,20.42
CD1,2017-01-01 16:00:00,4.9,6.1,46.0,london_grid_388,-0.2,51.5,5.74,1012.12,91.4,16.94,21.9
CD1,2017-01-01 17:00:00,4.6,8.1,96.5,london_grid_388,-0.2,51.5,5.36,1013.03,89.52,22.21,23.58
CD1,2017-01-01 18:00:00,8.3,7.3,64.2,london_grid_388,-0.2,51.5,4.98,1013.93,87.64,26.75,25.44
