utc_time,station_id,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
2017-01-01 00:00:00,CD9,28.7,32.3,90.6,london_grid_409,-0.1,51.5,5.8,1019.93,91.38,221.79,15.57
2017-01-01 01:00:00,CD9,26.4,31.1,104.4,london_grid_409,-0.1,51.5,5.84,1018.73,89.96,220.34,16.49
2017-01-01 02:00:00,CD9,26.1,28.5,100.0,london_grid_409,-0.1,51.5,5.89,1017.53,88.54,219.03,17.41
2017-01-01 03:00:00,CD9,22.8,26.5,83.9,london_grid_409,-0.1,51.5,5.93,1016.33,87.12,217.86,18.35
2017-01-01 04:00:00,CD9,21.5,25.5,88.0,london_grid_409,-0.1,51.5,6.12,1015.38,87.54,216.18,18.78
2017-01-01 05:00:00,CD9,18.6,22.2,76.0,london_grid_409,-0.1,51.5,6.31,1014.42,87.96,214.58,19.23
2017-01-01 06:00:00,CD9,21.2,23.2,59.8,london_grid_409,-0.1,51.5,6.5,1013.47,88.38,213.05,19.7
2017-01-01 07:00:00,CD9,19.1,21.0,60.6,london_grid_409,-0.1,51.5,6.74,1012.91,89.11,210.84,19.22
2017-01-01 08:00:00,CD9,17.4,22.3,63.5,london_grid_409,-0.1,51.5,6.98,1012.34,89.83,208.53,18.78
2017-01-01 09:00:00,CD9,13.5,19.8,72.1,london_grid_409,-0.1,51.5,7.22,1011.78,90.56,206.1,18.36
2017-01-01 10:00:00,CD9,12.0,16.9,77.1,london_grid_409,-0.1,51.5,8.0,1011.45,88.62,211.21,18.36
2017-01-01 11:00:00,CD9,11.8,16.3,79.0,london_grid_409,-0.1,51.5,8.79,1011.12,86.69,216.27,18.51
2017-01-01 12:00:00,CD9,11.0,15.0,81.4,london_grid_409,-0.1,51.5,9.57,1010.79,84.75,221.22,18.8
2017-01-01 13:00:00,CD9,10.1,17.8,87.7,london_grid_409,-0.1,51.5,8.48,1011.01,87.75,246.31,8.26
2017-01-01 14:00:00,CD9,7.1,9.5,51.1,london_grid_409,-0.1,51.5,7.39,1011.23,90.75,339.95,7.99
2017-01-01 15:00:00,CD9,2.9,4.7,47.1,london_grid_409,-0.1,51.5,6.3,1011.44,93.74,6.49,18.45
2017-01-01 16:00:00,CD9,2.9,4.0,46.7,london_grid_409,-0.1,51.5,5.86,1012.35,91.82,14.47,20.26
2017-01-01 17:00:00,CD9,4.7,6.3,69.3,london_grid_409,-0.1,51.5,5.41,1013.26,89.89,21.04,22.4
2017-01-01 18:00:00,CD9,8.3,9.9,79.3,london_grid_409,-0.1,51.5,4.97,1014.16,87.97,26.4,24.78
2017-01-01 19:00:00,CD9,6.5,8.6,65.7,london_grid_409,-0.1,51.5,4.81,1015.08,88.07,24.62,23.09
2017-01-01 20:00:00,CD9,5.1,7.2,58.4,london_grid_409,-0.1,51.5,4.64,1016.0,88.18,22.56,21.42
2017-01-01 21:00:00,CD9,6.7,9.9,53.0,london_grid_409,-0.1,51.5,4.48,1016.92,88.29,20.16,19.78
2017-01-01 22:00:00,CD9,4.3,7.7,41.8,london_grid_409,-0.1,51.5,4.44,1017.69,87.74,20.73,19.47
2017-01-01 23:00:00,CD9,4.7,8.4,41.4,london_grid_409,-0.1,51.5,4.39,1018.46,87.19,21.32,19.15
2017-01-02 00:00:00,CD9,3.8,7.9,32.4,london_grid_409,-0.1,51.5,4.35,1019.23,86.64,21.93,18.83
2017-01-02 01:00:00,CD9,1.0,5.6,20.6,london_grid_409,-0.1,51.5,4.06,1019.77,86.93,18.93,19.45
2017-01-02 02:00:00,CD9,1.5,5.5,18.7,london_grid_409,-0.1,51.5,3.77,1020.3,87.23,16.11,20.12
2017-01-02 03:00:00,CD9,0.3,4.5,19.0,london_grid_409,-0.1,51.5,3.48,1020.84,87.52,13.49,20.84
2017-01-02 04:00:00,CD9,3.5,7.6,21.9,london_grid_409,-0.1,51.5,3.01,1021.49,88.68,14.77,19.22
2017-01-02 05:00:00,CD9,2.4,8.8,41.5,london_grid_409,-0.1,51.5,2.54,1022.13,89.83,16.29,17.61
2017-01-02 06:00:00,CD9,3.5,11.1,38.0,london_grid_409,-0.1,51.5,2.07,1022.78,90.99,18.11,16.01
2017-01-02 07:00:00,CD9,3.5,11.4,59.4,london_grid_409,-0.1,51.5,1.77,1023.23,91.21,10.6,15.44
2017-01-02 08:00:00,CD9,1.8,10.0,75.4,london_grid_409,-0.1,51.5,1.48,1023.68,91.43,2.66,15.14
2017-01-02 09:00:00,CD9,2.9,11.0,75.9,london_grid_409,-0.1,51.5,1.18,1024.13,91.65,354.56,15.15
