station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
CR8,2017-01-01 00:00:00,30.0,82040.41735837623,-33181.47765446345,london_grid_408,-0.1,51.4,5.54,1015.62,92.97,222.2,14.12
CR8,2017-01-01 01:00:00,18.0,82059.38985740603,-33182.1564368398,london_grid_408,-0.1,51.4,5.58,1014.43,91.23,219.58,15.24
CR8,2017-01-01 02:00:00,23.0,82078.35750611596,-33182.83453794608,london_grid_408,-0.1,51.4,5.63,1013.24,89.49,217.33,16.39
CR8,2017-01-01 03:00:00,19.0,82097.32030450608,-33183.51195778232,london_grid_408,-0.1,51.4,5.68,1012.05,87.74,215.37,17.56
CR8,2017-01-01 04:00:00,21.0,82116.27825257635,-33184.18869634848,london_grid_408,-0.1,51.4,5.86,1011.11,88.39,213.93,17.81
CR8,2017-01-01 05:00:00,25.0,82135.2313503268,-33184.86475364459,london_grid_408,-0.1,51.4,6.05,1010.17,89.04,212.53,18.08
CR8,2017-01-01 06:00:00,20.0,82154.17959775742,-33185.540129670655,london_grid_408,-0.1,51.4,6.23,1009.22,89.68,211.18,18.36
CR8,2017-01-01 07:00:00,15.0,82173.12299486822,-33186.21482442666,london_grid_408,-0.1,51.4,6.49,1008.65,90.45,209.15,17.95
CR8,2017-01-01 08:00:00,19.0,82192.06154165916,-33186.8888379126,london_grid_408,-0.1,51.4,6.74,1008.08,91.22,207.03,17.57
CR8,2017-01-01 09:00:00,17.0,82210.99523813027,-33187.562170128476,london_grid_408,-0.1,51.4,7.0,1007.5,91.99,204.82,17.21
CR8,2017-01-01 10:00:00,13.0,82229.92408428153,-33188.2348210743,london_grid_408,-0.1,51.4,7.79,1007.17,90.07,210.7,17.33
CR8,2017-01-01 11:00:00,9.0,82248.84808011299,-33188.906790750065,london_grid_408,-0.1,51.4,8.57,1006.84,88.15,216.44,17.64
CR8,2017-01-01 12:00:00,5.0,82267.7672256246,-33189.57807915576,london_grid_408,-0.1,51.4,9.36,1006.51,86.23,221.93,18.11
CR8,2017-01-01 13:00:00,6.0,82286.68152081638,-33190.24868629141,london_grid_408,-0.1,51.4,8.46,1006.62,89.24,239.68,9.76
CR8,2017-01-01 14:00:00,7.0,82305.59096568835,-33190.91861215701,london_grid_408,-0.1,51.4,7.56,1006.72,92.25,307.29,5.97
CR8,2017-01-01 15:00:00,6.0,82324.49556024047,-33191.58785675254,london_grid_408,-0.1,51.4,6.67,1006.83,95.27,354.95,12.21
CR8,2017-01-01 16:00:00,7.0,82343.39530447272,-33192.25642007801,london_grid_408,-0.1,51.4,6.01,1007.71,93.29,12.38,16.24
CR8,2017-01-01 17:00:00,5.0,82362.29019838516,-33192.924302133426,london_grid_408,-0.1,51.4,5.35,1008.58,91.31,22.34,21.15
CR8,2017-01-01 18:00:00,5.0,82381.18024197778,-33193.591502918774,london_grid_408,-0.1,51.4,4.69,1009.46,89.34,28.43,26.45
CR8,2017-01-01 19:00:00,8.0,82400.06543525052,-33194.25802243407,london_grid_408,-0.1,51.4,4.53,1010.38,89.38,26.6,24.3
CR8,2017-01-01 20:00:00,8.0,82418.94577820349,-33194.923860679315,london_grid_408,-0.1,51.4,4.38,1011.29,89.42,24.41,22.18
CR8,2017-01-01 21:00:00,9.0,82437.8212708366,-33195.58901765449,london_grid_408,-0.1,51.4,4.23,1012.21,89.46,21.77,20.1
CR8,2017-01-01 22:00:00,9.0,82456.6919131499,-33196.253493359625,london_grid_408,-0.1,51.4,4.2,1012.98,89.03,22.49,19.82
CR8,2017-01-01 23:00:00,9.0,82475.55770514332,-33196.917287794684,london_grid_408,-0.1,51.4,4.18,1013.74,88.6,23.22,19.55
CR8,2017-01-02 00:00:00,8.0,82494.41864681694,-33197.58040095969,london_grid_408,-0.1,51.4,4.15,1014.51,88.18,23.97,19.28
CR8,2017-01-02 01:00:00,8.0,82513.2747381707,-33198.24283285464,london_grid_408,-0.1,51.4,3.91,1015.05,88.26,21.17,19.66
CR8,2017-01-02 02:00:00,7.0,82532.12597920466,-33198.904583479525,london_grid_408,-0.1,51.4,3.66,1015.58,88.34,18.48,20.09
CR8,2017-01-02 03:00:00,10.0,82550.97236991875,-33199.56565283436,london_grid_408,-0.1,51.4,3.41,1016.12,88.42,15.91,20.56
CR8,2017-01-02 04:00:00,8.0,82569.81391031304,-33200.22604091914,london_grid_408,-0.1,51.4,2.89,1016.77,89.69,16.81,19.15
CR8,2017-01-02 05:00:00,7.0,82588.65060038747,-33200.88574773385,london_grid_408,-0.1,51.4,2.37,1017.42,90.96,17.86,17.74
CR8,2017-01-02 06:00:00,7.0,82607.48244014208,-33201.54477327851,london_grid_408,-0.1,51.4,1.86,1018.07,92.23,19.08,16.34
CR8,2017-01-02 07:00:00,8.0,82626.30942957682,-33202.20311755311,london_grid_408,-0.1,51.4,1.54,1018.53,92.57,12.22,15.64
CR8,2017-01-02 08:00:00,7.0,82645.13156869178,-33202.86078055765,london_grid_408,-0.1,51.4,1.22,1018.99,92.91,4.83,15.17
CR8,2017-01-02 09:00:00,7.0,82663.94885748687,-33203.51776229213,london_grid_408,-0.1,51.4,0.9,1019.45,93.25,357.12,14.98
CR8,2017-01-02 10:00:00,7.0,82682.76129596216,-33204.17406275655,london_grid_408,-0.1,51.4,1.84,1020.01,89.6,358.59,16.08
CR8,2017-01-02 11:00:00,6.0,82701.5688841176,-33204.82968195092,london_grid_408,-0.1,51.4,2.77,1020.57,85.94,359.87,17.19
CR8,2017-01-02 12:00:00,6.0,82720.3716219532,-33205.48461987523,london_grid_408,-0.1,51.4,3.7,1021.13,82.28,1.0,18.31
CR8,2017-01-02 13:00:00,7.0,82739.16950946898,-33206.13887652948,london_grid_408,-0.1,51.4,3.47,1021.08,83.53,357.05,16.03
CR8,2017-01-02 14:00:00,10.0,82757.96254666492,-33206.79245191367,london_grid_408,-0.1,51.4,3.23,1021.04,84.77,351.84,13.86
CR8,2017-01-02 15:00:00,12.0,82776.750733541,-33207.4453460278,london_grid_408,-0.1,51.4,2.99,1020.99,86.02,344.78,11.84
CR8,2017-01-02 16:00:00,10.0,82795.5340700973,-33208.09755887187,london_grid_408,-0.1,51.4,1.98,1021.26,88.86,338.7,11.47
CR8,2017-01-02 17:00:00,17.0,82814.31255633371,-33208.74909044588,london_grid_408,-0.1,51.4,0.97,1021.53,91.69,332.29,11.24
CR8,2017-01-02 18:00:00,30.0,82833.08619225031,-33209.39994074985,london_grid_408,-0.1,51.4,-0.04,1021.79,94.53,325.7,11.15
