station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
GB0,2017-01-01 00:00:00,-278.3705509733375,2.445820365089762,10.299951205129545,london_grid_451,0.1,51.5,5.61,1020.16,92.41,223.73,15.04
GB0,2017-01-01 01:00:00,-283.03021337937446,-1.5062593129537603,4.900334698276349,london_grid_451,0.1,51.5,5.7,1018.97,90.68,221.74,16.15
GB0,2017-01-01 02:00:00,-287.6010755026272,-5.456239034130567,-0.4988495205595847,london_grid_451,0.1,51.5,5.79,1017.77,88.94,220.01,17.28
GB0,2017-01-01 03:00:00,-292.08313734309604,-9.404118798440656,-5.897601451378256,london_grid_451,0.1,51.5,5.88,1016.58,87.2,218.49,18.43
GB0,2017-01-01 04:00:00,-296.47639890078057,-13.349898605884041,-11.295921094179691,london_grid_451,0.1,51.5,6.04,1015.63,87.51,216.61,18.88
GB0,2017-01-01 05:00:00,-300.78086017568114,-17.293578456460697,-16.693808448963832,london_grid_451,0.1,51.5,6.19,1014.68,87.82,214.82,19.36
GB0,2017-01-01 06:00:00,-304.9965211677977,-21.235158350170646,-22.09126351573074,london_grid_451,0.1,51.5,6.35,1013.73,88.13,213.12,19.85
GB0,2017-01-01 07:00:00,-309.12338187713004,-25.17463828701388,-27.488286294480382,london_grid_451,0.1,51.5,6.59,1013.18,88.94,211.16,19.3
GB0,2017-01-01 08:00:00,-313.16144230367837,-29.112018266990393,-32.88487678521277,london_grid_451,0.1,51.5,6.82,1012.63,89.75,209.09,18.76
GB0,2017-01-01 09:00:00,-317.1107024474425,-33.047298290100194,-38.28103498792789,london_grid_451,0.1,51.5,7.06,1012.07,90.56,206.89,18.26
GB0,2017-01-01 10:00:00,-320.9711623084226,-36.98047835634329,-43.67676090262577,london_grid_451,0.1,51.5,7.87,1011.74,88.77,211.89,18.27
GB0,2017-01-01 11:00:00,-324.7428218866187,-40.911558465719665,-49.07205452930638,london_grid_451,0.1,51.5,8.69,1011.4,86.99,216.85,18.43
GB0,2017-01-01 12:00:00,-328.42568118203064,-44.8405386182293,-54.4669158679697,london_grid_451,0.1,51.5,9.5,1011.07,85.21,221.69,18.72
GB0,2017-01-01 13:00:00,-332.0197401946584,-48.767418813872254,-59.86134491861581,london_grid_451,0.1,51.5,8.56,1011.21,88.23,243.53,9.74
GB0,2017-01-01 14:00:00,-335.52499892450214,-52.69219905264848,-65.25534168124464,london_grid_451,0.1,51.5,7.62,1011.35,91.26,316.63,7.28
GB0,2017-01-01 15:00:00,-338.94145737156174,-56.61487933455799,-70.64890615585621,london_grid_451,0.1,51.5,6.68,1011.5,94.28,355.12,14.98
GB0,2017-01-01 16:00:00,-342.26911553583733,-60.5354596596008,-76.04203834245052,london_grid_451,0.1,51.5,6.1,1012.39,92.32,8.74,17.38
GB0,2017-01-01 17:00:00,-345.50797341732886,-64.45394002777687,-81.43473824102757,london_grid_451,0.1,51.5,5.53,1013.29,90.35,18.64,20.5
GB0,2017-01-01 18:00:00,-348.65803101603615,-68.37032043908624,-86.82700585158737,london_grid_451,0.1,51.5,4.95,1014.18,88.38,25.77,24.07
GB0,2017-01-01 19:00:00,-351.7192883319595,-72.28460089352889,-92.21884117412989,london_grid_451,0.1,51.5,4.8,1015.1,88.49,23.96,22.28
GB0,2017-01-01 20:00:00,-354.6917453650987,-76.19678139110484,-97.61024420865519,london_grid_451,0.1,51.5,4.65,1016.03,88.59,21.84,20.52
