station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
GN3,2017-01-01 00:00:00,59.6,47.5,18.4,london_grid_451,0.1,51.5,5.61,1020.16,92.41,223.73,15.04
GN3,2017-01-01 01:00:00,25.6,28.7,19.9,london_grid_451,0.1,51.5,5.7,1018.97,90.68,221.74,16.15
GN3,2017-01-01 02:00:00,19.0,25.8,19.2,london_grid_451,0.1,51.5,5.79,1017.77,88.94,220.01,17.28
GN3,2017-01-01 03:00:00,19.1,23.0,14.0,london_grid_451,0.1,51.5,5.88,1016.58,87.2,218.49,18.43
GN3,2017-01-01 04:00:00,20.7,23.2,10.5,london_grid_451,0.1,51.5,6.04,1015.63,87.51,216.61,18.88
GN3,2017-01-01 05:00:00,23.8,20.3,11.1,london_grid_451,0.1,51.5,6.19,1014.68,87.82,214.82,19.36
GN3,2017-01-01 06:00:00,24.1,29.4,11.1,london_grid_451,0.1,51.5,6.35,1013.73,88.13,213.12,19.85
GN3,2017-01-01 07:00:00,19.6,23.8,12.2,london_grid_451,0.1,51.5,6.59,1013.18,88.94,211.16,19.3
GN3,2017-01-01 08:00:00,16.3,22.4,15.1,london_grid_451,0.1,51.5,6.82,1012.63,89.75,209.09,18.76
GN3,2017-01-01 09:00:00,15.7,22.6,19.7,london_grid_451,0.1,51.5,7.06,1012.07,90.56,206.89,18.26
GN3,2017-01-01 10:00:00,12.8,21.6,18.6,london_grid_451,0.1,51.5,7.87,1011.74,88.77,211.89,18.27
GN3,2017-01-01 11:00:00,10.4,13.2,24.4,london_grid_451,0.1,51.5,8.69,1011.4,86.99,216.85,18.43
GN3,2017-01-01 12:00:00,8.0,15.0,26.7,london_grid_451,0.1,51.5,9.5,1011.07,85.21,221.69,18.72
GN3,2017-01-01 13:00:00,8.8,14.3,31.3,london_grid_451,0.1,51.5,8.56,1011.21,88.23,243.53,9.74
GN3,2017-01-01 14:00:00,5.5,12.8,30.1,london_grid_451,0.1,51.5,7.62,1011.35,91.26,316.63,7.28
GN3,2017-01-01 15:00:00,0.9,5.0,11.6,london_grid_451,0.1,51.5,6.68,1011.5,94.28,355.12,14.98
GN3,2017-01-01 16:00:00,1.6,3.8,9.8,london_grid_451,0.1,51.5,6.1,1012.39,92.32,8.74,17.38
GN3,2017-01-01 17:00:00,0.9,4.5,9.8,london_grid_451,0.1,51.5,5.53,1013.29,90.35,18.64,20.5
