station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
GR4,2017-01-01 00:00:00,31.2,30.5,8.5,london_grid_451,0.1,51.5,5.61,1020.16,92.41,223.73,15.04
GR4,2017-01-01 01:00:00,23.4,42.7,7.34793232105851,london_grid_451,0.1,51.5,5.7,1018.97,90.68,221.74,16.15
GR4,2017-01-01 02:00:00,19.9,9.8,7.9,london_grid_451,0.1,51.5,5.79,1017.77,88.94,220.01,17.28
GR4,2017-01-01 03:00:00,20.4,25.0,6.5,london_grid_451,0.1,51.5,5.88,1016.58,87.2,218.49,18.43
GR4,2017-01-01 04:00:00,22.9,29.2,6.0,london_grid_451,0.1,51.5,6.04,1015.63,87.51,216.61,18.88
GR4,2017-01-01 05:00:00,22.4,-1.1,4.9,london_grid_451,0.1,51.5,6.19,1014.68,87.82,214.82,19.36
GR4,2017-01-01 06:00:00,25.0,14.3,5.7,london_grid_451,0.1,51.5,6.35,1013.73,88.13,213.12,19.85
GR4,2017-01-01 07:00:00,19.0,21.1,6.2,london_grid_451,0.1,51.5,6.59,1013.18,88.94,211.16,19.3
GR4,2017-01-01 08:00:00,19.5,5.7,8.4,london_grid_451,0.1,51.5,6.82,1012.63,89.75,209.09,18.76
GR4,2017-01-01 09:00:00,18.9,9.2,10.1,london_grid_451,0.1,51.5,7.06,1012.07,90.56,206.89,18.26
GR4,2017-01-01 10:00:00,13.4,12.5,10.6,london_grid_451,0.1,51.5,7.87,1011.74,88.77,211.89,18.27
GR4,2017-01-01 11:00:00,10.6,20.4,9.9,london_grid_451,0.1,51.5,8.69,1011.4,86.99,216.85,18.43
GR4,2017-01-01 12:00:00,11.2,14.4,11.8,london_grid_451,0.1,51.5,9.5,1011.07,85.21,221.69,18.72
GR4,2017-01-01 13:00:00,11.0,9.1,13.8,london_grid_451,0.1,51.5,8.56,1011.21,88.23,243.53,9.74
GR4,2017-01-01 14:00:00,7.5,7.8,15.7,london_grid_451,0.1,51.5,7.62,1011.35,91.26,316.63,7.28
GR4,2017-01-01 15:00:00,4.6,5.0,10.4,london_grid_451,0.1,51.5,6.68,1011.5,94.28,355.12,14.98
GR4,2017-01-01 16:00:00,7.0,16.8,7.5,london_grid_451,0.1,51.5,6.1,1012.39,92.32,8.74,17.38
GR4,2017-01-01 17:00:00,6.5,-11.8,5.5,london_grid_451,0.1,51.5,5.53,1013.29,90.35,18.64,20.5
GR4,2017-01-01 18:00:00,2.8,-1.9,4.9,london_grid_451,0.1,51.5,4.95,1014.18,88.38,25.77,24.07
GR4,2017-01-01 19:00:00,7.0,31.8,6.5,london_grid_451,0.1,51.5,4.8,1015.1,88.49,23.96,22.28
GR4,2017-01-01 20:00:00,5.8,7.0,6.6,london_grid_451,0.1,51.5,4.65,1016.03,88.59,21.84,20.52
GR4,2017-01-01 21:00:00,6.2,12.4,10.2,london_grid_451,0.1,51.5,4.51,1016.95,88.7,19.32,18.8
GR4,2017-01-01 22:00:00,7.8,8.5,10.8,london_grid_451,0.1,51.5,4.48,1017.73,88.18,20.14,18.55
GR4,2017-01-01 23:00:00,8.8,0.1,9.6,london_grid_451,0.1,51.5,4.45,1018.5,87.66,20.97,18.31
GR4,2017-01-02 00:00:00,6.6,14.6,8.0,london_grid_451,0.1,51.5,4.42,1019.27,87.14,21.82,18.08
GR4,2017-01-02 01:00:00,6.6,5.3,7.472273635419975,london_grid_451,0.1,51.5,4.16,1019.8,87.21,18.63,18.71
GR4,2017-01-02 02:00:00,9.1,16.5,6.2,london_grid_451,0.1,51.5,3.91,1020.33,87.28,15.66,19.39
GR4,2017-01-02 03:00:00,5.1,-3.9,3.7,london_grid_451,0.1,51.5,3.66,1020.86,87.35,12.89,20.12
GR4,2017-01-02 04:00:00,8.2,3.4,7.1,london_grid_451,0.1,51.5,3.15,1021.51,88.52,14.08,18.61
GR4,2017-01-02 05:00:00,6.4,3.9,6.7,london_grid_451,0.1,51.5,2.64,1022.16,89.7,15.47,17.11
GR4,2017-01-02 06:00:00,7.5,34.4,11.7,london_grid_451,0.1,51.5,2.13,1022.81,90.87,17.14,15.63
GR4,2017-01-02 07:00:00,7.8,18.4,17.7,london_grid_451,0.1,51.5,1.84,1023.25,91.14,9.66,14.91
GR4,2017-01-02 08:00:00,9.5,14.2,17.8,london_grid_451,0.1,51.5,1.54,1023.69,91.42,1.58,14.46
GR4,2017-01-02 09:00:00,6.7,9.1,17.9,london_grid_451,0.1,51.5,1.24,1024.12,91.69,353.17,14.31
GR4,2017-01-02 10:00:00,7.7,24.5,17.4,london_grid_451,0.1,51.5,2.13,1024.68,88.34,354.52,15.66
GR4,2017-01-02 11:00:00,7.8,15.9,15.7,london_grid_451,0.1,51.5,3.01,1025.23,84.99,355.66,17.0
GR4,2017-01-02 12:00:00,7.8,26.7,11.8,london_grid_451,0.1,51.5,3.9,1025.78,81.64,356.63,18.36
GR4,2017-01-02 13:00:00,9.5,16.6,11.8,london_grid_451,0.1,51.5,3.63,1025.72,82.96,352.58,16.01
GR4,2017-01-02 14:00:00,7.8,2.9,14.8,london_grid_451,0.1,51.5,3.35,1025.67,84.28,347.16,13.76
GR4,2017-01-02 15:00:00,8.9,3.5,22.6,london_grid_451,0.1,51.5,3.08,1025.61,85.6,339.73,11.69
GR4,2017-01-02 16:00:00,10.0,3.6,26.5,london_grid_451,0.1,51.5,2.14,1025.87,88.31,333.95,11.49
GR4,2017-01-02 17:00:00,19.4,20.0,38.8,london_grid_451,0.1,51.5,1.19,1026.13,91.02,328.02,11.41
GR4,2017-01-02 18:00:00,18.2,25.6,48.6,london_grid_451,0.1,51.5,0.25,1026.4,93.72,322.08,11.45
GR4,2017-01-02 19:00:00,14.0,23.8,49.3,london_grid_451,0.1,51.5,0.03,1026.38,92.91,315.88,11.04
GR4,2017-01-02 20:00:00,20.1,24.2,51.3,london_grid_451,0.1,51.5,-0.18,1026.36,92.09,309.28,10.77
GR4,2017-01-02 21:00:00,27.0,66.9,48.6,london_grid_451,0.1,51.5,-0.4,1026.34,91.27,302.43,10.64
GR4,2017-01-02 22:00:00,24.7,22.5,43.9,london_grid_451,0.1,51.5,-0.41,1026.41,90.66,299.68,10.72
