station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
HR1,2017-01-01 00:00:00,178.9894151007307,70.8,22.2,london_grid_368,-0.3,51.6,5.93,1016.21,90.72,222.42,16.88
HR1,2017-01-01 01:00:00,175.95435023542265,34.8,17.4,london_grid_368,-0.3,51.6,5.91,1015.0,89.98,220.5,17.63
HR1,2017-01-01 02:00:00,172.91790499177472,25.9,21.9,london_grid_368,-0.3,51.6,5.89,1013.79,89.23,218.74,18.39
HR1,2017-01-01 03:00:00,169.88007936978684,23.1,19.6,london_grid_368,-0.3,51.6,5.87,1012.58,88.48,217.13,19.17
HR1,2017-01-01 04:00:00,166.84087336945905,22.2,18.7,london_grid_368,-0.3,51.6,6.06,1011.62,88.83,216.13,19.56
HR1,2017-01-01 05:00:00,163.8002869907913,22.7,19.4,london_grid_368,-0.3,51.6,6.26,1010.67,89.19,215.16,19.95
HR1,2017-01-01 06:00:00,160.75832023378365,21.8,22.8,london_grid_368,-0.3,51.6,6.45,1009.71,89.54,214.24,20.34
HR1,2017-01-01 07:00:00,157.71497309843613,19.4,25.9,london_grid_368,-0.3,51.6,6.66,1009.17,90.24,212.04,19.69
HR1,2017-01-01 08:00:00,154.6702455847486,18.9,34.0,london_grid_368,-0.3,51.6,6.86,1008.63,90.94,209.7,19.06
HR1,2017-01-01 09:00:00,151.62413769272123,19.8,31.2,london_grid_368,-0.3,51.6,7.07,1008.09,91.65,207.2,18.46
HR1,2017-01-01 10:00:00,148.57664942235385,18.6,39.4,london_grid_368,-0.3,51.6,7.7,1007.81,90.4,212.88,18.1
HR1,2017-01-01 11:00:00,145.5277807736466,15.8,31.7,london_grid_368,-0.3,51.6,8.33,1007.52,89.16,218.72,17.93
HR1,2017-01-01 12:00:00,142.47753174659942,12.5,28.4,london_grid_368,-0.3,51.6,8.96,1007.24,87.91,224.62,17.94
HR1,2017-01-01 13:00:00,139.4259023412123,7.785522292887647,15.4,london_grid_368,-0.3,51.6,7.78,1007.61,89.22,262.75,5.59
HR1,2017-01-01 14:00:00,136.37289255748533,4.6,7.8,london_grid_368,-0.3,51.6,6.6,1007.98,90.53,7.59,11.46
HR1,2017-01-01 15:00:00,133.31850239541834,5.0,7.8,london_grid_368,-0.3,51.6,5.42,1008.35,91.83,20.1,24.94
HR1,2017-01-01 16:00:00,130.2627318550115,3.6,8.7,london_grid_368,-0.3,51.6,5.2,1009.23,90.49,21.95,25.39
HR1,2017-01-01 17:00:00,127.2055809362647,4.6,9.4,london_grid_368,-0.3,51.6,4.99,1010.12,89.14,23.73,25.87
HR1,2017-01-01 18:00:00,124.14704963917798,4.0,9.0,london_grid_368,-0.3,51.6,4.78,1011.0,87.79,25.45,26.36
HR1,2017-01-01 19:00:00,121.08713796375133,5.0,10.5,london_grid_368,-0.3,51.6,4.58,1011.91,87.92,23.59,24.36
HR1,2017-01-01 20:00:00,118.02584590998478,6.2,10.8,london_grid_368,-0.3,51.6,4.37,1012.81,88.05,21.4,22.38
HR1,2017-01-01 21:00:00,114.96317347787829,5.4,9.6,london_grid_368,-0.3,51.6,4.17,1013.72,88.18,18.8,20.44
HR1,2017-01-01 22:00:00,111.89912066743187,7.6,9.6,london_grid_368,-0.3,51.6,4.07,1014.48,87.73,18.69,20.21
HR1,2017-01-01 23:00:00,108.83368747864554,8.2,8.0,london_grid_368,-0.3,51.6,3.98,1015.25,87.28,18.58,19.98
HR1,2017-01-02 00:00:00,105.7668739115193,8.2,8.4,london_grid_368,-0.3,51.6,3.88,1016.01,86.83,18.46,19.75
HR1,2017-01-02 01:00:00,102.69867996605312,6.1,7.0,london_grid_368,-0.3,51.6,3.49,1016.55,87.84,16.21,20.18
