station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
MY7,2017-01-01 00:00:00,31.5,41.7,2.74113423863796,london_grid_388,-0.2,51.5,5.91,1019.61,90.76,221.29,15.91
MY7,2017-01-01 01:00:00,33.6,39.9,2.910172033003842,london_grid_388,-0.2,51.5,5.93,1018.41,89.52,219.91,16.74
MY7,2017-01-01 02:00:00,25.6,32.3,3.0781902774009917,london_grid_388,-0.2,51.5,5.95,1017.21,88.27,218.66,17.57
MY7,2017-01-01 03:00:00,23.1,33.8,3.2451889718294096,london_grid_388,-0.2,51.5,5.97,1016.01,87.03,217.52,18.41
MY7,2017-01-01 04:00:00,23.1,32.2,3.4111681162890957,london_grid_388,-0.2,51.5,6.17,1015.05,87.51,215.99,18.83
MY7,2017-01-01 05:00:00,24.7,31.3,3.5761277107800495,london_grid_388,-0.2,51.5,6.37,1014.09,87.99,214.52,19.25
MY7,2017-01-01 06:00:00,24.0,28.4,3.740067755302271,london_grid_388,-0.2,51.5,6.56,1013.14,88.47,213.11,19.69
MY7,2017-01-01 07:00:00,21.0,28.1,3.9029882498557606,london_grid_388,-0.2,51.5,6.81,1012.57,89.15,210.86,19.24
MY7,2017-01-01 08:00:00,23.0,51.8,4.064889194440518,london_grid_388,-0.2,51.5,7.05,1012.0,89.83,208.5,18.82
MY7,2017-01-01 09:00:00,18.1,27.6,4.225770589056544,london_grid_388,-0.2,51.5,7.3,1011.44,90.52,206.04,18.44
MY7,2017-01-01 10:00:00,14.0,23.9,4.385632433703837,london_grid_388,-0.2,51.5,8.06,1011.11,88.51,211.11,18.48
MY7,2017-01-01 11:00:00,15.8,21.2,4.544474728382398,london_grid_388,-0.2,51.5,8.83,1010.78,86.51,216.11,18.68
MY7,2017-01-01 12:00:00,13.4,20.0,4.702297473092228,london_grid_388,-0.2,51.5,9.6,1010.46,84.5,220.97,19.01
MY7,2017-01-01 13:00:00,14.3,29.3,4.859100667833324,london_grid_388,-0.2,51.5,8.44,1010.71,87.43,247.71,7.59
MY7,2017-01-01 14:00:00,6.6,8.2,5.01488431260569,london_grid_388,-0.2,51.5,7.28,1010.96,90.36,349.52,8.74
MY7,2017-01-01 15:00:00,1.9,3.8,5.1696484074093245,london_grid_388,-0.2,51.5,6.12,1011.21,93.29,10.86,20.42
MY7,2017-01-01 16:00:00,0.8,3.2,5.323392952244224,london_grid_388,-0.2,51.5,5.74,1012.12,91.4,16.94,21.9
MY7,2017-01-01 17:00:00,2.7,3.6,5.476117947110394,london_grid_388,-0.2,51.5,5.36,1013.03,89.52,22.21,23.58
MY7,2017-01-01 18:00:00,3.7,4.6,5.627823392007832,london_grid_388,-0.2,51.5,4.98,1013.93,87.64,26.75,25.44
MY7,2017-01-01 19:00:00,2.9,5.8,5.7785092869365355,london_grid_388,-0.2,51.5,4.81,1014.85,87.71,24.99,23.74
MY7,2017-01-01 20:00:00,4.0,6.2,5.928175631896509,london_grid_388,-0.2,51.5,4.64,1015.77,87.79,22.97,22.06
MY7,2017-01-01 21:00:00,5.7,8.7,6.076822426887749,london_grid_388,-0.2,51.5,4.47,1016.69,87.87,20.62,20.42
MY7,2017-01-01 22:00:00,5.0,7.5,6.224449671910258,london_grid_388,-0.2,51.5,4.42,1017.46,87.31,21.04,20.06
