station_id,utc_time,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
ST5,2017-01-01 00:00:00,25.0,29.0,14.5,london_grid_408,-0.1,51.4,5.54,1015.62,92.97,222.2,14.12
ST5,2017-01-01 01:00:00,21.0,25.0,24.0,london_grid_408,-0.1,51.4,5.58,1014.43,91.23,219.58,15.24
ST5,2017-01-01 02:00:00,20.0,23.0,28.1,london_grid_408,-0.1,51.4,5.63,1013.24,89.49,217.33,16.39
ST5,2017-01-01 03:00:00,22.0,21.0,20.6,london_grid_408,-0.1,51.4,5.68,1012.05,87.74,215.37,17.56
ST5,2017-01-01 04:00:00,22.0,26.0,34.6,london_grid_408,-0.1,51.4,5.86,1011.11,88.39,213.93,17.81
ST5,2017-01-01 05:00:00,24.0,29.0,23.8,london_grid_408,-0.1,51.4,6.05,1010.17,89.04,212.53,18.08
ST5,2017-01-01 06:00:00,16.0,23.0,17.2,london_grid_408,-0.1,51.4,6.23,1009.22,89.68,211.18,18.36
ST5,2017-01-01 07:00:00,20.0,27.0,15.2,london_grid_408,-0.1,51.4,6.49,1008.65,90.45,209.15,17.95
ST5,2017-01-01 08:00:00,20.0,25.0,20.6,london_grid_408,-0.1,51.4,6.74,1008.08,91.22,207.03,17.57
ST5,2017-01-01 09:00:00,22.0,23.0,21.7,london_grid_408,-0.1,51.4,7.0,1007.5,91.99,204.82,17.21
ST5,2017-01-01 10:00:00,9.0,17.0,18.9,london_grid_408,-0.1,51.4,7.79,1007.17,90.07,210.7,17.33
ST5,2017-01-01 11:00:00,8.0,10.0,19.6,london_grid_408,-0.1,51.4,8.57,1006.84,88.15,216.44,17.64
ST5,2017-01-01 12:00:00,11.0,10.0,19.8,london_grid_408,-0.1,51.4,9.36,1006.51,86.23,221.93,18.11
ST5,2017-01-01 13:00:00,9.0,8.0,29.0,london_grid_408,-0.1,51.4,8.46,1006.62,89.24,239.68,9.76
ST5,2017-01-01 14:00:00,11.0,13.0,28.0,london_grid_408,-0.1,51.4,7.56,1006.72,92.25,307.29,5.97
ST5,2017-01-01 15:00:00,6.0,10.0,19.0,london_grid_408,-0.1,51.4,6.67,1006.83,95.27,354.95,12.21
ST5,2017-01-01 16:00:00,5.0,7.0,16.4,london_grid_408,-0.1,51.4,6.01,1007.71,93.29,12.38,16.24
ST5,2017-01-01 17:00:00,6.0,6.0,15.8,london_grid_408,-0.1,51.4,5.35,1008.58,91.31,22.34,21.15
ST5,2017-01-01 18:00:00,6.0,7.0,19.3,london_grid_408,-0.1,51.4,4.69,1009.46,89.34,28.43,26.45
ST5,2017-01-01 19:00:00,7.0,7.0,22.0,london_grid_408,-0.1,51.4,4.53,1010.38,89.38,26.6,24.3
ST5,2017-01-01 20:00:00,10.0,7.0,20.0,london_grid_408,-0.1,51.4,4.38,1011.29,89.42,24.41,22.18
