utc_time,station_id,PM2.5 (ug-m3),PM10 (ug-m3),NO2 (ug-m3),stationName,longitude,latitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
2017-01-01 00:00:00,TH4,28.4,33.3,38.9,london_grid_430,0.0,51.5,5.69,1020.25,92.0,222.32,15.24
2017-01-01 01:00:00,TH4,32.5,33.2,63.0,london_grid_430,0.0,51.5,5.76,1019.05,90.4,220.78,16.24
2017-01-01 02:00:00,TH4,24.9,29.5,47.9,london_grid_430,0.0,51.5,5.82,1017.86,88.8,219.41,17.26
2017-01-01 03:00:00,TH4,19.8,17.9,51.0,london_grid_430,0.0,51.5,5.89,1016.66,87.2,218.2,18.28
2017-01-01 04:00:00,TH4,20.3,19.9,42.8,london_grid_430,0.0,51.5,6.07,1015.71,87.57,216.38,18.74
2017-01-01 05:00:00,TH4,19.0,27.3,40.6,london_grid_430,0.0,51.5,6.25,1014.75,87.93,214.64,19.21
2017-01-01 06:00:00,TH4,20.6,23.9,42.1,london_grid_430,0.0,51.5,6.43,1013.8,88.3,212.99,19.7
2017-01-01 07:00:00,TH4,19.6,25.2,35.1,london_grid_430,0.0,51.5,6.67,1013.24,89.07,210.83,19.2
2017-01-01 08:00:00,TH4,19.5,32.3,39.8,london_grid_430,0.0,51.5,6.9,1012.69,89.83,208.55,18.73
2017-01-01 09:00:00,TH4,20.0,30.0,43.1,london_grid_430,0.0,51.5,7.14,1012.13,90.6,206.16,18.29
2017-01-01 10:00:00,TH4,14.3,21.9,36.1,london_grid_430,0.0,51.5,7.94,1011.8,88.73,211.31,18.24
2017-01-01 11:00:00,TH4,5.5,10.0,34.3,london_grid_430,0.0,51.5,8.75,1011.46,86.87,216.44,18.35
2017-01-01 12:00:00,TH4,5.9,9.1,42.1,london_grid_430,0.0,51.5,9.55,1011.13,85.0,221.47,18.59
2017-01-01 13:00:00,TH4,8.3,16.4,49.1,london_grid_430,0.0,51.5,8.53,1011.31,88.07,245.12,8.93
2017-01-01 14:00:00,TH4,4.0,14.9,44.8,london_grid_430,0.0,51.5,7.5,1011.5,91.13,328.8,7.51
2017-01-01 15:00:00,TH4,2.7,5.7,37.8,london_grid_430,0.0,51.5,6.48,1011.68,94.2,1.12,16.6
2017-01-01 16:00:00,TH4,0.8,8.1,34.3,london_grid_430,0.0,51.5,5.97,1012.58,92.23,11.57,18.67
2017-01-01 17:00:00,TH4,1.2,3.1,25.7,london_grid_430,0.0,51.5,5.47,1013.48,90.27,19.73,21.23
2017-01-01 18:00:00,TH4,0.0,6.0,35.2,london_grid_430,0.0,51.5,4.96,1014.39,88.3,26.03,24.12
2017-01-01 19:00:00,TH4,1.8,5.5,31.2,london_grid_430,0.0,51.5,4.8,1015.31,88.43,24.22,22.43
2017-01-01 20:00:00,TH4,3.8,8.6,34.8,london_grid_430,0.0,51.5,4.65,1016.23,88.57,22.12,20.78
2017-01-01 21:00:00,TH4,3.4,10.8,40.6,london_grid_430,0.0,51.5,4.49,1017.15,88.7,19.66,19.15
2017-01-01 22:00:00,TH4,4.5,11.6,34.9,london_grid_430,0.0,51.5,4.45,1017.92,88.17,20.39,18.87
2017-01-01 23:00:00,TH4,4.2,10.6,38.6,london_grid_430,0.0,51.5,4.42,1018.7,87.63,21.15,18.59
2017-01-02 00:00:00,TH4,2.9,9.6,30.7,london_grid_430,0.0,51.5,4.38,1019.47,87.1,21.93,18.32
2017-01-02 01:00:00,TH4,3.6,8.9,27.4,london_grid_430,0.0,51.5,4.11,1020.0,87.27,18.74,18.97
2017-01-02 02:00:00,TH4,-0.3,11.8,24.3,london_grid_430,0.0,51.5,3.83,1020.54,87.43,15.78,19.68
2017-01-02 03:00:00,TH4,2.5,9.4,26.8,london_grid_430,0.0,51.5,3.56,1021.07,87.6,13.03,20.43
2017-01-02 04:00:00,TH4,3.4,11.5,33.9,london_grid_430,0.0,51.5,3.06,1021.72,88.8,14.27,18.8
2017-01-02 05:00:00,TH4,4.3,13.3,42.5,london_grid_430,0.0,51.5,2.57,1022.37,90.0,15.74,17.17
2017-01-02 06:00:00,TH4,4.9,13.7,44.1,london_grid_430,0.0,51.5,2.07,1023.02,91.2,17.51,15.55
2017-01-02 07:00:00,TH4,3.1,11.4,49.9,london_grid_430,0.0,51.5,1.78,1023.47,91.43,9.96,14.99
2017-01-02 08:00:00,TH4,2.4,15.7,57.0,london_grid_430,0.0,51.5,1.48,1023.91,91.67,1.97,14.7
2017-01-02 09:00:00,TH4,4.8,15.6,58.0,london_grid_430,0.0,51.5,1.19,1024.35,91.9,353.81,14.7
2017-01-02 10:00:00,TH4,7.2,14.1,50.4,london_grid_430,0.0,51.5,2.08,1024.91,88.47,355.32,15.88
2017-01-02 11:00:00,TH4,2.5,22.2,47.5,london_grid_430,0.0,51.5,2.96,1025.46,85.03,356.61,17.07
2017-01-02 12:00:00,TH4,9.4,9.2,51.8,london_grid_430,0.0,51.5,3.85,1026.01,81.6,357.74,18.27
2017-01-02 13:00:00,TH4,5.6,12.8,55.8,london_grid_430,0.0,51.5,3.59,1025.95,82.93,353.7,15.86
2017-01-02 14:00:00,TH4,8.0,12.9,69.5,london_grid_430,0.0,51.5,3.34,1025.89,84.27,348.26,13.57
2017-01-02 15:00:00,TH4,10.2,13.0,82.7,london_grid_430,0.0,51.5,3.08,1025.83,85.6,340.71,11.44
2017-01-02 16:00:00,TH4,10.7,18.9,91.6,london_grid_430,0.0,51.5,2.14,1026.09,88.27,334.77,11.29
2017-01-02 17:00:00,TH4,16.7,22.6,92.5,london_grid_430,0.0,51.5,1.19,1026.35,90.93,328.73,11.26
2017-01-02 18:00:00,TH4,16.5,29.9,87.4,london_grid_430,0.0,51.5,0.25,1026.61,93.6,322.73,11.35
2017-01-02 19:00:00,TH4,15.6,21.4,102.4,london_grid_430,0.0,51.5,0.04,1026.59,92.7,316.51,10.93
2017-01-02 20:00:00,TH4,14.6,21.3,85.5,london_grid_430,0.0,51.5,-0.16,1026.56,91.8,309.88,10.65
2017-01-02 21:00:00,TH4,16.0,25.4,88.9,london_grid_430,0.0,51.5,-0.37,1026.54,90.9,302.98,10.51
2017-01-02 22:00:00,TH4,18.5,25.5,83.9,london_grid_430,0.0,51.5,-0.38,1026.62,90.4,300.52,10.59
2017-01-02 23:00:00,TH4,16.4,22.8,85.4,london_grid_430,0.0,51.5,-0.4,1026.69,89.9,298.09,10.68
2017-01-03 00:00:00,TH4,22.7,25.1,72.8,london_grid_430,0.0,51.5,-0.41,1026.77,89.4,295.71,10.79
2017-01-03 01:00:00,TH4,16.9,23.5,67.7,london_grid_430,0.0,51.5,-0.4,1026.68,89.23,289.15,10.68
2017-01-03 02:00:00,TH4,19.9,21.4,59.5,london_grid_430,0.0,51.5,-0.38,1026.59,89.07,282.54,10.72
2017-01-03 03:00:00,TH4,15.6,18.5,57.1,london_grid_430,0.0,51.5,-0.37,1026.51,88.9,276.07,10.9
2017-01-03 04:00:00,TH4,12.0,19.1,54.6,london_grid_430,0.0,51.5,-0.33,1026.4,90.33,272.45,11.49
2017-01-03 05:00:00,TH4,12.8,17.4,57.2,london_grid_430,0.0,51.5,-0.29,1026.29,91.77,269.21,12.13
2017-01-03 06:00:00,TH4,11.5,17.3,66.0,london_grid_430,0.0,51.5,-0.25,1026.17,93.2,266.29,12.81
2017-01-03 07:00:00,TH4,10.4,13.7,72.6,london_grid_430,0.0,51.5,0.15,1025.89,93.4,266.34,14.1
2017-01-03 08:00:00,TH4,7.9,19.5,85.1,london_grid_430,0.0,51.5,0.56,1025.61,93.6,266.38,15.4
2017-01-03 09:00:00,TH4,9.7,16.6,97.1,london_grid_430,0.0,51.5,0.96,1025.33,93.8,266.42,16.7
2017-01-03 10:00:00,TH4,11.7,17.7,88.0,london_grid_430,0.0,51.5,2.21,1025.16,89.8,270.0,18.61
2017-01-03 11:00:00,TH4,10.6,19.7,90.0,london_grid_430,0.0,51.5,3.47,1025.0,85.8,272.91,20.58
2017-01-03 12:00:00,TH4,9.098657540042035,19.7,88.9,london_grid_430,0.0,51.5,4.72,1024.84,81.8,275.3,22.6
2017-01-03 13:00:00,TH4,7.730158740474474,19.5,84.62792744376534,london_grid_430,0.0,51.5,4.5,1024.16,83.03,273.18,22.07
2017-01-03 14:00:00,TH4,6.494503601297313,17.2,74.0,london_grid_430,0.0,51.5,4.28,1023.49,84.27,270.96,21.57
2017-01-03 15:00:00,TH4,5.39169212251056,16.0,58.1,london_grid_430,0.0,51.5,4.06,1022.81,85.5,268.63,21.1
2017-01-03 16:00:00,TH4,4.421724304114206,10.9,64.2,london_grid_430,0.0,51.5,3.39,1022.78,88.3,269.3,20.63
2017-01-03 17:00:00,TH4,3.5846001461082553,15.9,80.6,london_grid_430,0.0,51.5,2.72,1022.74,91.1,270.0,20.16
2017-01-03 18:00:00,TH4,2.8803196484927094,18.5,77.7,london_grid_430,0.0,51.5,2.05,1022.7,93.9,270.73,19.69
2017-01-03 19:00:00,TH4,2.3088828112675657,20.1,79.2,london_grid_430,0.0,51.5,1.95,1022.3,93.93,269.9,20.22
2017-01-03 20:00:00,TH4,1.8702896344328241,16.9,76.3,london_grid_430,0.0,51.5,1.85,1021.89,93.97,269.11,20.75
2017-01-03 21:00:00,TH4,1.5645401179884866,12.3,62.2,london_grid_430,0.0,51.5,1.75,1021.48,94.0,268.35,21.28
2017-01-03 22:00:00,TH4,1.3916342619345512,10.2,59.0,london_grid_430,0.0,51.5,1.8,1021.35,94.27,272.04,21.21
2017-01-03 23:00:00,TH4,1.3515720662710202,13.9,57.8,london_grid_430,0.0,51.5,1.85,1021.22,94.53,275.75,21.21
2017-01-04 00:00:00,TH4,1.4443535309978928,9.5,46.5,london_grid_430,0.0,51.5,1.9,1021.08,94.8,279.43,21.31
2017-01-04 01:00:00,TH4,1.6699786561151657,7.7,37.3,london_grid_430,0.0,51.5,2.32,1020.57,94.23,282.37,21.28
2017-01-04 02:00:00,TH4,2.0284474416228413,7.8,36.1,london_grid_430,0.0,51.5,2.73,1020.06,93.67,285.32,21.3
2017-01-04 03:00:00,TH4,2.519759887520923,7.1,35.3,london_grid_430,0.0,51.5,3.15,1019.55,93.1,288.25,21.38
2017-01-04 04:00:00,TH4,3.143915993809407,10.9,44.3,london_grid_430,0.0,51.5,3.35,1019.66,93.43,292.18,21.01
2017-01-04 05:00:00,TH4,3.9009157604882922,11.1,60.2,london_grid_430,0.0,51.5,3.56,1019.77,93.77,296.24,20.74
2017-01-04 06:00:00,TH4,4.790759187557582,19.1,77.7,london_grid_430,0.0,51.5,3.76,1019.88,94.1,300.38,20.57
2017-01-04 07:00:00,TH4,5.813446275017277,13.9,78.8,london_grid_430,0.0,51.5,4.15,1019.85,93.87,299.96,20.31
2017-01-04 08:00:00,TH4,6.968977022867371,14.6,71.2,london_grid_430,0.0,51.5,4.54,1019.82,93.63,299.53,20.04
2017-01-04 09:00:00,TH4,8.257351431107871,12.2,80.2,london_grid_430,0.0,51.5,4.93,1019.79,93.4,299.08,19.77
2017-01-04 10:00:00,TH4,9.67856949973877,8.7,71.7,london_grid_430,0.0,51.5,5.52,1020.26,90.47,312.55,18.24
2017-01-04 11:00:00,TH4,11.232631228760074,42.4,62.6,london_grid_430,0.0,51.5,6.11,1020.74,87.53,327.48,17.86
