stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
aotizhongxin,2017-01-01 14:00:00,453.0,467.0,156.0,7.2,3.0,9.0,beijing_grid_304,-2.47,1018.38,54.75,322.13,4.55
aotizhongxin,2017-01-01 15:00:00,417.0,443.0,143.0,6.8,2.0,8.0,beijing_grid_304,-2.27,1018.62,52.49,329.11,7.49
aotizhongxin,2017-01-01 16:00:00,395.0,467.0,141.0,6.9,3.0,8.0,beijing_grid_304,-2.01,1018.78,49.53,331.53,9.71
aotizhongxin,2017-01-01 17:00:00,420.0,484.0,139.0,7.4,3.0,9.0,beijing_grid_304,-1.75,1018.95,46.58,333.05,11.95
aotizhongxin,2017-01-01 18:00:00,453.0,520.0,157.0,7.6,4.0,9.0,beijing_grid_304,-1.49,1019.12,43.62,334.09,14.18
aotizhongxin,2017-01-01 19:00:00,429.0,543.9002695513577,141.0,6.5,3.0,9.0,beijing_grid_304,-1.79,1019.36,44.15,335.82,14.0
aotizhongxin,2017-01-01 20:00:00,211.0,549.330756861414,110.0,3.3,-1.5276629549865959,11.0,beijing_grid_304,-2.09,1019.61,44.67,337.61,13.84
aotizhongxin,2017-01-01 21:00:00,116.0,536.2914619301689,87.0,2.2,4.0,13.0,beijing_grid_304,-2.4,1019.85,45.2,339.43,13.68
aotizhongxin,2017-01-01 22:00:00,51.0,504.7823847576224,58.0,1.3,26.0,14.0,beijing_grid_304,-2.65,1020.26,44.9,339.36,12.85
aotizhongxin,2017-01-01 23:00:00,38.0,454.8035253437745,55.0,1.1,28.0,14.0,beijing_grid_304,-2.9,1020.67,44.6,339.29,12.03
aotizhongxin,2017-01-02 00:00:00,21.0,399.1203839024246,40.0,0.7,42.0,16.0,beijing_grid_304,-3.15,1021.09,44.29,339.2,11.2
aotizhongxin,2017-01-02 01:00:00,16.0,350.49846064737227,40.0,0.8,44.0,18.0,beijing_grid_304,-0.86,1021.27,37.93,338.68,10.22
aotizhongxin,2017-01-02 02:00:00,23.0,308.9377555786173,42.0,0.7,45.0,17.0,beijing_grid_304,1.44,1021.45,31.56,338.05,9.24
aotizhongxin,2017-01-02 03:00:00,18.0,274.4382686961599,30.0,0.6,59.0,14.0,beijing_grid_304,3.73,1021.64,25.2,337.27,8.26
aotizhongxin,2017-01-02 04:00:00,58.0,247.0,76.0,2.4,46.0,12.0,beijing_grid_304,4.56,1021.11,24.01,336.48,4.41
