stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
badaling,2017-01-01 14:00:00,87.0,115.0,84.0,1.5,2.0,49.0,beijing_grid_224,-3.8,946.24,47.61,307.51,10.27
badaling,2017-01-01 15:00:00,58.0,85.2622101057733,59.0,0.9,24.0,32.0,beijing_grid_224,-4.14,946.46,51.18,307.29,10.82
badaling,2017-01-01 16:00:00,30.0,41.0,38.0,0.7,45.0,22.0,beijing_grid_224,-4.55,946.61,52.09,306.49,10.93
badaling,2017-01-01 17:00:00,23.0,39.0,40.0,0.8,42.0,23.0,beijing_grid_224,-4.97,946.76,53.01,305.71,11.04
badaling,2017-01-01 18:00:00,20.0,43.0,51.0,0.8,29.0,24.0,beijing_grid_224,-5.38,946.91,53.92,304.95,11.16
badaling,2017-01-01 19:00:00,21.0,42.0,46.0,0.8,31.0,21.0,beijing_grid_224,-5.8,946.97,53.82,305.18,10.77
badaling,2017-01-01 20:00:00,15.0,32.0,33.0,0.6,46.0,16.0,beijing_grid_224,-6.21,947.03,53.72,305.44,10.39
badaling,2017-01-01 21:00:00,11.0,35.0,32.0,0.6,48.0,18.0,beijing_grid_224,-6.63,947.09,53.62,305.72,10.0
badaling,2017-01-01 22:00:00,15.0,33.0,29.0,0.7,49.0,17.0,beijing_grid_224,-6.84,947.36,53.33,306.59,9.52
badaling,2017-01-01 23:00:00,15.0,35.0,24.0,0.6,55.0,15.0,beijing_grid_224,-7.05,947.63,53.04,307.55,9.04
badaling,2017-01-02 00:00:00,16.0,28.0,21.0,0.6,56.0,13.0,beijing_grid_224,-7.27,947.91,52.75,308.62,8.56
badaling,2017-01-02 01:00:00,17.0,18.0,22.0,0.6,58.0,17.0,beijing_grid_224,-5.29,948.01,45.41,303.25,7.99
badaling,2017-01-02 02:00:00,15.0,24.0,18.0,0.5,64.0,16.0,beijing_grid_224,-3.31,948.11,38.06,297.12,7.5
badaling,2017-01-02 03:00:00,16.0,22.0,17.0,0.5,66.0,15.0,beijing_grid_224,-1.32,948.21,30.72,290.23,7.11
badaling,2017-01-02 04:00:00,15.0,36.0,20.0,0.6,67.0,18.0,beijing_grid_224,-0.03,947.74,27.9,276.86,7.21
badaling,2017-01-02 05:00:00,18.0,55.0,24.0,0.6,65.0,19.0,beijing_grid_224,1.26,947.28,25.07,264.5,7.68
badaling,2017-01-02 06:00:00,25.0,49.0,31.0,0.7,62.0,22.0,beijing_grid_224,2.56,946.81,22.25,253.99,8.46
badaling,2017-01-02 07:00:00,29.0,50.0,37.0,0.7,59.0,25.0,beijing_grid_224,0.36,946.65,28.09,247.74,7.03
badaling,2017-01-02 08:00:00,30.0,51.0,49.0,0.7,49.0,26.0,beijing_grid_224,-1.84,946.49,33.94,238.47,5.73
badaling,2017-01-02 09:00:00,29.0,59.0,59.0,0.6,38.0,23.0,beijing_grid_224,-4.04,946.32,39.79,224.38,4.65
badaling,2017-01-02 10:00:00,29.0,58.0,67.0,0.7,26.0,22.0,beijing_grid_224,-4.44,946.34,42.26,237.6,3.79
badaling,2017-01-02 11:00:00,47.0,91.0,72.0,0.1,27.0,18.0,beijing_grid_224,-4.85,946.36,44.73,256.83,3.23
