stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
beibuxinqu,2017-01-01 14:00:00,479.0,487.0,166.0,7.4,4.0,9.0,beijing_grid_263,-1.62,997.96,43.72,317.19,9.08
beibuxinqu,2017-01-01 15:00:00,481.0,497.0,160.0,7.8,5.0,9.0,beijing_grid_263,-1.31,998.23,42.14,319.4,11.36
beibuxinqu,2017-01-01 16:00:00,488.0,488.6666666666667,150.0,8.1,5.0,9.0,beijing_grid_263,-1.51,998.41,42.96,319.44,12.3
beibuxinqu,2017-01-01 17:00:00,487.0,480.3333333333333,142.0,8.7,5.0,10.0,beijing_grid_263,-1.7,998.58,43.78,319.48,13.24
beibuxinqu,2017-01-01 18:00:00,489.0,472.0,137.0,0.9,4.0,8.0,beijing_grid_263,-1.89,998.75,44.6,319.51,14.18
beibuxinqu,2017-01-01 19:00:00,497.0,463.6666666666667,140.0,8.9,4.0,7.0,beijing_grid_263,-2.25,998.95,45.06,320.1,13.8
beibuxinqu,2017-01-01 20:00:00,478.0,455.3333333333333,138.0,8.9,4.0,9.0,beijing_grid_263,-2.61,999.15,45.51,320.74,13.43
beibuxinqu,2017-01-01 21:00:00,454.0,447.0,131.0,8.7,4.0,7.0,beijing_grid_263,-2.97,999.34,45.97,321.4,13.06
beibuxinqu,2017-01-01 22:00:00,354.0,438.6666666666667,132.0,0.8,4.0,6.0,beijing_grid_263,-3.19,999.72,45.66,321.35,12.34
beibuxinqu,2017-01-01 23:00:00,272.0,430.3333333333333,130.0,7.4,4.0,6.0,beijing_grid_263,-3.4,1000.1,45.36,321.29,11.63
beibuxinqu,2017-01-02 00:00:00,178.0,422.0,128.0,6.1,4.0,5.0,beijing_grid_263,-3.62,1000.48,45.05,321.22,10.92
beibuxinqu,2017-01-02 01:00:00,140.0,413.66666666666663,122.0,5.3,5.0,5.0,beijing_grid_263,-1.55,1000.64,38.85,321.02,9.47
beibuxinqu,2017-01-02 02:00:00,128.0,405.3333333333333,122.0,4.5,13.0,12.0,beijing_grid_263,0.53,1000.79,32.65,320.74,8.02
beibuxinqu,2017-01-02 03:00:00,40.0,397.0,93.0,3.1,24.0,24.0,beijing_grid_263,2.6,1000.95,26.45,320.35,6.57
beibuxinqu,2017-01-02 04:00:00,38.0,388.66666666666663,74.0,2.4,32.0,19.0,beijing_grid_263,3.53,1000.42,24.86,308.39,3.45
beibuxinqu,2017-01-02 05:00:00,42.0,380.3333333333333,62.0,1.8,40.0,14.0,beijing_grid_263,4.46,999.9,23.27,237.61,1.44
