stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
donggaocun,2017-01-01 14:00:00,377.0,59.28519966266875,123.0,5.5,2.0,6.0,beijing_grid_452,-1.43,1007.42,49.7,309.22,6.7
donggaocun,2017-01-01 15:00:00,387.0,54.432389291602206,123.0,5.3,2.0,5.0,beijing_grid_452,-1.34,1007.6,49.83,311.09,7.59
donggaocun,2017-01-01 16:00:00,351.0,49.4415688868004,126.0,4.6,2.0,5.0,beijing_grid_452,-1.07,1007.67,46.48,321.38,9.28
donggaocun,2017-01-01 17:00:00,274.0,44.312738448263275,122.0,3.7,2.0,5.0,beijing_grid_452,-0.79,1007.73,43.14,328.35,11.17
donggaocun,2017-01-01 18:00:00,200.0,39.045897975990854,101.0,2.8,2.0,5.0,beijing_grid_452,-0.52,1007.8,39.8,333.25,13.18
donggaocun,2017-01-01 19:00:00,199.0,33.64104746998314,87.0,2.7,2.0,5.0,beijing_grid_452,-0.79,1008.08,39.68,336.68,13.04
donggaocun,2017-01-01 20:00:00,193.0,28.098186930240157,89.0,2.7,2.0,5.0,beijing_grid_452,-1.05,1008.35,39.56,340.17,12.94
donggaocun,2017-01-01 21:00:00,160.0,22.41731635676186,76.0,2.3,6.0,6.0,beijing_grid_452,-1.32,1008.63,39.44,343.7,12.9
donggaocun,2017-01-01 22:00:00,125.0,16.59843574954828,53.0,1.8,14.0,6.0,beijing_grid_452,-1.51,1009.05,39.08,347.09,12.34
donggaocun,2017-01-01 23:00:00,87.0,10.641545108599413,41.0,1.4,23.0,8.0,beijing_grid_452,-1.7,1009.47,38.72,350.79,11.84
donggaocun,2017-01-02 00:00:00,84.0,4.546644433915244,37.0,1.3,23.0,7.0,beijing_grid_452,-1.88,1009.89,38.35,354.8,11.38
donggaocun,2017-01-02 01:00:00,67.0,-1.6862662745042059,34.0,1.1,29.0,7.0,beijing_grid_452,-0.39,1010.08,34.44,351.18,11.48
donggaocun,2017-01-02 02:00:00,44.0,-8.057187016658958,26.0,0.7,33.0,9.0,beijing_grid_452,1.11,1010.26,30.53,347.63,11.62
donggaocun,2017-01-02 03:00:00,187.0,-14.566117792549,54.0,2.7,30.0,15.0,beijing_grid_452,2.6,1010.45,26.62,344.18,11.81
donggaocun,2017-01-02 04:00:00,101.0,-21.21305860217433,50.0,2.1,47.0,14.0,beijing_grid_452,3.25,1010.08,25.18,339.6,11.13
donggaocun,2017-01-02 05:00:00,67.0,-27.998009445534944,35.0,0.1,57.0,8.0,beijing_grid_452,3.9,1009.7,23.73,334.46,10.53
donggaocun,2017-01-02 06:00:00,26.0,-34.920970322630865,18.0,0.5,65.0,5.0,beijing_grid_452,4.56,1009.33,22.28,328.75,10.02
donggaocun,2017-01-02 07:00:00,161.0,-41.98194123346207,68.0,0.2,36.0,9.0,beijing_grid_452,2.49,1009.17,27.29,327.07,7.46
donggaocun,2017-01-02 08:00:00,216.0,-49.18092217802857,82.0,2.9,38.0,11.0,beijing_grid_452,0.42,1009.01,32.3,323.63,4.91
donggaocun,2017-01-02 09:00:00,248.0,-56.517913156330366,95.0,3.6,33.0,11.0,beijing_grid_452,-1.65,1008.85,37.31,312.93,2.41
donggaocun,2017-01-02 10:00:00,203.0,-63.992914168367435,89.0,3.2,30.0,9.0,beijing_grid_452,-1.75,1008.92,39.19,290.55,2.7
donggaocun,2017-01-02 11:00:00,211.0,-71.60592521413982,99.0,3.3,20.0,10.0,beijing_grid_452,-1.85,1008.98,41.07,274.45,3.31
donggaocun,2017-01-02 12:00:00,268.0,-79.35694629364748,113.0,3.9,13.0,9.0,beijing_grid_452,-1.95,1009.04,42.96,263.87,4.08
donggaocun,2017-01-02 13:00:00,200.0,-87.24597740689046,89.0,3.2,19.0,8.0,beijing_grid_452,-2.17,1008.77,50.45,250.89,3.73
donggaocun,2017-01-02 14:00:00,138.0,-95.2730185538687,65.0,2.2,26.0,8.0,beijing_grid_452,-2.38,1008.5,57.94,236.07,3.59
donggaocun,2017-01-02 15:00:00,98.0,-103.43806973458223,56.0,1.7,25.0,9.0,beijing_grid_452,-2.6,1008.23,65.43,221.16,3.7
donggaocun,2017-01-02 16:00:00,98.0,-111.74113094903106,47.0,1.5,31.0,9.0,beijing_grid_452,-2.86,1008.01,66.97,222.8,2.85
donggaocun,2017-01-02 17:00:00,82.0,-120.18220219721519,47.0,1.2,27.0,7.0,beijing_grid_452,-3.13,1007.79,68.51,225.82,2.01
donggaocun,2017-01-02 18:00:00,81.0,-128.7612834791346,35.0,0.9,31.0,10.0,beijing_grid_452,-3.39,1007.58,70.05,233.16,1.17
donggaocun,2017-01-02 19:00:00,93.0,-137.47837479478932,47.0,1.5,19.0,9.0,beijing_grid_452,-3.57,1007.17,70.27,253.51,0.87
donggaocun,2017-01-02 20:00:00,156.0,-146.33347614417931,57.0,2.1,10.0,10.0,beijing_grid_452,-3.74,1006.76,70.5,286.11,0.76
donggaocun,2017-01-02 21:00:00,286.0,-155.3265875273046,102.0,4.9,2.0,8.0,beijing_grid_452,-3.92,1006.35,70.72,317.01,0.91
donggaocun,2017-01-02 22:00:00,235.0,-164.45770894416518,107.0,4.5,2.0,8.0,beijing_grid_452,-3.87,1006.25,69.83,289.84,1.67
donggaocun,2017-01-02 23:00:00,201.0,-173.72684039476104,94.0,3.1,2.0,6.0,beijing_grid_452,-3.82,1006.15,68.93,280.51,2.57
donggaocun,2017-01-03 00:00:00,242.0,-183.1339818790922,90.0,3.3,2.0,5.0,beijing_grid_452,-3.77,1006.05,68.03,276.07,3.5
donggaocun,2017-01-03 01:00:00,225.0,-192.6791333971587,91.0,3.1,2.0,7.0,beijing_grid_452,-1.86,1006.06,59.75,283.48,4.07
donggaocun,2017-01-03 02:00:00,229.0,-202.36229494896043,93.0,2.9,2.0,10.0,beijing_grid_452,0.05,1006.07,51.47,288.99,4.7
donggaocun,2017-01-03 03:00:00,267.0,-212.18346653449746,108.0,3.7,2.0,17.0,beijing_grid_452,1.95,1006.09,43.18,293.18,5.35
donggaocun,2017-01-03 04:00:00,358.0,-222.14264815376976,148.0,5.1,2.0,26.0,beijing_grid_452,3.34,1005.66,39.53,298.44,5.92
donggaocun,2017-01-03 05:00:00,347.0,-232.23983980677744,166.0,5.1,5.0,29.0,beijing_grid_452,4.72,1005.23,35.88,302.75,6.52
donggaocun,2017-01-03 06:00:00,293.0,-242.47504149352037,141.0,0.4,18.0,30.0,beijing_grid_452,6.1,1004.8,32.23,306.31,7.16
donggaocun,2017-01-03 07:00:00,204.0,-252.84825321399853,97.0,0.3,41.0,25.0,beijing_grid_452,3.91,1004.77,40.96,308.97,5.09
donggaocun,2017-01-03 08:00:00,193.0,-263.35947496821206,72.0,2.6,41.0,19.0,beijing_grid_452,1.71,1004.75,49.69,315.22,3.06
donggaocun,2017-01-03 09:00:00,298.0,-274.00870675616085,108.0,3.6,23.0,18.0,beijing_grid_452,-0.48,1004.72,58.42,343.03,1.19
donggaocun,2017-01-03 10:00:00,440.0,-284.7959485778449,157.0,5.6,2.0,11.0,beijing_grid_452,-0.52,1005.26,56.46,316.48,1.93
donggaocun,2017-01-03 11:00:00,435.0,-295.5943802522665,158.0,5.8,2.0,8.0,beijing_grid_452,-0.55,1005.8,54.49,305.73,2.85
donggaocun,2017-01-03 12:00:00,414.0,-305.6430806934384,171.0,5.6,2.0,8.0,beijing_grid_452,-0.58,1006.34,52.53,300.31,3.81
donggaocun,2017-01-03 13:00:00,410.0,-314.81522972036277,177.0,5.6,2.0,8.0,beijing_grid_452,-0.9,1006.74,53.58,289.7,3.56
donggaocun,2017-01-03 14:00:00,395.0,-323.11082733303977,175.0,5.6,2.0,8.0,beijing_grid_452,-1.21,1007.14,54.64,277.95,3.45
donggaocun,2017-01-03 15:00:00,370.0,-330.5298735314692,169.0,5.4,2.0,8.0,beijing_grid_452,-1.53,1007.53,55.69,265.97,3.49
donggaocun,2017-01-03 16:00:00,351.0,-337.0723683156512,152.0,5.1,2.0,7.0,beijing_grid_452,-1.61,1007.67,55.39,280.81,3.04
donggaocun,2017-01-03 17:00:00,367.0,-342.7383116855857,146.0,5.4,2.0,8.0,beijing_grid_452,-1.7,1007.82,55.09,299.13,2.85
donggaocun,2017-01-03 18:00:00,351.0,-347.5277036412727,138.0,5.2,2.0,7.0,beijing_grid_452,-1.79,1007.96,54.79,317.91,2.97
donggaocun,2017-01-03 19:00:00,364.0,-351.44054418271224,141.0,5.5,2.0,6.0,beijing_grid_452,-1.76,1007.98,53.48,353.46,2.34
donggaocun,2017-01-03 20:00:00,333.0,-354.47683330990446,141.0,5.4,2.0,6.0,beijing_grid_452,-1.73,1008.01,52.16,30.72,2.85
donggaocun,2017-01-03 21:00:00,289.0,-356.636571022849,128.0,4.8,2.0,5.0,beijing_grid_452,-1.7,1008.04,50.85,51.0,4.09
donggaocun,2017-01-03 22:00:00,222.0,-357.91975732154606,99.0,3.7,2.0,5.0,beijing_grid_452,-1.77,1008.26,50.95,69.91,3.22
donggaocun,2017-01-03 23:00:00,185.0,-358.32639220599583,72.0,2.9,4.0,5.0,beijing_grid_452,-1.84,1008.48,51.05,97.19,2.89
donggaocun,2017-01-04 00:00:00,297.0,-357.856475676198,84.0,5.7,2.0,6.0,beijing_grid_452,-1.92,1008.69,51.15,123.98,3.27
donggaocun,2017-01-04 01:00:00,303.0,-356.51000773215264,87.0,5.8,2.0,7.0,beijing_grid_452,0.04,1009.05,45.25,134.21,3.91
donggaocun,2017-01-04 02:00:00,253.0,-354.2869883738599,93.0,4.3,2.0,7.0,beijing_grid_452,2.0,1009.4,39.36,141.42,4.63
donggaocun,2017-01-04 03:00:00,476.0,-351.1874176013197,130.0,8.2,2.0,12.0,beijing_grid_452,3.95,1009.76,33.47,146.63,5.41
