stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
dongsi,2017-01-01 14:00:00,469.0,594.0,136.0,8.9,2.0,7.0,beijing_grid_303,-2.52,1019.24,58.06,316.7,3.37
dongsi,2017-01-01 15:00:00,470.0,558.0,146.0,9.1,2.0,8.0,beijing_grid_303,-2.47,1019.45,57.3,328.81,5.81
dongsi,2017-01-01 16:00:00,458.0,578.0,144.0,9.2,2.0,8.0,beijing_grid_303,-2.17,1019.59,52.96,335.14,8.16
dongsi,2017-01-01 17:00:00,477.0,587.0,148.0,9.2,2.0,9.0,beijing_grid_303,-1.87,1019.73,48.62,338.61,10.56
dongsi,2017-01-01 18:00:00,467.0,584.0,132.0,9.1,2.0,9.0,beijing_grid_303,-1.57,1019.87,44.28,340.8,12.98
dongsi,2017-01-01 19:00:00,405.0,575.377576014378,135.0,7.5,2.0,16.0,beijing_grid_303,-1.86,1020.12,44.6,341.52,13.0
dongsi,2017-01-01 20:00:00,204.0,561.2116841508838,102.0,5.3,2.0,18.0,beijing_grid_303,-2.14,1020.37,44.93,342.24,13.02
dongsi,2017-01-01 21:00:00,118.0,541.5023244095177,91.0,4.2,2.0,16.0,beijing_grid_303,-2.42,1020.63,45.25,342.96,13.04
dongsi,2017-01-01 22:00:00,72.0,516.2494967902793,78.0,3.2,2.0,15.0,beijing_grid_303,-2.73,1021.08,45.38,342.15,11.95
dongsi,2017-01-01 23:00:00,57.0,485.4532012931689,77.0,3.3,2.0,13.0,beijing_grid_303,-3.04,1021.53,45.51,341.17,10.87
dongsi,2017-01-02 00:00:00,23.0,452.5006496926049,50.0,2.4,17.0,13.0,beijing_grid_303,-3.35,1021.98,45.65,339.98,9.78
dongsi,2017-01-02 01:00:00,24.0,420.77905376300606,49.0,2.5,21.0,14.0,beijing_grid_303,-1.01,1022.19,39.0,336.74,8.79
dongsi,2017-01-02 02:00:00,17.0,390.28841350437233,38.0,2.3,35.0,13.0,beijing_grid_303,1.32,1022.39,32.36,332.69,7.82
dongsi,2017-01-02 03:00:00,20.0,361.0287289167036,39.0,2.3,39.0,11.0,beijing_grid_303,3.66,1022.6,25.72,327.53,6.91
