stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
dongsihuan,2017-01-01 14:00:00,390.0,394.0,99.0,6.8,4.0,11.0,beijing_grid_324,-2.93,1021.29,63.17,312.03,2.72
dongsihuan,2017-01-01 15:00:00,390.0,455.7807145907592,92.0,6.6,4.0,8.0,beijing_grid_324,-2.97,1021.49,62.86,329.1,5.21
dongsihuan,2017-01-01 16:00:00,374.0,396.0,81.0,7.2,5.0,10.0,beijing_grid_324,-2.55,1021.63,56.86,337.57,8.04
dongsihuan,2017-01-01 17:00:00,401.0,419.0,71.0,7.3,4.0,13.0,beijing_grid_324,-2.12,1021.76,50.86,341.58,10.95
dongsihuan,2017-01-01 18:00:00,408.0,419.0,58.0,6.9,3.0,8.0,beijing_grid_324,-1.7,1021.9,44.86,343.91,13.9
dongsihuan,2017-01-01 19:00:00,413.0,418.0,75.0,0.8,4.0,6.0,beijing_grid_324,-1.97,1022.15,45.0,345.33,14.04
dongsihuan,2017-01-01 20:00:00,408.0,416.81562579639126,71.0,0.7,4.953594752155771,7.0,beijing_grid_324,-2.23,1022.41,45.14,346.73,14.2
dongsihuan,2017-01-01 21:00:00,363.0,414.4212214493841,91.0,6.1,5.0,10.0,beijing_grid_324,-2.49,1022.66,45.29,348.1,14.36
dongsihuan,2017-01-01 22:00:00,198.0,410.81678695897847,99.0,4.1,4.0,4.0,beijing_grid_324,-2.77,1023.12,45.2,347.59,13.31
dongsihuan,2017-01-01 23:00:00,108.0,406.0023223251744,88.0,2.5,4.0,3.0,beijing_grid_324,-3.06,1023.57,45.11,347.0,12.26
dongsihuan,2017-01-02 00:00:00,62.0,399.9778275479719,76.0,1.4,7.0,2.0,beijing_grid_324,-3.34,1024.03,45.03,346.29,11.22
dongsihuan,2017-01-02 01:00:00,18.0,392.743302627371,58.0,0.7,18.0,2.0,beijing_grid_324,-1.02,1024.23,38.53,342.65,10.44
dongsihuan,2017-01-02 02:00:00,15.0,384.29874756337165,43.0,0.7,30.0,2.0,beijing_grid_324,1.29,1024.44,32.04,338.46,9.71
dongsihuan,2017-01-02 03:00:00,24.0,374.6441623559737,44.0,0.9,36.0,3.0,beijing_grid_324,3.6,1024.64,25.54,333.61,9.05
dongsihuan,2017-01-02 04:00:00,178.0,363.77954700517756,90.0,3.6,25.0,9.0,beijing_grid_324,4.44,1024.14,24.64,323.87,5.73
dongsihuan,2017-01-02 05:00:00,214.0,351.70490151098284,111.0,3.9,26.0,8.0,beijing_grid_324,5.27,1023.64,23.73,292.83,2.97
dongsihuan,2017-01-02 06:00:00,173.0,338.42022587338965,99.0,3.1,35.0,7.0,beijing_grid_324,6.1,1023.14,22.83,222.0,3.13
dongsihuan,2017-01-02 07:00:00,276.0,324.4347417048042,145.0,4.9,28.0,9.0,beijing_grid_324,4.06,1022.93,30.22,204.95,4.92
dongsihuan,2017-01-02 08:00:00,302.0,312.8037786796627,142.0,4.7,30.0,10.0,beijing_grid_324,2.01,1022.73,37.61,197.33,6.91
dongsihuan,2017-01-02 09:00:00,235.0,304.03655841037124,108.0,3.6,41.0,4.0,beijing_grid_324,-0.04,1022.52,45.0,193.15,8.97
dongsihuan,2017-01-02 10:00:00,191.0,298.1330808969297,103.0,3.1,26.0,2.0,beijing_grid_324,-0.59,1022.56,50.5,195.87,9.03
dongsihuan,2017-01-02 11:00:00,152.0,295.0933461393384,95.0,2.5,25.0,2.0,beijing_grid_324,-1.13,1022.6,56.01,198.55,9.1
dongsihuan,2017-01-02 12:00:00,148.0,294.91735413759704,83.0,2.3,30.0,2.0,beijing_grid_324,-1.68,1022.64,61.51,201.18,9.19
dongsihuan,2017-01-02 13:00:00,147.0,297.60510489170576,89.0,2.5,19.0,2.0,beijing_grid_324,-1.96,1022.28,63.31,197.63,9.26
dongsihuan,2017-01-02 14:00:00,175.0,303.1565984016646,103.0,0.3,7.0,2.0,beijing_grid_324,-2.24,1021.92,65.1,194.15,9.37
dongsihuan,2017-01-02 15:00:00,218.0,311.5718346674733,114.0,5.2,5.0,6.0,beijing_grid_324,-2.53,1021.56,66.9,190.76,9.51
dongsihuan,2017-01-02 16:00:00,297.0,322.8508136891322,138.0,0.6,5.0,8.0,beijing_grid_324,-2.81,1021.4,66.9,185.0,8.26
dongsihuan,2017-01-02 17:00:00,332.78486664408484,336.9935354666411,149.97903126037016,2.623746536485271,5.010714553854443,9.783234895210239,beijing_grid_324,-3.08,1021.23,66.89,177.31,7.12
dongsihuan,2017-01-02 18:00:00,344.0,354.0,150.0,7.5,5.0,11.0,beijing_grid_324,-3.36,1021.07,66.89,166.97,6.16
dongsihuan,2017-01-02 19:00:00,360.0,373.0,146.0,8.6,5.0,11.0,beijing_grid_324,-3.71,1020.77,67.83,156.15,5.35
dongsihuan,2017-01-02 20:00:00,361.0,388.7722917313861,153.0,8.6,5.0,11.0,beijing_grid_324,-4.05,1020.47,68.77,142.15,4.78
dongsihuan,2017-01-02 21:00:00,353.0,400.4466679049494,155.0,8.5,5.0,11.0,beijing_grid_324,-4.4,1020.17,69.71,125.7,4.57
dongsihuan,2017-01-02 22:00:00,336.0,408.0231285206897,154.0,9.3,5.0,10.0,beijing_grid_324,-4.54,1020.14,70.38,129.74,3.83
dongsihuan,2017-01-02 23:00:00,338.0,411.50167357860704,147.0,0.9,5.0,10.0,beijing_grid_324,-4.67,1020.11,71.05,135.64,3.13
dongsihuan,2017-01-03 00:00:00,339.0,410.8823030787017,164.0,8.6,5.0,12.0,beijing_grid_324,-4.81,1020.08,71.71,144.82,2.47
dongsihuan,2017-01-03 01:00:00,354.0,406.1650170209733,164.0,8.7,5.0,12.0,beijing_grid_324,-2.43,1020.07,61.91,163.46,1.85
dongsihuan,2017-01-03 02:00:00,320.0,400.5218966843021,166.0,6.7,7.07784912917378,10.0,beijing_grid_324,-0.05,1020.06,52.11,193.72,1.57
dongsihuan,2017-01-03 03:00:00,261.0,397.1250233475677,147.0,4.9,11.197094081793972,15.0,beijing_grid_324,2.34,1020.05,42.31,224.88,1.8
dongsihuan,2017-01-03 04:00:00,240.0,395.97439701077036,131.0,0.4,15.0,21.0,beijing_grid_324,4.01,1019.52,38.3,252.59,1.75
dongsihuan,2017-01-03 05:00:00,245.0,397.07001767391,142.0,4.1,17.0,22.0,beijing_grid_324,5.69,1018.99,34.28,276.22,2.09
dongsihuan,2017-01-03 06:00:00,270.0,400.4118853369866,173.0,5.1,12.0,23.0,beijing_grid_324,7.36,1018.46,30.26,291.51,2.66
dongsihuan,2017-01-03 07:00:00,400.0,406.0,241.0,7.8,7.0,27.0,beijing_grid_324,5.19,1018.4,36.61,224.31,3.04
dongsihuan,2017-01-03 08:00:00,513.0,413.8343616629505,243.0,8.2,6.0,22.0,beijing_grid_324,3.01,1018.35,42.97,198.35,5.61
dongsihuan,2017-01-03 09:00:00,333.0,423.91497032583806,169.0,4.8,19.0,14.0,beijing_grid_324,0.83,1018.3,49.33,189.44,8.59
dongsihuan,2017-01-03 10:00:00,320.0,436.2418259886624,178.0,5.9,4.0,10.0,beijing_grid_324,0.17,1018.88,52.36,197.01,7.64
dongsihuan,2017-01-03 11:00:00,439.0,453.40383143178406,199.0,8.4,4.0,12.0,beijing_grid_324,-0.49,1019.47,55.39,206.5,6.86
dongsihuan,2017-01-03 12:00:00,473.0,477.98988943556327,188.0,0.8,4.0,9.0,beijing_grid_324,-1.15,1020.05,58.41,218.02,6.31
dongsihuan,2017-01-03 13:00:00,499.0,510.0,173.0,8.5,4.0,6.0,beijing_grid_324,-1.33,1020.42,58.68,212.71,6.26
dongsihuan,2017-01-03 14:00:00,500.0,551.0,175.0,9.2,4.0,8.0,beijing_grid_324,-1.51,1020.78,58.95,207.36,6.27
dongsihuan,2017-01-03 15:00:00,547.0,600.0,169.0,10.1,4.0,11.0,beijing_grid_324,-1.69,1021.14,59.21,202.06,6.33
dongsihuan,2017-01-03 16:00:00,562.0,604.0,161.0,10.4,4.0,11.0,beijing_grid_324,-1.97,1021.27,62.63,195.25,3.95
dongsihuan,2017-01-03 17:00:00,537.980258779366,599.0768527255022,141.04679059942407,9.596749722711024,3.3088024148825332,15.46402021567184,beijing_grid_324,-2.25,1021.4,66.05,170.37,1.78
dongsihuan,2017-01-03 18:00:00,513.0,601.0,132.0,9.6,3.0,20.0,beijing_grid_324,-2.54,1021.52,69.47,79.84,1.66
dongsihuan,2017-01-03 19:00:00,517.0,611.0,151.0,11.4,4.0,20.0,beijing_grid_324,-2.59,1021.57,67.31,84.58,2.83
dongsihuan,2017-01-03 20:00:00,515.0,593.0,148.0,10.2,4.717766389954299,21.0,beijing_grid_324,-2.64,1021.63,65.16,86.54,4.01
dongsihuan,2017-01-03 21:00:00,525.0,573.0,112.0,9.9,5.0,18.0,beijing_grid_324,-2.69,1021.68,63.0,87.61,5.18
dongsihuan,2017-01-03 22:00:00,530.0,580.0,135.0,12.7,5.0,22.0,beijing_grid_324,-2.92,1021.92,65.7,99.61,4.24
dongsihuan,2017-01-03 23:00:00,545.0,590.0,155.0,13.8,5.0,25.0,beijing_grid_324,-3.14,1022.17,68.41,117.12,3.58
dongsihuan,2017-01-04 00:00:00,525.0,556.0,176.0,13.1,5.0,24.0,beijing_grid_324,-3.37,1022.42,71.11,139.4,3.37
dongsihuan,2017-01-04 01:00:00,473.0,492.61234544331984,176.0,11.6,4.0,22.0,beijing_grid_324,-0.82,1022.73,59.64,144.48,3.95
dongsihuan,2017-01-04 02:00:00,426.0,403.586080195546,181.0,10.6,4.0,21.0,beijing_grid_324,1.72,1023.04,48.16,148.22,4.56
dongsihuan,2017-01-04 03:00:00,318.0,306.01677484999936,166.0,6.2,4.0,19.0,beijing_grid_324,4.26,1023.36,36.69,151.07,5.19
dongsihuan,2017-01-04 04:00:00,146.0,217.0,148.0,5.2,6.0,15.0,beijing_grid_324,5.05,1022.84,35.31,143.12,5.66
dongsihuan,2017-01-04 05:00:00,320.0,136.53575564554822,165.0,5.8,7.0,19.0,beijing_grid_324,5.83,1022.33,33.94,136.51,6.23
dongsihuan,2017-01-04 06:00:00,341.0,64.62404178664369,169.0,6.5,9.0,25.0,beijing_grid_324,6.61,1021.81,32.57,131.05,6.86
dongsihuan,2017-01-04 07:00:00,374.0,1.2648584232866007,169.0,7.6,12.0,31.0,beijing_grid_324,4.39,1022.06,40.2,118.55,6.5
dongsihuan,2017-01-04 08:00:00,351.0,-53.541794444523035,158.0,7.3,11.0,31.0,beijing_grid_324,2.17,1022.31,47.83,105.27,6.47
