stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
guanyuan,2017-01-01 14:00:00,476.0,548.0,158.0,6.9,2.0,7.0,beijing_grid_282,-2.1,1017.19,52.95,319.84,4.04
guanyuan,2017-01-01 15:00:00,500.0,583.0,171.0,0.8,2.0,9.0,beijing_grid_282,-1.98,1017.41,51.75,328.58,6.42
guanyuan,2017-01-01 16:00:00,500.0,556.0,171.0,7.7,2.0,9.0,beijing_grid_282,-1.8,1017.56,49.07,332.78,8.3
guanyuan,2017-01-01 17:00:00,480.0,541.0,164.0,7.5,2.0,9.0,beijing_grid_282,-1.62,1017.7,46.39,335.42,10.2
guanyuan,2017-01-01 18:00:00,435.0,506.7223295442158,148.0,6.6,2.0,10.0,beijing_grid_282,-1.45,1017.85,43.71,337.23,12.12
guanyuan,2017-01-01 19:00:00,266.0,448.16402936832884,122.0,0.4,2.0,16.0,beijing_grid_282,-1.75,1018.09,44.21,337.07,12.03
guanyuan,2017-01-01 20:00:00,229.0,365.3250994723393,114.0,0.4,2.0,13.0,beijing_grid_282,-2.05,1018.34,44.71,336.9,11.93
guanyuan,2017-01-01 21:00:00,192.0,258.2055398562467,101.0,3.3,2.0,12.0,beijing_grid_282,-2.34,1018.59,45.21,336.73,11.84
guanyuan,2017-01-01 22:00:00,60.0,126.80535052005143,77.0,1.5,2.0,13.0,beijing_grid_282,-2.69,1019.03,45.56,335.39,10.72
guanyuan,2017-01-01 23:00:00,31.0,11.820733142252019,72.0,0.1,2.0,9.0,beijing_grid_282,-3.03,1019.48,45.91,333.74,9.61
guanyuan,2017-01-02 00:00:00,12.0,-46.05211059865285,52.0,0.7,2.0,7.0,beijing_grid_282,-3.37,1019.93,46.26,331.65,8.51
guanyuan,2017-01-02 01:00:00,24.0,-46.81318070266313,60.0,0.9,2.0,10.0,beijing_grid_282,-1.01,1020.14,39.48,328.22,7.27
guanyuan,2017-01-02 02:00:00,17.0,9.53752283022115,52.0,0.7,2.0,10.0,beijing_grid_282,1.36,1020.35,32.69,323.41,6.06
guanyuan,2017-01-02 03:00:00,74.0,123.0,61.0,1.5,2.0,9.0,beijing_grid_282,3.72,1020.56,25.9,316.3,4.92
guanyuan,2017-01-02 04:00:00,252.0,269.0,127.0,4.8,2.0,17.0,beijing_grid_282,4.54,1020.03,25.17,284.58,2.3
guanyuan,2017-01-02 05:00:00,241.0,300.09201799018115,110.0,3.7,2.0,19.0,beijing_grid_282,5.36,1019.51,24.43,203.51,2.62
