stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
gucheng,2017-01-01 14:00:00,500.0,612.0,161.0,7.7,3.0,11.0,beijing_grid_261,-1.85,1008.24,49.07,315.2,5.4
gucheng,2017-01-01 15:00:00,490.0,594.0,150.0,7.9,3.0,11.0,beijing_grid_261,-1.7,1008.46,47.76,322.13,7.49
gucheng,2017-01-01 16:00:00,513.0,618.0,157.0,8.7,4.0,11.0,beijing_grid_261,-1.65,1008.6,46.35,325.4,8.92
gucheng,2017-01-01 17:00:00,528.0,609.0,170.0,9.9,4.0,13.0,beijing_grid_261,-1.6,1008.74,44.94,327.77,10.37
gucheng,2017-01-01 18:00:00,297.0,584.6328073315673,92.0,4.4,15.0,11.0,beijing_grid_261,-1.55,1008.88,43.53,329.55,11.83
gucheng,2017-01-01 19:00:00,23.0,554.0323578862004,17.0,0.7,41.0,7.0,beijing_grid_261,-1.85,1009.11,44.17,328.71,11.69
gucheng,2017-01-01 20:00:00,13.0,517.1986516638996,13.0,0.7,46.0,7.0,beijing_grid_261,-2.15,1009.34,44.8,327.85,11.56
gucheng,2017-01-01 21:00:00,11.0,474.1316886646644,14.0,0.7,46.0,7.0,beijing_grid_261,-2.46,1009.58,45.44,326.98,11.43
gucheng,2017-01-01 22:00:00,10.0,424.83146888849507,18.0,0.8,44.0,7.0,beijing_grid_261,-2.81,1010.01,45.96,325.21,10.24
gucheng,2017-01-01 23:00:00,14.0,378.3047316012461,43.0,0.9,28.0,8.0,beijing_grid_261,-3.16,1010.45,46.49,322.98,9.06
gucheng,2017-01-02 00:00:00,34.0,343.55821606877214,75.0,1.5,7.0,15.0,beijing_grid_261,-3.51,1010.88,47.01,320.09,7.91
gucheng,2017-01-02 01:00:00,28.0,320.5919222910731,66.0,1.4,14.0,16.0,beijing_grid_261,-1.21,1011.09,40.23,315.29,6.55
gucheng,2017-01-02 02:00:00,24.0,309.4058502681491,48.0,1.1,26.0,14.0,beijing_grid_261,1.09,1011.3,33.44,308.06,5.26
gucheng,2017-01-02 03:00:00,207.0,310.0,110.0,4.8,22.0,18.0,beijing_grid_261,3.38,1011.51,26.66,296.48,4.11
gucheng,2017-01-02 04:00:00,254.0,322.3743714866258,99.0,4.2,44.0,20.0,beijing_grid_261,4.18,1010.99,25.9,252.77,2.45
gucheng,2017-01-02 05:00:00,307.0,333.0,122.0,5.3,37.0,25.0,beijing_grid_261,4.98,1010.47,25.13,196.97,3.43
gucheng,2017-01-02 06:00:00,317.0,328.347920812096,124.0,5.5,37.0,21.0,beijing_grid_261,5.78,1009.96,24.37,176.71,5.85
gucheng,2017-01-02 07:00:00,314.0,308.4181339229137,127.0,5.2,37.0,21.0,beijing_grid_261,3.75,1009.74,31.68,185.59,6.39
gucheng,2017-01-02 08:00:00,307.0,275.7321382505453,117.0,4.9,41.0,20.0,beijing_grid_261,1.72,1009.53,38.99,192.96,7.05
gucheng,2017-01-02 09:00:00,225.0,245.4189273035434,96.0,3.5,40.0,18.0,beijing_grid_261,-0.31,1009.31,46.29,198.99,7.81
gucheng,2017-01-02 10:00:00,208.0,220.0,108.0,3.5,26.0,16.0,beijing_grid_261,-0.77,1009.33,49.25,205.81,7.41
gucheng,2017-01-02 11:00:00,222.0,199.4753563399152,102.0,3.4,23.0,16.0,beijing_grid_261,-1.23,1009.34,52.21,213.26,7.14
gucheng,2017-01-02 12:00:00,167.0,186.16622743994208,88.0,2.8,24.0,15.0,beijing_grid_261,-1.69,1009.35,55.16,221.18,6.99
gucheng,2017-01-02 13:00:00,193.0,194.0,126.0,3.4,3.0,13.0,beijing_grid_261,-1.92,1008.94,57.2,220.54,6.73
gucheng,2017-01-02 14:00:00,205.0,221.0,128.0,0.4,3.0,13.0,beijing_grid_261,-2.15,1008.53,59.24,219.85,6.46
gucheng,2017-01-02 15:00:00,232.0,241.37879661948958,126.0,4.6,3.0,13.0,beijing_grid_261,-2.39,1008.12,61.28,219.1,6.2
