stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
mentougou,2017-01-30 16:00:00,102.0,122.0,36.0,0.1,46.0,27.0,mentougou,-2.7,1021.4,17,203.0,1.8
mentougou,2017-01-30 17:00:00,127.0,135.0,36.0,1.3,40.0,32.0,mentougou,-3.2,1021.2,19,233.0,1.4
mentougou,2017-01-30 18:00:00,123.0,131.38419289285292,38.0,1.5,33.0,32.0,mentougou,-3.6,1020.9,19,189.0,0.9
mentougou,2017-01-30 19:00:00,91.0,111.71782244077895,27.0,1.5,38.0,23.0,mentougou,-3.7,1020.3,21,216.0,1.8
mentougou,2017-01-30 20:00:00,78.0,80.26427540317829,23.0,1.8,42.45249738647044,21.0,mentougou,-4.1,1019.5,23,200.0,0.9
mentougou,2017-01-30 21:00:00,69.0,62.60387233645192,22.0,1.4,44.0,19.0,mentougou,-4.6,1019.1,27,0.0,0.2
mentougou,2017-01-30 22:00:00,60.0,63.0,26.0,1.3,42.0,23.0,mentougou,-4.5,1018.7,28,248.0,0.8
mentougou,2017-01-30 23:00:00,70.0,78.0,33.0,1.5,32.0,28.0,mentougou,-4.8,1018.8,30,268.0,0.8
mentougou,2017-01-31 00:00:00,78.0,87.0,43.0,1.8,19.0,32.0,mentougou,-5.2,1018.9,33,245.0,0.5
mentougou,2017-01-31 01:00:00,71.0,87.21980976507785,35.0,1.6,27.0,29.0,mentougou,-3.6,1018.9,29,253.0,0.5
mentougou,2017-01-31 02:00:00,67.0,80.92094146950396,29.0,1.3,45.0,27.0,mentougou,-1.1,1018.7,17,309.0,0.7
mentougou,2017-01-31 03:00:00,74.0,81.0,38.0,0.1,59.0,24.0,mentougou,0.7,1018.7,14,145.0,1.7
mentougou,2017-01-31 04:00:00,79.0,89.60641950435289,34.0,0.1,67.0,23.0,mentougou,1.7,1017.6,14,102.0,2.4
mentougou,2017-01-31 05:00:00,92.0,95.0,34.0,0.1,71.0,23.0,mentougou,2.7,1016.4,13,97.0,2.4
mentougou,2017-01-31 06:00:00,92.0,85.44054150437876,34.0,0.9,78.0,23.0,mentougou,3.9,1015.7,12,174.0,1.9
mentougou,2017-01-31 07:00:00,80.0,81.0,32.0,0.7,82.0,23.0,mentougou,4.4,1015.3,11,150.0,1.9
mentougou,2017-01-31 08:00:00,81.0,96.0,34.0,0.7,88.0,23.0,mentougou,4.3,1015.8,12,169.0,3.3
mentougou,2017-01-31 09:00:00,87.0,99.0,40.0,0.7,97.0,27.0,mentougou,3.3,1016.4,13,188.0,3.4
mentougou,2017-01-31 10:00:00,90.0,106.0,56.0,0.9,70.0,31.0,mentougou,1.9,1017.0,15,206.0,4.2
mentougou,2017-01-31 11:00:00,95.0,127.0,80.0,1.1,36.0,33.0,mentougou,0.5,1018.0,18,223.0,1.7
mentougou,2017-01-31 12:00:00,49.0,85.27365019310942,38.0,0.4,59.0,13.0,mentougou,-0.9,1019.0,23,182.0,1.1
mentougou,2017-01-31 13:00:00,15.0,34.0,12.0,0.1,78.0,4.0,mentougou,0.5,1019.9,16,298.0,1.8
mentougou,2017-01-31 14:00:00,14.0,33.0,12.0,0.2,75.0,5.0,mentougou,1.8,1020.9,15,307.0,2.4
