stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
miyunshuiku,2017-01-01 14:00:00,380.0,69.58638793324202,76.0,5.7,2.0,5.0,beijing_grid_414,-2.24,988.07,47.76,314.66,5.32
miyunshuiku,2017-01-01 15:00:00,329.0,60.5163072350021,69.0,5.2,2.0,5.0,beijing_grid_414,-2.14,988.3,46.94,315.18,6.9
miyunshuiku,2017-01-01 16:00:00,276.0,52.78975790528024,60.0,4.2,2.0,4.0,beijing_grid_414,-2.27,988.48,45.81,323.78,7.41
miyunshuiku,2017-01-01 17:00:00,207.0,46.40673994407645,43.0,0.3,2.0,5.0,beijing_grid_414,-2.4,988.65,44.69,331.16,8.05
miyunshuiku,2017-01-01 18:00:00,143.0,41.367253351390694,22.0,1.6,2.0,22.0,beijing_grid_414,-2.53,988.83,43.56,337.35,8.81
miyunshuiku,2017-01-01 19:00:00,108.0,37.67129812722301,18.0,1.3,2.0,7.0,beijing_grid_414,-2.96,989.07,44.19,341.07,8.4
miyunshuiku,2017-01-01 20:00:00,97.0,35.31887427157338,23.0,0.9,2.0,6.0,beijing_grid_414,-3.4,989.31,44.82,345.15,8.03
miyunshuiku,2017-01-01 21:00:00,88.0,34.3099817844418,27.0,0.9,5.0,5.0,beijing_grid_414,-3.84,989.55,45.45,349.59,7.7
miyunshuiku,2017-01-01 22:00:00,47.0,34.64462066582829,18.0,0.9,22.0,6.0,beijing_grid_414,-4.05,989.93,45.56,353.26,7.46
miyunshuiku,2017-01-01 23:00:00,43.0,36.322790915732824,16.0,0.8,27.0,6.0,beijing_grid_414,-4.26,990.32,45.66,357.15,7.25
miyunshuiku,2017-01-02 00:00:00,34.0,39.34449253415543,13.0,0.6,31.0,5.0,beijing_grid_414,-4.48,990.7,45.77,1.24,7.08
miyunshuiku,2017-01-02 01:00:00,28.0,43.178681879286195,12.0,0.6,37.0,6.0,beijing_grid_414,-2.8,990.86,40.57,4.65,7.04
miyunshuiku,2017-01-02 02:00:00,19.0,47.29431530931526,10.0,0.5,46.0,6.0,beijing_grid_414,-1.11,991.02,35.38,8.09,7.02
miyunshuiku,2017-01-02 03:00:00,17.0,51.69139282424263,8.0,0.4,56.0,5.0,beijing_grid_414,0.57,991.18,30.18,11.54,7.03
miyunshuiku,2017-01-02 04:00:00,11.0,56.36991442406827,5.0,0.3,69.0,3.0,beijing_grid_414,1.17,990.76,28.54,17.72,6.1
miyunshuiku,2017-01-02 05:00:00,17.0,61.32988010879222,3.0,0.3,79.0,2.0,beijing_grid_414,1.77,990.34,26.9,26.0,5.26
miyunshuiku,2017-01-02 06:00:00,9.0,66.57128987841445,3.0,0.3,81.0,2.0,beijing_grid_414,2.38,989.92,25.25,37.09,4.57
miyunshuiku,2017-01-02 07:00:00,5.0,72.09414373293498,3.0,0.2,82.0,2.0,beijing_grid_414,0.56,989.67,29.21,61.3,3.69
miyunshuiku,2017-01-02 08:00:00,6.0,77.89844167235378,3.0,0.2,82.0,2.0,beijing_grid_414,-1.26,989.41,33.16,91.58,3.72
miyunshuiku,2017-01-02 09:00:00,4.0,83.9841836966709,3.0,0.2,82.0,2.0,beijing_grid_414,-3.08,989.16,37.12,115.23,4.64
miyunshuiku,2017-01-02 10:00:00,25.0,90.35136980588629,15.0,0.5,63.0,5.0,beijing_grid_414,-3.23,989.19,37.39,134.62,3.71
miyunshuiku,2017-01-02 11:00:00,97.0,97.0,48.0,1.8,29.0,13.0,beijing_grid_414,-3.37,989.22,37.67,161.35,3.42
miyunshuiku,2017-01-02 12:00:00,220.0,103.93007427901198,73.0,3.3,14.0,19.0,beijing_grid_414,-3.51,989.25,37.95,186.7,3.9
miyunshuiku,2017-01-02 13:00:00,216.0,111.14159264292228,70.0,3.5,11.0,15.0,beijing_grid_414,-3.53,988.86,43.15,184.07,4.47
miyunshuiku,2017-01-02 14:00:00,215.0,118.63455509173085,67.0,3.6,8.0,11.0,beijing_grid_414,-3.55,988.46,48.35,182.04,5.04
miyunshuiku,2017-01-02 15:00:00,227.0,126.40896162543768,66.0,3.7,5.0,8.0,beijing_grid_414,-3.57,988.06,53.55,180.42,5.61
miyunshuiku,2017-01-02 16:00:00,196.0,134.46481224404283,60.0,3.3,2.0,5.0,beijing_grid_414,-3.87,987.88,57.97,180.54,4.91
miyunshuiku,2017-01-02 17:00:00,166.0,142.8021069475463,53.0,0.3,2.0,4.0,beijing_grid_414,-4.17,987.69,62.4,180.71,4.21
miyunshuiku,2017-01-02 18:00:00,164.0,151.42084573594803,48.0,0.3,4.0,3.0,beijing_grid_414,-4.48,987.51,66.83,180.94,3.51
miyunshuiku,2017-01-02 19:00:00,149.0,160.32102860924806,42.0,2.6,10.0,4.0,beijing_grid_414,-4.65,987.13,67.93,182.96,3.06
miyunshuiku,2017-01-02 20:00:00,141.0,169.50265556744637,41.0,2.7,5.0,3.0,beijing_grid_414,-4.82,986.75,69.02,185.67,2.61
miyunshuiku,2017-01-02 21:00:00,128.0,178.96572661054302,35.0,2.6,5.0,2.0,beijing_grid_414,-4.99,986.37,70.12,189.47,2.18
miyunshuiku,2017-01-02 22:00:00,123.0,188.71024173853792,34.0,2.5,4.0,2.0,beijing_grid_414,-4.94,986.31,69.28,209.87,2.02
miyunshuiku,2017-01-02 23:00:00,105.0,198.73620095143113,34.0,2.1,5.0,2.0,beijing_grid_414,-4.9,986.25,68.45,230.65,2.14
miyunshuiku,2017-01-03 00:00:00,93.0,208.62170811731096,29.0,1.6,10.0,3.0,beijing_grid_414,-4.86,986.19,67.61,247.35,2.5
miyunshuiku,2017-01-03 01:00:00,87.0,215.83538644470747,22.0,1.5,19.0,5.0,beijing_grid_414,-2.16,986.27,56.93,265.68,2.48
miyunshuiku,2017-01-03 02:00:00,66.0,219.95533980170896,20.0,1.3,30.0,7.0,beijing_grid_414,0.54,986.35,46.26,282.54,2.71
miyunshuiku,2017-01-03 03:00:00,74.0,220.98156818831552,19.0,1.3,38.0,8.0,beijing_grid_414,3.24,986.43,35.58,295.86,3.12
