stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
pinggu,2017-01-30 16:00:00,54.0,75.01491683991684,23.0,1.3,38.0,14.0,pinggu,-6.0,1029.0,29,114.0,1.0
pinggu,2017-01-30 17:00:00,50.0,75.01491683991684,24.0,1.4,36.0,13.0,pinggu,-6.0,1028.6,31,83.0,1.4
pinggu,2017-01-30 18:00:00,63.0,75.01491683991684,22.0,1.6,38.0,15.0,pinggu,-6.1,1028.4,34,97.0,1.0
pinggu,2017-01-30 19:00:00,56.0,75.01491683991684,19.0,0.1,40.0,17.0,pinggu,-6.3,1027.7,36,82.0,1.2
pinggu,2017-01-30 20:00:00,58.0,75.01491683991684,20.0,1.2,37.0,18.0,pinggu,-6.0,1026.7,35,90.0,1.1
pinggu,2017-01-30 21:00:00,61.0,75.01491683991684,26.0,1.3,34.0,17.0,pinggu,-7.0,1026.1,37,65.0,1.1
pinggu,2017-01-30 22:00:00,70.0,75.01491683991684,31.0,1.7,32.0,22.0,pinggu,-6.3,1025.7,33,120.0,0.8
pinggu,2017-01-30 23:00:00,74.0,75.01491683991684,40.0,1.8,22.0,22.0,pinggu,-7.2,1025.7,42,92.0,0.9
pinggu,2017-01-31 00:00:00,79.0,85.0,44.0,1.9,20.0,23.0,pinggu,-8.3,1025.8,47,78.0,0.6
pinggu,2017-01-31 01:00:00,95.0,114.0,47.0,2.2,22.0,30.0,pinggu,-5.9,1025.9,36,348.0,0.7
pinggu,2017-01-31 02:00:00,181.0,110.77777777777777,58.0,3.9,27.0,63.0,pinggu,-2.5,1025.7,24,248.0,0.8
pinggu,2017-01-31 03:00:00,160.0,107.55555555555556,46.0,2.6,45.0,45.0,pinggu,0.0,1025.3,18,232.0,1.6
pinggu,2017-01-31 04:00:00,134.0,104.33333333333333,31.0,1.5,70.0,35.0,pinggu,1.2,1024.4,15,258.0,2.6
pinggu,2017-01-31 05:00:00,111.0,101.11111111111111,24.0,1.2,81.0,29.0,pinggu,2.6,1023.1,14,250.0,3.4
pinggu,2017-01-31 06:00:00,87.0,97.88888888888889,24.0,0.9,83.0,24.0,pinggu,3.8,1022.2,12,255.0,3.1
pinggu,2017-01-31 07:00:00,63.0,94.66666666666666,20.0,0.6,82.0,21.0,pinggu,4.5,1021.8,12,250.0,3.1
pinggu,2017-01-31 08:00:00,56.0,91.44444444444444,18.0,0.5,82.0,18.0,pinggu,4.9,1021.7,11,299.0,2.8
pinggu,2017-01-31 09:00:00,56.0,88.22222222222223,20.0,0.5,80.0,17.0,pinggu,3.9,1022.8,13,274.0,1.5
pinggu,2017-01-31 10:00:00,68.0,85.0,34.0,0.9,65.0,29.0,pinggu,0.6,1023.5,17,252.0,1.3
pinggu,2017-01-31 11:00:00,91.0,113.0,41.0,1.2,57.0,33.0,pinggu,-1.5,1024.4,21,303.0,1.3
pinggu,2017-01-31 12:00:00,112.0,86.33333333333333,49.0,1.7,44.0,40.0,pinggu,-3.2,1025.4,26,264.0,1.7
pinggu,2017-01-31 13:00:00,80.0,59.666666666666664,33.0,1.1,52.0,22.0,pinggu,0.1,1026.3,17,11.0,3.6
pinggu,2017-01-31 14:00:00,28.0,33.0,11.0,0.4,68.0,7.0,pinggu,0.1,1027.5,17,354.0,3.2
pinggu,2017-01-31 15:00:00,23.0,32.0,8.0,0.4,70.0,7.0,pinggu,-0.6,1028.7,18,332.0,3.0
pinggu,2017-01-31 16:00:00,17.0,30.0,8.0,0.4,68.0,5.0,pinggu,-0.7,1029.6,19,339.0,3.6
pinggu,2017-01-31 17:00:00,20.0,23.0,7.0,0.4,69.0,4.0,pinggu,-1.1,1030.3,18,345.0,3.4
pinggu,2017-01-31 18:00:00,15.0,16.0,5.0,0.4,71.0,5.0,pinggu,-1.9,1031.1,19,333.0,2.5
pinggu,2017-01-31 19:00:00,13.0,15.0,5.0,0.3,70.0,4.0,pinggu,-3.2,1031.9,23,298.0,2.5
pinggu,2017-01-31 20:00:00,11.0,14.0,5.0,0.3,68.0,3.0,pinggu,-3.7,1032.5,24,307.0,3.3
pinggu,2017-01-31 21:00:00,9.0,11.0,5.0,0.3,68.0,4.0,pinggu,-4.5,1033.3,25,286.0,2.3
pinggu,2017-01-31 22:00:00,13.0,14.0,5.0,0.3,72.0,3.0,pinggu,-4.0,1033.7,20,310.0,3.6
pinggu,2017-01-31 23:00:00,14.0,17.0,6.0,0.3,74.0,9.0,pinggu,-4.2,1034.5,17,308.0,3.0
pinggu,2017-02-01 00:00:00,16.0,30.0,7.0,0.3,74.0,10.0,pinggu,-2.5,1035.2,11,345.0,5.9
pinggu,2017-02-01 01:00:00,17.0,24.0,5.0,0.4,77.0,6.0,pinggu,-1.7,1035.7,11,344.0,4.7
pinggu,2017-02-01 02:00:00,11.0,18.0,5.0,0.3,78.0,4.0,pinggu,0.1,1035.8,9,337.0,4.8
pinggu,2017-02-01 03:00:00,10.0,12.0,3.0,0.3,82.0,2.0,pinggu,0.9,1035.4,9,343.0,5.2
pinggu,2017-02-01 04:00:00,10.0,12.0,3.0,0.2,82.0,2.0,pinggu,2.6,1034.7,8,343.0,4.5
pinggu,2017-02-01 05:00:00,14.0,12.0,3.0,0.2,83.0,2.0,pinggu,3.1,1033.7,7,325.0,3.6
pinggu,2017-02-01 06:00:00,10.0,12.0,4.0,0.1,83.0,2.0,pinggu,4.5,1032.6,7,291.0,3.1
pinggu,2017-02-01 07:00:00,9.0,12.0,4.0,0.1,85.0,2.0,pinggu,4.8,1032.4,7,281.0,3.1
pinggu,2017-02-01 08:00:00,5.0,12.0,7.0,0.1,83.0,2.0,pinggu,4.5,1032.3,9,258.0,2.3
pinggu,2017-02-01 09:00:00,13.0,16.0,14.0,0.1,78.0,4.0,pinggu,3.1,1032.2,11,252.0,2.6
pinggu,2017-02-01 10:00:00,23.0,34.0,18.0,0.2,71.0,7.0,pinggu,0.5,1032.4,15,249.0,1.3
pinggu,2017-02-01 11:00:00,47.0,73.0,34.0,0.8,55.0,25.0,pinggu,-3.3,1032.4,20,43.0,1.5
pinggu,2017-02-01 12:00:00,99.0,155.0,42.0,0.9,44.0,42.0,pinggu,-4.4,1032.3,24,43.0,1.1
pinggu,2017-02-01 13:00:00,215.0,223.0,63.0,1.5,20.0,66.0,pinggu,-7.1,1032.3,30,69.0,1.1
pinggu,2017-02-01 14:00:00,157.0,199.0,44.0,1.9,27.0,50.0,pinggu,-8.4,1031.9,36,86.0,1.0
pinggu,2017-02-01 15:00:00,139.0,185.0,37.0,1.7,26.0,31.0,pinggu,-9.7,1031.7,39,47.0,1.1
pinggu,2017-02-01 16:00:00,94.0,171.0,30.0,1.7,31.0,25.0,pinggu,-10.1,1031.4,40,53.0,0.6
pinggu,2017-02-01 17:00:00,72.0,157.0,24.0,1.5,34.0,18.0,pinggu,-11.3,1031.2,50,352.0,0.8
pinggu,2017-02-01 18:00:00,74.0,143.0,23.0,1.8,33.0,14.0,pinggu,-11.2,1031.0,50,303.0,0.6
pinggu,2017-02-01 19:00:00,61.0,129.0,22.0,1.5,33.0,14.0,pinggu,-11.4,1030.4,48,78.0,1.0
pinggu,2017-02-01 20:00:00,58.0,115.0,20.0,1.4,27.5,11.0,pinggu,-12.3,1029.9,52,351.0,1.3
pinggu,2017-02-01 21:00:00,96.0,101.0,35.0,2.8,22.0,20.0,pinggu,-12.5,1029.6,55,337.0,0.8
pinggu,2017-02-01 22:00:00,80.0,109.25,29.0,1.7,25.0,14.0,pinggu,-13.0,1029.2,58,23.0,0.6
pinggu,2017-02-01 23:00:00,76.0,117.5,33.0,1.7,22.0,19.0,pinggu,-13.3,1029.0,60,324.0,0.9
pinggu,2017-02-02 00:00:00,105.0,125.75,44.0,2.8,16.0,27.0,pinggu,-11.9,1029.2,57,229.0,0.8
pinggu,2017-02-02 01:00:00,130.0,134.0,48.0,3.1,18.0,31.0,pinggu,-7.8,1029.1,43,339.0,0.7
pinggu,2017-02-02 02:00:00,110.0,132.0,37.0,0.2,32.0,24.0,pinggu,-2.9,1028.9,29,176.0,1.5
pinggu,2017-02-02 03:00:00,113.0,113.5,34.0,1.9,46.0,25.0,pinggu,-0.3,1028.4,25,242.0,1.9
pinggu,2017-02-02 04:00:00,86.0,95.0,38.0,1.2,50.0,21.0,pinggu,2.1,1027.3,20,236.0,1.9
pinggu,2017-02-02 05:00:00,102.0,87.5,40.0,1.2,63.0,24.0,pinggu,4.1,1025.5,16,245.0,1.7
pinggu,2017-02-02 06:00:00,87.0,80.0,32.0,0.1,72.0,21.0,pinggu,5.2,1024.2,15,241.0,2.6
pinggu,2017-02-02 07:00:00,71.0,72.5,21.0,0.7,83.0,16.0,pinggu,5.7,1023.6,13,231.0,2.6
pinggu,2017-02-02 08:00:00,64.0,65.0,21.0,0.6,85.0,18.0,pinggu,5.5,1023.4,13,243.0,2.1
pinggu,2017-02-02 09:00:00,80.0,80.0,37.0,0.7,70.0,22.0,pinggu,4.5,1023.1,15,256.0,1.2
pinggu,2017-02-02 10:00:00,90.0,95.0,49.0,0.8,59.0,26.0,pinggu,0.5,1023.3,21,280.0,0.9
pinggu,2017-02-02 11:00:00,135.0,175.0,66.0,1.6,42.0,52.0,pinggu,-1.3,1023.9,25,58.0,1.2
pinggu,2017-02-02 12:00:00,155.0,157.0,83.0,0.2,22.0,52.0,pinggu,-2.1,1023.7,27,110.0,1.1
pinggu,2017-02-02 13:00:00,177.0,154.83333333333334,73.0,2.6,20.0,48.0,pinggu,-4.1,1023.6,32,89.0,1.1
pinggu,2017-02-02 14:00:00,144.0,152.66666666666666,47.0,0.2,30.0,32.0,pinggu,-5.5,1023.4,38,97.0,1.4
pinggu,2017-02-02 15:00:00,132.0,150.5,36.0,1.9,36.0,27.0,pinggu,-6.8,1023.1,42,62.0,1.1
pinggu,2017-02-02 16:00:00,121.0,148.33333333333334,33.0,1.8,36.0,21.0,pinggu,-7.0,1022.6,44,163.0,0.5
pinggu,2017-02-02 17:00:00,116.0,146.16666666666666,31.0,1.8,35.0,20.0,pinggu,-7.7,1022.3,45,65.0,0.8
pinggu,2017-02-02 18:00:00,121.0,144.0,33.0,0.2,32.0,21.0,pinggu,-8.2,1022.4,48,336.0,0.9
pinggu,2017-02-02 19:00:00,110.0,141.83333333333334,31.0,1.8,32.0,19.0,pinggu,-8.4,1022.0,53,102.0,0.7
pinggu,2017-02-02 20:00:00,102.0,139.66666666666666,29.0,1.7,33.0,20.0,pinggu,-8.6,1021.5,53,278.0,0.3
pinggu,2017-02-02 21:00:00,108.0,137.5,37.0,2.5,25.0,23.0,pinggu,-8.1,1021.6,51,203.0,0.9
pinggu,2017-02-02 22:00:00,109.0,135.33333333333334,37.0,2.1,25.0,22.0,pinggu,-9.3,1021.5,55,339.0,0.5
pinggu,2017-02-02 23:00:00,108.0,133.16666666666666,46.0,2.1,17.0,22.0,pinggu,-9.5,1021.7,63,44.0,0.3
pinggu,2017-02-03 00:00:00,129.0,131.0,56.0,2.9,11.0,27.0,pinggu,-8.8,1022.1,54,47.0,0.3
pinggu,2017-02-03 01:00:00,153.0,161.0,58.0,2.9,13.0,36.0,pinggu,-6.2,1021.9,52,31.0,0.4
