stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
qianmen,2017-01-01 14:00:00,436.0,84.40771051074739,157.0,6.8,2.0,5.0,beijing_grid_303,-2.52,1019.24,58.06,316.7,3.37
qianmen,2017-01-01 15:00:00,443.0,84.40771051074739,161.0,7.2,2.0,5.0,beijing_grid_303,-2.47,1019.45,57.3,328.81,5.81
qianmen,2017-01-01 16:00:00,429.0,84.40771051074739,153.0,7.3,2.0,5.0,beijing_grid_303,-2.17,1019.59,52.96,335.14,8.16
qianmen,2017-01-01 17:00:00,448.0,84.40771051074739,166.0,7.5,2.0,5.0,beijing_grid_303,-1.87,1019.73,48.62,338.61,10.56
qianmen,2017-01-01 18:00:00,452.0,84.40771051074739,161.0,7.4,2.0,5.0,beijing_grid_303,-1.57,1019.87,44.28,340.8,12.98
qianmen,2017-01-01 19:00:00,369.0,84.40771051074739,155.0,6.2,2.0,5.0,beijing_grid_303,-1.86,1020.12,44.6,341.52,13.0
qianmen,2017-01-01 20:00:00,224.0,84.40771051074739,130.0,3.8,2.0,4.0,beijing_grid_303,-2.14,1020.37,44.93,342.24,13.02
qianmen,2017-01-01 21:00:00,166.0,84.40771051074739,118.0,2.9,2.0,5.0,beijing_grid_303,-2.42,1020.63,45.25,342.96,13.04
qianmen,2017-01-01 22:00:00,86.0,84.40771051074739,103.0,2.1,2.0,7.0,beijing_grid_303,-2.73,1021.08,45.38,342.15,11.95
qianmen,2017-01-01 23:00:00,47.0,84.40771051074739,88.0,1.5,5.0,8.0,beijing_grid_303,-3.04,1021.53,45.51,341.17,10.87
qianmen,2017-01-02 00:00:00,32.0,84.40771051074739,73.0,0.1,12.0,6.0,beijing_grid_303,-3.35,1021.98,45.65,339.98,9.78
qianmen,2017-01-02 01:00:00,20.0,84.40771051074739,58.0,0.8,25.0,7.0,beijing_grid_303,-1.01,1022.19,39.0,336.74,8.79
qianmen,2017-01-02 02:00:00,23.0,84.40771051074739,56.0,0.8,31.0,8.0,beijing_grid_303,1.32,1022.39,32.36,332.69,7.82
qianmen,2017-01-02 03:00:00,219.0,84.40771051074739,109.0,0.4,25.0,8.0,beijing_grid_303,3.66,1022.6,25.72,327.53,6.91
qianmen,2017-01-02 04:00:00,347.0,84.40771051074739,159.0,6.1,17.0,14.0,beijing_grid_303,4.49,1022.09,24.9,312.91,3.82
qianmen,2017-01-02 05:00:00,325.0,84.40771051074739,171.0,5.7,23.0,19.0,beijing_grid_303,5.32,1021.57,24.08,251.7,1.99
qianmen,2017-01-02 06:00:00,315.0,84.40771051074739,173.0,5.2,25.0,19.0,beijing_grid_303,6.14,1021.06,23.26,194.27,3.98
qianmen,2017-01-02 07:00:00,301.0,84.40771051074739,150.0,4.7,37.0,19.0,beijing_grid_303,4.11,1020.85,30.59,193.82,5.57
qianmen,2017-01-02 08:00:00,264.0,84.40771051074739,147.0,4.3,36.0,16.0,beijing_grid_303,2.08,1020.64,37.93,193.56,7.15
qianmen,2017-01-02 09:00:00,253.0,84.40771051074739,148.0,4.1,27.0,12.0,beijing_grid_303,0.06,1020.43,45.26,193.4,8.74
qianmen,2017-01-02 10:00:00,197.0,84.40771051074739,144.0,3.4,16.0,13.0,beijing_grid_303,-0.5,1020.45,49.96,197.27,8.61
qianmen,2017-01-02 11:00:00,204.0,84.40771051074739,131.0,3.2,19.0,12.0,beijing_grid_303,-1.05,1020.48,54.65,201.25,8.51
qianmen,2017-01-02 12:00:00,171.0,84.40771051074739,123.0,2.8,15.0,11.0,beijing_grid_303,-1.6,1020.51,59.35,205.3,8.46
qianmen,2017-01-02 13:00:00,211.0,84.40771051074739,140.0,3.3,5.0,10.0,beijing_grid_303,-1.88,1020.13,61.25,202.39,8.36
qianmen,2017-01-02 14:00:00,255.0,84.40771051074739,151.0,4.1,2.0,8.0,beijing_grid_303,-2.17,1019.75,63.15,199.43,8.29
qianmen,2017-01-02 15:00:00,280.0,84.40771051074739,158.0,0.5,2.0,8.0,beijing_grid_303,-2.45,1019.38,65.05,196.43,8.24
qianmen,2017-01-02 16:00:00,336.0,84.40771051074739,165.0,5.7,2.0,8.0,beijing_grid_303,-2.72,1019.21,65.2,189.4,6.97
qianmen,2017-01-02 17:00:00,376.0,84.40771051074739,171.0,6.8,2.0,7.0,beijing_grid_303,-3.0,1019.05,65.36,179.46,5.84
qianmen,2017-01-02 18:00:00,381.0,84.40771051074739,170.0,6.9,2.0,8.0,beijing_grid_303,-3.28,1018.88,65.51,165.45,4.97
qianmen,2017-01-02 19:00:00,279.0,84.40771051074739,163.0,6.1,2.0,9.0,beijing_grid_303,-3.58,1018.59,66.57,151.66,4.34
qianmen,2017-01-02 20:00:00,288.0,84.40771051074739,164.0,6.3,2.0,8.0,beijing_grid_303,-3.89,1018.31,67.64,134.54,4.03
qianmen,2017-01-02 21:00:00,315.0,84.40771051074739,162.0,6.3,2.0,7.0,beijing_grid_303,-4.2,1018.02,68.7,116.45,4.11
qianmen,2017-01-02 22:00:00,332.0,84.40771051074739,168.0,6.7,2.0,7.0,beijing_grid_303,-4.32,1017.99,69.2,119.64,3.22
qianmen,2017-01-02 23:00:00,341.0,84.40771051074739,172.0,6.8,2.0,7.0,beijing_grid_303,-4.43,1017.97,69.7,125.26,2.34
qianmen,2017-01-03 00:00:00,294.0,84.40771051074739,163.0,5.9,2.0,8.0,beijing_grid_303,-4.54,1017.95,70.2,137.36,1.5
qianmen,2017-01-03 01:00:00,248.0,84.40771051074739,152.0,5.2,2.0,12.0,beijing_grid_303,-2.04,1017.95,60.25,164.29,1.0
qianmen,2017-01-03 02:00:00,330.0,84.40771051074739,179.0,7.7,3.0,17.0,beijing_grid_303,0.46,1017.95,50.3,210.16,0.95
qianmen,2017-01-03 03:00:00,253.0,84.40771051074739,159.0,0.5,6.0,24.0,beijing_grid_303,2.97,1017.94,40.35,241.04,1.4
qianmen,2017-01-03 04:00:00,251.0,84.40771051074739,178.0,5.4,8.0,27.0,beijing_grid_303,4.56,1017.43,36.61,263.44,1.35
qianmen,2017-01-03 05:00:00,307.0,84.40771051074739,210.0,6.1,7.0,27.0,beijing_grid_303,6.16,1016.92,32.87,284.21,1.5
qianmen,2017-01-03 06:00:00,286.0,84.40771051074739,200.0,5.2,10.0,27.0,beijing_grid_303,7.75,1016.41,29.12,299.55,1.81
qianmen,2017-01-03 07:00:00,332.0,84.40771051074739,207.0,5.4,15.0,26.0,beijing_grid_303,5.42,1016.36,36.21,222.02,2.36
qianmen,2017-01-03 08:00:00,409.0,84.40771051074739,220.0,0.6,17.0,27.0,beijing_grid_303,3.08,1016.32,43.3,199.76,4.67
qianmen,2017-01-03 09:00:00,406.0,84.40771051074739,216.0,6.1,5.0,23.0,beijing_grid_303,0.75,1016.27,50.39,192.65,7.21
qianmen,2017-01-03 10:00:00,429.0,84.40771051074739,214.0,6.6,2.0,18.0,beijing_grid_303,0.17,1016.85,52.07,202.03,6.31
qianmen,2017-01-03 11:00:00,526.0,84.40771051074739,211.0,7.4,2.0,14.0,beijing_grid_303,-0.41,1017.42,53.75,214.08,5.63
qianmen,2017-01-03 12:00:00,573.0,84.40771051074739,211.0,8.2,2.0,13.0,beijing_grid_303,-0.99,1018.0,55.44,228.57,5.26
qianmen,2017-01-03 13:00:00,585.0,84.40771051074739,204.0,8.7,2.0,12.0,beijing_grid_303,-1.21,1018.35,56.57,220.76,5.09
qianmen,2017-01-03 14:00:00,605.0,84.40771051074739,197.0,8.9,2.0,11.0,beijing_grid_303,-1.43,1018.7,57.71,212.58,5.03
qianmen,2017-01-03 15:00:00,626.0,84.40771051074739,201.0,9.4,2.0,11.0,beijing_grid_303,-1.65,1019.04,58.84,204.35,5.06
qianmen,2017-01-03 16:00:00,644.0,649.0,196.0,9.7,2.0,10.0,beijing_grid_303,-1.88,1019.18,62.1,195.91,2.91
qianmen,2017-01-03 17:00:00,659.0,660.0,195.0,10.1,2.0,11.0,beijing_grid_303,-2.11,1019.31,65.37,153.35,1.1
qianmen,2017-01-03 18:00:00,688.0,671.0,194.0,10.6,2.0,11.0,beijing_grid_303,-2.33,1019.44,68.63,64.91,1.97
qianmen,2017-01-03 19:00:00,678.0,682.0,187.0,10.7,2.0,11.0,beijing_grid_303,-2.43,1019.5,67.13,76.34,2.91
qianmen,2017-01-03 20:00:00,659.0,666.0,176.0,10.8,2.0,11.0,beijing_grid_303,-2.53,1019.55,65.63,82.06,3.91
qianmen,2017-01-03 21:00:00,640.0,638.6666666666666,158.0,11.4,2.0,10.0,beijing_grid_303,-2.63,1019.6,64.13,85.43,4.94
