stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
shunyi,2017-01-30 16:00:00,94.0,104.0,42.0,0.2,44.0,27.0,shunyi,-1.7,1028.7,15,215.0,1.6
shunyi,2017-01-30 17:00:00,136.0,101.75,52.0,3.1,28.0,37.0,shunyi,-3.5,1028.4,24,16.0,1.0
shunyi,2017-01-30 18:00:00,112.0,99.5,43.0,2.5,31.0,26.0,shunyi,-3.7,1028.1,27,32.0,1.1
shunyi,2017-01-30 19:00:00,110.0,97.25,42.0,2.7,26.0,26.0,shunyi,-3.9,1027.6,27,21.0,0.9
shunyi,2017-01-30 20:00:00,112.0,95.0,43.0,2.9,25.0,27.0,shunyi,-4.1,1026.7,26,17.0,1.1
shunyi,2017-01-30 21:00:00,108.0,92.75,38.0,2.7,24.0,27.0,shunyi,-4.2,1026.1,28,68.0,0.9
shunyi,2017-01-30 22:00:00,99.0,90.5,38.0,2.6,19.0,24.0,shunyi,-4.0,1025.7,27,329.0,1.1
shunyi,2017-01-30 23:00:00,106.0,88.25,40.0,2.8,18.0,29.0,shunyi,-4.7,1025.9,29,28.0,0.7
shunyi,2017-01-31 00:00:00,102.0,86.0,40.0,2.8,18.0,27.0,shunyi,-4.9,1026.1,28,17.0,1.2
shunyi,2017-01-31 01:00:00,102.0,83.75,38.0,2.7,25.0,25.0,shunyi,-3.6,1026.2,28,29.0,1.1
shunyi,2017-01-31 02:00:00,96.0,81.5,29.0,2.2,43.0,26.0,shunyi,-1.7,1025.8,20,73.0,1.2
shunyi,2017-01-31 03:00:00,104.0,79.25,27.0,1.9,61.0,28.0,shunyi,0.4,1025.7,16,236.0,0.5
shunyi,2017-01-31 04:00:00,82.0,77.0,26.0,1.4,70.0,26.0,shunyi,1.5,1024.8,15,93.0,0.9
shunyi,2017-01-31 05:00:00,72.0,74.75,25.0,1.2,75.0,24.0,shunyi,3.4,1023.3,13,182.0,1.3
shunyi,2017-01-31 06:00:00,66.0,72.5,26.0,1.1,79.0,24.0,shunyi,4.7,1022.4,12,255.0,1.6
shunyi,2017-01-31 07:00:00,65.0,70.25,30.0,1.1,77.0,24.0,shunyi,5.7,1021.8,11,301.0,2.0
shunyi,2017-01-31 08:00:00,62.0,68.0,27.0,0.1,80.0,23.0,shunyi,5.7,1022.1,11,311.0,1.9
shunyi,2017-01-31 09:00:00,68.0,68.0,26.0,0.1,81.0,23.0,shunyi,3.8,1023.1,14,55.0,1.7
shunyi,2017-01-31 10:00:00,67.0,68.0,28.0,0.1,76.0,23.0,shunyi,0.4,1024.0,19,292.0,0.5
shunyi,2017-01-31 11:00:00,69.0,77.0,62.0,1.2,42.0,23.0,shunyi,-2.2,1024.9,34,0.0,0.2
shunyi,2017-01-31 12:00:00,72.0,73.0,62.0,1.3,40.0,36.0,shunyi,-2.1,1025.9,28,37.0,1.7
shunyi,2017-01-31 13:00:00,152.0,69.0,56.0,1.1,38.0,30.0,shunyi,-1.3,1027.0,23,4.0,1.6
shunyi,2017-01-31 14:00:00,60.0,65.0,42.0,1.3,48.0,25.0,shunyi,-3.0,1028.2,28,15.0,1.1
shunyi,2017-01-31 15:00:00,47.0,46.0,28.0,1.1,56.0,16.0,shunyi,-4.1,1029.5,36,59.0,0.4
shunyi,2017-01-31 16:00:00,14.0,27.0,12.0,0.5,68.0,7.0,shunyi,-4.1,1030.4,29,289.0,0.8
shunyi,2017-01-31 17:00:00,10.0,22.0,10.0,0.4,68.0,3.0,shunyi,-3.6,1031.1,27,13.0,1.5
shunyi,2017-01-31 18:00:00,4.0,19.0,10.0,0.3,65.0,2.0,shunyi,-4.7,1031.9,30,17.0,0.9
shunyi,2017-01-31 19:00:00,7.0,19.0,10.0,0.5,65.0,3.0,shunyi,-5.8,1032.6,35,31.0,1.3
shunyi,2017-01-31 20:00:00,6.0,19.0,8.0,0.5,67.0,7.0,shunyi,-5.6,1033.3,35,47.0,1.7
shunyi,2017-01-31 21:00:00,5.0,17.0,7.0,0.4,67.0,9.0,shunyi,-4.0,1034.0,26,45.0,2.4
shunyi,2017-01-31 22:00:00,3.0,14.0,8.0,0.4,66.0,12.0,shunyi,-4.6,1034.8,28,44.0,2.7
shunyi,2017-01-31 23:00:00,3.0,13.0,7.0,0.4,67.0,9.0,shunyi,-4.7,1035.4,27,45.0,3.6
shunyi,2017-02-01 00:00:00,3.0,12.0,9.0,0.4,68.0,11.0,shunyi,-4.4,1036.6,23,52.0,3.6
shunyi,2017-02-01 01:00:00,6.0,14.0,8.0,0.4,72.0,12.0,shunyi,-2.9,1037.0,20,42.0,3.2
shunyi,2017-02-01 02:00:00,9.0,17.0,7.0,0.4,73.0,10.0,shunyi,-1.6,1037.0,17,39.0,4.2
shunyi,2017-02-01 03:00:00,3.0,9.0,4.0,0.3,79.0,7.0,shunyi,-0.2,1036.4,14,52.0,3.8
shunyi,2017-02-01 04:00:00,4.0,6.0,4.0,0.3,81.0,5.0,shunyi,0.6,1035.7,13,57.0,3.0
shunyi,2017-02-01 05:00:00,6.0,6.0,4.0,0.3,83.0,4.0,shunyi,1.8,1034.7,12,41.0,1.3
shunyi,2017-02-01 06:00:00,5.0,6.0,5.0,0.3,82.0,4.0,shunyi,3.2,1033.7,11,227.0,1.8
shunyi,2017-02-01 07:00:00,9.0,13.0,11.0,0.3,72.0,4.0,shunyi,3.5,1033.2,11,98.0,1.1
shunyi,2017-02-01 08:00:00,11.0,18.0,17.0,0.3,62.0,6.0,shunyi,4.6,1032.7,9,181.0,1.4
shunyi,2017-02-01 09:00:00,13.0,23.0,28.0,0.4,52.0,3.0,shunyi,3.3,1032.5,11,222.0,1.9
shunyi,2017-02-01 10:00:00,18.0,28.0,51.0,0.6,42.0,9.0,shunyi,0.8,1032.5,16,214.0,1.0
shunyi,2017-02-01 11:00:00,24.0,40.0,74.0,0.7,20.0,12.0,shunyi,-1.0,1032.5,22,246.0,1.4
shunyi,2017-02-01 12:00:00,57.0,86.0,94.0,0.1,12.0,26.0,shunyi,-2.8,1032.3,41,0.0,0.1
shunyi,2017-02-01 13:00:00,90.0,105.0,104.0,1.2,5.0,33.0,shunyi,-4.8,1032.0,52,0.0,0.0
shunyi,2017-02-01 14:00:00,80.0,82.0,87.0,1.5,2.0,22.0,shunyi,-5.3,1031.8,44,25.0,1.2
shunyi,2017-02-01 15:00:00,196.0,274.0,95.0,4.8,12.0,89.0,shunyi,-6.2,1031.7,45,15.0,1.0
shunyi,2017-02-01 16:00:00,202.0,238.57142857142856,81.0,4.1,9.0,73.0,shunyi,-5.8,1031.6,40,19.0,1.2
shunyi,2017-02-01 17:00:00,112.0,203.14285714285714,59.0,2.5,9.0,35.0,shunyi,-5.7,1031.3,33,14.0,1.2
shunyi,2017-02-01 18:00:00,87.0,167.71428571428572,48.0,2.3,15.0,24.0,shunyi,-6.9,1031.2,42,23.0,1.3
shunyi,2017-02-01 19:00:00,64.0,132.28571428571428,37.0,1.8,20.0,15.0,shunyi,-6.9,1030.9,37,358.0,0.9
shunyi,2017-02-01 20:00:00,46.0,96.85714285714283,29.0,1.5,26.0,12.0,shunyi,-7.6,1030.3,40,21.0,1.9
shunyi,2017-02-01 21:00:00,37.0,61.428571428571416,26.0,1.2,32.0,15.0,shunyi,-8.2,1030.0,40,18.0,0.8
shunyi,2017-02-01 22:00:00,26.0,26.0,29.0,0.1,34.0,25.0,shunyi,-8.1,1029.5,39,23.0,2.0
shunyi,2017-02-01 23:00:00,27.0,30.0,43.0,1.1,22.0,38.0,shunyi,-7.8,1029.4,37,341.0,1.0
shunyi,2017-02-02 00:00:00,28.0,34.0,50.0,1.3,16.0,37.0,shunyi,-7.8,1029.8,37,8.0,1.6
shunyi,2017-02-02 01:00:00,33.0,44.0,38.0,1.2,29.0,36.0,shunyi,-5.8,1029.8,32,6.0,1.8
shunyi,2017-02-02 02:00:00,33.0,38.0,20.0,0.8,51.0,24.0,shunyi,-2.7,1029.4,24,19.0,1.7
shunyi,2017-02-02 03:00:00,28.0,34.0,15.0,0.7,58.0,19.0,shunyi,-0.5,1028.8,20,58.0,1.3
shunyi,2017-02-02 04:00:00,28.0,30.0,15.0,0.7,64.0,14.0,shunyi,1.8,1027.7,17,73.0,1.1
shunyi,2017-02-02 05:00:00,36.0,37.333333333333336,15.0,0.7,77.0,15.0,shunyi,3.2,1026.0,14,333.0,1.4
shunyi,2017-02-02 06:00:00,39.0,44.666666666666664,19.0,0.7,80.0,15.0,shunyi,4.9,1024.7,13,211.0,1.5
shunyi,2017-02-02 07:00:00,44.0,52.0,42.0,0.8,69.0,17.0,shunyi,5.4,1024.1,13,219.0,1.6
shunyi,2017-02-02 08:00:00,57.0,55.666666666666664,61.0,0.9,67.0,21.0,shunyi,5.2,1023.6,13,187.0,1.8
shunyi,2017-02-02 09:00:00,55.0,59.333333333333336,43.0,0.9,75.0,19.0,shunyi,4.2,1023.5,16,183.0,0.8
shunyi,2017-02-02 10:00:00,62.0,63.0,78.0,0.1,36.0,20.0,shunyi,0.7,1023.6,32,0.0,0.0
shunyi,2017-02-02 11:00:00,65.0,96.0,92.0,1.2,21.0,24.0,shunyi,-1.5,1023.9,44,0.0,0.0
shunyi,2017-02-02 12:00:00,77.0,97.0,107.0,1.6,4.0,30.0,shunyi,-2.3,1023.6,41,0.0,0.0
shunyi,2017-02-02 13:00:00,85.0,108.0,101.0,1.9,5.0,31.0,shunyi,-3.1,1023.5,47,0.0,0.0
shunyi,2017-02-02 14:00:00,158.0,164.0,103.0,3.8,10.0,59.0,shunyi,-3.2,1023.3,37,16.0,1.2
shunyi,2017-02-02 15:00:00,227.0,155.91666666666666,113.0,5.8,16.0,101.0,shunyi,-3.1,1023.1,38,21.0,1.4
shunyi,2017-02-02 16:00:00,174.0,147.83333333333334,98.0,3.8,9.0,59.0,shunyi,-3.4,1022.7,39,25.0,1.5
shunyi,2017-02-02 17:00:00,132.0,139.75,81.0,3.4,7.0,42.0,shunyi,-3.6,1022.5,35,24.0,1.4
shunyi,2017-02-02 18:00:00,112.0,131.66666666666666,72.0,2.9,7.0,36.0,shunyi,-4.1,1022.6,38,24.0,1.3
shunyi,2017-02-02 19:00:00,88.0,123.58333333333333,56.0,2.4,14.0,26.0,shunyi,-4.5,1022.4,39,8.0,1.0
shunyi,2017-02-02 20:00:00,68.0,115.5,41.0,1.9,25.0,20.0,shunyi,-4.8,1022.1,40,353.0,0.9
shunyi,2017-02-02 21:00:00,56.0,107.41666666666666,38.0,1.6,29.0,19.0,shunyi,-5.3,1021.9,46,29.0,1.1
shunyi,2017-02-02 22:00:00,52.0,99.33333333333333,39.0,1.7,26.0,20.0,shunyi,-4.9,1021.9,39,5.0,1.1
shunyi,2017-02-02 23:00:00,54.0,91.25,55.0,0.2,13.0,31.0,shunyi,-5.1,1022.0,41,15.0,1.7
shunyi,2017-02-03 00:00:00,57.0,83.16666666666666,64.0,2.1,7.0,41.0,shunyi,-5.2,1022.4,42,28.0,1.4
shunyi,2017-02-03 01:00:00,51.0,75.08333333333333,41.0,1.6,25.0,29.0,shunyi,-3.3,1022.3,36,19.0,1.0
shunyi,2017-02-03 02:00:00,57.0,67.0,32.0,1.5,34.0,26.0,shunyi,-0.7,1021.9,29,21.0,1.5
shunyi,2017-02-03 03:00:00,72.0,74.5,30.0,1.4,44.0,20.0,shunyi,0.9,1021.3,26,16.0,1.2
shunyi,2017-02-03 04:00:00,79.0,82.0,32.0,1.3,51.0,25.0,shunyi,3.1,1020.3,22,57.0,0.9
shunyi,2017-02-03 05:00:00,111.0,131.0,45.0,1.5,63.0,33.0,shunyi,4.3,1019.1,22,85.0,1.2
shunyi,2017-02-03 06:00:00,157.0,167.0,56.0,0.2,73.0,44.0,shunyi,4.9,1017.9,21,135.0,1.5
shunyi,2017-02-03 07:00:00,204.0,213.0,57.0,2.2,88.0,55.0,shunyi,5.8,1017.5,19,173.0,1.6
shunyi,2017-02-03 08:00:00,210.0,225.5,73.0,2.3,75.0,55.0,shunyi,5.6,1016.9,22,173.0,2.2
shunyi,2017-02-03 09:00:00,225.0,238.0,90.0,2.7,62.0,65.0,shunyi,4.8,1017.3,24,170.0,1.6
shunyi,2017-02-03 10:00:00,235.0,252.0,128.0,2.9,26.0,71.0,shunyi,2.9,1017.6,34,161.0,0.9
