stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
tiantan,2017-01-01 14:00:00,357.0,449.0,116.0,6.2,2.0,4.0,beijing_grid_303,-2.52,1019.24,58.06,316.7,3.37
tiantan,2017-01-01 15:00:00,351.0,467.0,109.0,6.4,2.0,5.0,beijing_grid_303,-2.47,1019.45,57.3,328.81,5.81
tiantan,2017-01-01 16:00:00,346.0,451.0,101.0,6.6,2.0,4.0,beijing_grid_303,-2.17,1019.59,52.96,335.14,8.16
tiantan,2017-01-01 17:00:00,339.0,447.0,98.0,6.6,2.0,4.0,beijing_grid_303,-1.87,1019.73,48.62,338.61,10.56
tiantan,2017-01-01 18:00:00,345.0,471.0,101.0,6.9,2.0,4.0,beijing_grid_303,-1.57,1019.87,44.28,340.8,12.98
tiantan,2017-01-01 19:00:00,362.0,459.0,95.0,7.2,2.0,4.0,beijing_grid_303,-1.86,1020.12,44.6,341.52,13.0
tiantan,2017-01-01 20:00:00,369.0,428.0,89.0,7.3,2.0,3.0,beijing_grid_303,-2.14,1020.37,44.93,342.24,13.02
tiantan,2017-01-01 21:00:00,212.0,376.46524971200114,93.0,4.3,2.0,2.0,beijing_grid_303,-2.42,1020.63,45.25,342.96,13.04
tiantan,2017-01-01 22:00:00,102.0,303.29088515790505,91.0,2.3,2.0,2.0,beijing_grid_303,-2.73,1021.08,45.38,342.15,11.95
tiantan,2017-01-01 23:00:00,50.0,208.47690633771194,76.0,1.4,6.0,3.0,beijing_grid_303,-3.04,1021.53,45.51,341.17,10.87
tiantan,2017-01-02 00:00:00,42.0,150.3347261091384,73.0,1.3,2.0,2.0,beijing_grid_303,-3.35,1021.98,45.65,339.98,9.78
tiantan,2017-01-02 01:00:00,54.0,187.1757573299011,64.0,0.1,10.0,4.0,beijing_grid_303,-1.01,1022.19,39.0,336.74,8.79
tiantan,2017-01-02 02:00:00,161.0,319.0,118.0,5.2,7.0,11.0,beijing_grid_303,1.32,1022.39,32.36,332.69,7.82
tiantan,2017-01-02 03:00:00,314.0,479.0,160.0,7.2,6.0,10.0,beijing_grid_303,3.66,1022.6,25.72,327.53,6.91
tiantan,2017-01-02 04:00:00,326.0,347.0,164.0,6.4,11.0,10.0,beijing_grid_303,4.49,1022.09,24.9,312.91,3.82
tiantan,2017-01-02 05:00:00,311.0,314.0,171.0,5.9,21.0,14.0,beijing_grid_303,5.32,1021.57,24.08,251.7,1.99
tiantan,2017-01-02 06:00:00,311.0,303.4308661817561,169.0,5.6,27.0,15.0,beijing_grid_303,6.14,1021.06,23.26,194.27,3.98
tiantan,2017-01-02 07:00:00,274.0,291.0,146.0,4.8,39.0,18.0,beijing_grid_303,4.11,1020.85,30.59,193.82,5.57
tiantan,2017-01-02 08:00:00,244.0,278.6211531102892,125.0,4.2,51.0,16.0,beijing_grid_303,2.08,1020.64,37.93,193.56,7.15
tiantan,2017-01-02 09:00:00,230.0,266.29432551262374,122.0,0.4,41.0,12.0,beijing_grid_303,0.06,1020.43,45.26,193.4,8.74
tiantan,2017-01-02 10:00:00,172.0,254.0195172070035,123.0,3.2,21.0,9.0,beijing_grid_303,-0.5,1020.45,49.96,197.27,8.61
tiantan,2017-01-02 11:00:00,172.0,242.40703841093807,133.0,3.1,10.0,10.0,beijing_grid_303,-1.05,1020.48,54.65,201.25,8.51
tiantan,2017-01-02 12:00:00,171.0,232.06719934193694,105.0,2.9,23.0,10.0,beijing_grid_303,-1.6,1020.51,59.35,205.3,8.46
tiantan,2017-01-02 13:00:00,205.0,223.0,121.0,3.4,10.0,6.0,beijing_grid_303,-1.88,1020.13,61.25,202.39,8.36
tiantan,2017-01-02 14:00:00,217.0,223.0,129.0,3.8,2.0,3.0,beijing_grid_303,-2.17,1019.75,63.15,199.43,8.29
tiantan,2017-01-02 15:00:00,235.0,266.0,128.0,4.2,2.0,3.0,beijing_grid_303,-2.45,1019.38,65.05,196.43,8.24
tiantan,2017-01-02 16:00:00,250.0,295.0,121.0,4.8,2.0,2.0,beijing_grid_303,-2.72,1019.21,65.2,189.4,6.97
tiantan,2017-01-02 17:00:00,288.0,358.0,122.0,5.6,2.0,2.0,beijing_grid_303,-3.0,1019.05,65.36,179.46,5.84
tiantan,2017-01-02 18:00:00,324.0,400.0,118.0,6.4,2.0,2.0,beijing_grid_303,-3.28,1018.88,65.51,165.45,4.97
tiantan,2017-01-02 19:00:00,357.0,436.0,120.0,6.8,2.0,2.0,beijing_grid_303,-3.58,1018.59,66.57,151.66,4.34
tiantan,2017-01-02 20:00:00,344.0,401.0,112.0,6.8,2.0002055517312343,2.0,beijing_grid_303,-3.89,1018.31,67.64,134.54,4.03
tiantan,2017-01-02 21:00:00,346.0,436.0,111.0,7.2,2.0,2.0,beijing_grid_303,-4.2,1018.02,68.7,116.45,4.11
tiantan,2017-01-02 22:00:00,347.0,419.0,125.0,7.8,2.0,3.0,beijing_grid_303,-4.32,1017.99,69.2,119.64,3.22
tiantan,2017-01-02 23:00:00,315.0,361.0,128.0,6.8,2.0,2.0,beijing_grid_303,-4.43,1017.97,69.7,125.26,2.34
tiantan,2017-01-03 00:00:00,282.0,318.0,113.0,6.4,2.0,2.0,beijing_grid_303,-4.54,1017.95,70.2,137.36,1.5
tiantan,2017-01-03 01:00:00,271.0,340.0,113.0,6.4,2.0,2.0,beijing_grid_303,-2.04,1017.95,60.25,164.29,1.0
tiantan,2017-01-03 02:00:00,294.0,392.0,139.0,7.6,2.0,3.0,beijing_grid_303,0.46,1017.95,50.3,210.16,0.95
tiantan,2017-01-03 03:00:00,356.0,396.0,195.0,7.9,3.0,11.0,beijing_grid_303,2.97,1017.94,40.35,241.04,1.4
tiantan,2017-01-03 04:00:00,364.0,383.0,217.0,7.7,3.0,14.0,beijing_grid_303,4.56,1017.43,36.61,263.44,1.35
tiantan,2017-01-03 05:00:00,305.0,323.0,207.0,6.2,5.0,19.0,beijing_grid_303,6.16,1016.92,32.87,284.21,1.5
tiantan,2017-01-03 06:00:00,268.0,276.0,197.0,5.2,9.0,22.0,beijing_grid_303,7.75,1016.41,29.12,299.55,1.81
tiantan,2017-01-03 07:00:00,332.0,461.0,204.0,5.5,15.0,23.0,beijing_grid_303,5.42,1016.36,36.21,222.02,2.36
tiantan,2017-01-03 08:00:00,389.0,418.0,205.0,5.8,23.0,23.0,beijing_grid_303,3.08,1016.32,43.3,199.76,4.67
tiantan,2017-01-03 09:00:00,357.0,417.0,196.0,5.7,6.0,13.0,beijing_grid_303,0.75,1016.27,50.39,192.65,7.21
tiantan,2017-01-03 10:00:00,384.0,446.0,193.0,6.6,2.0,4.0,beijing_grid_303,0.17,1016.85,52.07,202.03,6.31
tiantan,2017-01-03 11:00:00,429.0,564.0,193.0,7.1,2.0,3.0,beijing_grid_303,-0.41,1017.42,53.75,214.08,5.63
