stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
tongzhou,2017-01-30 16:00:00,71.0,68.05724028223943,32.0,1.1,57.0,16.0,tongzhou,-3.0,1030.1,16,205.0,1.8
tongzhou,2017-01-30 17:00:00,72.0,60.523982754494085,23.0,1.1,66.0,19.0,tongzhou,-3.4,1029.8,18,181.0,1.5
tongzhou,2017-01-30 18:00:00,83.0,54.28280678083869,25.0,1.2,62.0,25.0,tongzhou,-4.8,1029.5,21,174.0,1.1
tongzhou,2017-01-30 19:00:00,95.0,49.33371236127326,25.0,1.1,58.0,28.0,tongzhou,-5.1,1029.0,22,176.0,1.2
tongzhou,2017-01-30 20:00:00,98.0,45.67669949579777,32.0,1.2,47.51899110125977,29.0,tongzhou,-5.0,1027.8,25,159.0,1.3
tongzhou,2017-01-30 21:00:00,106.0,43.31176818441224,34.0,1.4,38.0,28.0,tongzhou,-5.3,1027.5,25,194.0,0.8
tongzhou,2017-01-30 22:00:00,117.0,42.23891842711667,37.0,1.5,36.0,32.0,tongzhou,-5.6,1026.9,26,192.0,0.6
tongzhou,2017-01-30 23:00:00,118.0,42.45815022391105,42.0,1.6,28.0,32.0,tongzhou,-6.1,1027.0,29,205.0,0.8
tongzhou,2017-01-31 00:00:00,122.0,43.87053018513665,48.0,1.7,22.0,36.0,tongzhou,-6.0,1027.1,32,184.0,1.8
tongzhou,2017-01-31 01:00:00,134.0,45.882457972841095,50.0,1.9,22.0,39.0,tongzhou,-3.9,1027.1,27,242.0,0.7
tongzhou,2017-01-31 02:00:00,139.0,48.395000197365626,55.0,2.1,26.0,45.0,tongzhou,-1.1,1027.0,20,251.0,2.0
tongzhou,2017-01-31 03:00:00,143.0,51.40815685871026,63.0,2.1,32.0,48.0,tongzhou,0.6,1026.9,17,259.0,2.0
tongzhou,2017-01-31 04:00:00,115.0,54.921927956874974,59.0,1.7,43.0,41.0,tongzhou,2.1,1025.9,14,234.0,2.2
tongzhou,2017-01-31 05:00:00,93.0,58.936313491859785,51.0,1.4,52.0,36.0,tongzhou,3.1,1024.7,13,241.0,2.1
tongzhou,2017-01-31 06:00:00,90.0,63.451313463664704,52.0,1.3,57.0,34.0,tongzhou,3.9,1023.8,12,252.0,2.1
tongzhou,2017-01-31 07:00:00,79.0,68.4669278722897,45.0,1.1,64.0,29.0,tongzhou,5.0,1023.3,11,245.0,2.1
tongzhou,2017-01-31 08:00:00,72.0,73.98315671773483,47.0,0.1,63.0,26.0,tongzhou,5.4,1023.5,10,252.0,2.0
tongzhou,2017-01-31 09:00:00,77.0,80.0,52.0,0.1,60.0,26.0,tongzhou,3.3,1024.3,13,224.0,1.9
tongzhou,2017-01-31 10:00:00,87.0,90.0,47.0,0.1,67.0,29.0,tongzhou,0.8,1025.1,17,242.0,1.3
tongzhou,2017-01-31 11:00:00,97.0,117.0,49.0,1.2,66.0,37.0,tongzhou,-1.2,1025.8,23,127.0,1.2
tongzhou,2017-01-31 12:00:00,115.0,124.0,56.0,1.4,63.0,46.0,tongzhou,-2.7,1026.7,29,244.0,0.7
tongzhou,2017-01-31 13:00:00,126.0,134.0,85.0,1.7,32.0,60.0,tongzhou,-3.7,1027.7,52,309.0,2.0
tongzhou,2017-01-31 14:00:00,102.0,94.69325757453558,90.0,1.6,15.0,41.0,tongzhou,-4.2,1028.9,57,326.0,2.0
tongzhou,2017-01-31 15:00:00,38.0,46.0,39.0,0.8,46.0,15.0,tongzhou,-0.7,1029.9,19,342.0,3.4
tongzhou,2017-01-31 16:00:00,30.0,34.0,26.0,0.7,58.0,11.0,tongzhou,-1.1,1030.8,20,341.0,3.8
tongzhou,2017-01-31 17:00:00,15.0,33.0,20.0,0.6,61.0,7.0,tongzhou,-1.9,1031.7,22,344.0,2.9
tongzhou,2017-01-31 18:00:00,15.0,22.0,25.0,0.6,53.0,6.0,tongzhou,-2.6,1032.6,23,352.0,3.2
tongzhou,2017-01-31 19:00:00,9.0,19.0,16.0,0.6,57.0,4.0,tongzhou,-2.5,1033.1,23,350.0,3.9
tongzhou,2017-01-31 20:00:00,4.0,14.0,12.0,0.4,64.0,6.0,tongzhou,-3.6,1033.8,25,348.0,2.7
tongzhou,2017-01-31 21:00:00,5.0,14.0,7.0,0.3,71.0,5.0,tongzhou,-3.9,1034.5,25,356.0,2.9
tongzhou,2017-01-31 22:00:00,6.0,20.0,6.0,0.3,71.0,3.0,tongzhou,-3.7,1035.0,25,345.0,4.4
tongzhou,2017-01-31 23:00:00,3.0,16.0,6.0,0.4,72.0,2.0,tongzhou,-3.8,1035.8,24,357.0,5.2
tongzhou,2017-02-01 00:00:00,3.0,10.0,5.0,0.3,76.0,2.0,tongzhou,-3.5,1036.7,20,9.0,2.3
tongzhou,2017-02-01 01:00:00,7.0,18.0,6.0,0.3,77.0,3.0,tongzhou,-2.1,1037.4,17,10.0,4.5
tongzhou,2017-02-01 02:00:00,10.0,14.0,7.0,0.4,77.0,4.0,tongzhou,-1.0,1037.3,15,14.0,5.7
