stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
wanliu,2017-01-01 14:00:00,468.0,518.0,187.0,7.5,6.0,7.0,beijing_grid_283,-2.0,1014.44,49.13,322.85,5.59
wanliu,2017-01-01 15:00:00,459.0,529.0,186.0,8.6,7.0,8.0,beijing_grid_283,-1.69,1014.69,46.57,327.35,8.39
wanliu,2017-01-01 16:00:00,441.0,500.0,179.0,8.2,7.0,7.0,beijing_grid_283,-1.59,1014.86,45.46,328.39,10.09
wanliu,2017-01-01 17:00:00,445.0,523.0,181.0,8.4,8.0,8.0,beijing_grid_283,-1.49,1015.02,44.35,329.12,11.8
wanliu,2017-01-01 18:00:00,440.0,504.0,181.0,8.5,7.0,8.0,beijing_grid_283,-1.39,1015.19,43.25,329.68,13.5
wanliu,2017-01-01 19:00:00,403.0,415.0,172.0,7.6,6.0,7.0,beijing_grid_283,-1.71,1015.42,43.9,330.61,13.22
wanliu,2017-01-01 20:00:00,340.0,330.33253736426957,163.0,6.2,5.0,6.0,beijing_grid_283,-2.04,1015.66,44.55,331.58,12.95
wanliu,2017-01-01 21:00:00,222.0,263.09674783465084,128.0,4.4,4.0,4.0,beijing_grid_283,-2.36,1015.89,45.2,332.6,12.68
wanliu,2017-01-01 22:00:00,75.0,213.2926314111441,76.0,1.7,10.0,8.0,beijing_grid_283,-2.62,1016.3,45.0,331.97,11.83
wanliu,2017-01-01 23:00:00,30.0,180.920188093749,76.0,1.2,9.0,9.0,beijing_grid_283,-2.88,1016.71,44.79,331.25,10.98
wanliu,2017-01-02 00:00:00,30.0,164.9728367948306,80.0,1.4,9.0,13.0,beijing_grid_283,-3.13,1017.12,44.59,330.4,10.13
wanliu,2017-01-02 01:00:00,28.0,159.4110909885776,82.0,1.6,11.0,19.0,beijing_grid_283,-0.85,1017.3,38.12,330.91,8.9
wanliu,2017-01-02 02:00:00,30.0,163.22836958735485,74.0,1.1,19.0,21.0,beijing_grid_283,1.43,1017.49,31.66,331.59,7.66
wanliu,2017-01-02 03:00:00,29.0,176.4246725911623,73.0,1.3,27.0,20.0,beijing_grid_283,3.71,1017.67,25.2,332.52,6.43
wanliu,2017-01-02 04:00:00,113.0,199.0,109.0,3.3,33.0,21.0,beijing_grid_283,4.55,1017.14,24.05,332.05,2.6
wanliu,2017-01-02 05:00:00,188.0,230.95435181386793,102.0,0.3,53.0,22.0,beijing_grid_283,5.4,1016.61,22.9,154.52,1.24
wanliu,2017-01-02 06:00:00,221.0,258.0,125.0,3.9,47.0,27.0,beijing_grid_283,6.25,1016.08,21.75,153.25,5.07
wanliu,2017-01-02 07:00:00,259.0,265.84921652563014,127.0,4.1,50.0,29.0,beijing_grid_283,4.19,1015.86,28.44,163.05,6.1
wanliu,2017-01-02 08:00:00,239.0,254.50200139075824,127.0,3.8,46.0,27.0,beijing_grid_283,2.13,1015.64,35.13,169.88,7.25
wanliu,2017-01-02 09:00:00,213.0,223.95835459538444,128.0,3.4,35.0,23.0,beijing_grid_283,0.07,1015.42,41.82,174.8,8.47
wanliu,2017-01-02 10:00:00,159.0,174.2182761395088,121.0,2.6,24.0,20.0,beijing_grid_283,-0.63,1015.43,46.4,179.91,7.51
wanliu,2017-01-02 11:00:00,157.0,111.86730418421004,106.0,2.6,31.0,17.0,beijing_grid_283,-1.33,1015.44,50.98,186.45,6.62
wanliu,2017-01-02 12:00:00,144.0,76.41866769596243,110.0,2.4,19.0,14.0,beijing_grid_283,-2.03,1015.45,55.56,194.88,5.84
wanliu,2017-01-02 13:00:00,124.0,74.45790483584486,113.0,2.4,11.0,16.0,beijing_grid_283,-2.32,1015.06,58.68,190.94,5.5
wanliu,2017-01-02 14:00:00,142.0,105.98501560385742,118.0,2.7,6.0,13.0,beijing_grid_283,-2.61,1014.67,61.8,186.52,5.2
wanliu,2017-01-02 15:00:00,160.0,171.0,127.0,3.3,5.0,8.0,beijing_grid_283,-2.9,1014.28,64.93,181.58,4.92
wanliu,2017-01-02 16:00:00,238.0,262.0,156.0,5.5,8.0,20.0,beijing_grid_283,-3.16,1014.15,65.45,165.12,4.02
wanliu,2017-01-02 17:00:00,269.0,333.9678674582211,165.0,6.6,8.0,19.0,beijing_grid_283,-3.41,1014.03,65.97,142.34,3.6
wanliu,2017-01-02 18:00:00,260.0,379.40074435039065,159.0,0.6,6.0,13.0,beijing_grid_283,-3.66,1013.9,66.49,118.34,3.83
wanliu,2017-01-02 19:00:00,246.0,398.29863067650854,157.0,5.7,6.0,15.0,beijing_grid_283,-3.87,1013.62,67.77,108.82,3.85
wanliu,2017-01-02 20:00:00,240.0,390.66152643657483,158.0,6.2,6.36226781619799,13.0,beijing_grid_283,-4.08,1013.35,69.05,99.64,3.97
wanliu,2017-01-02 21:00:00,231.9668786572622,366.8792313920693,156.0698812752795,5.759259263393302,6.5868414199125,11.726419770945943,beijing_grid_283,-4.28,1013.07,70.33,91.21,4.19
wanliu,2017-01-02 22:00:00,217.0,337.3415453044717,148.0,5.3,6.0,12.0,beijing_grid_283,-4.38,1013.05,70.53,89.22,2.57
wanliu,2017-01-02 23:00:00,197.0,302.0484681737819,136.0,4.9,5.0,13.0,beijing_grid_283,-4.48,1013.02,70.74,80.69,0.98
wanliu,2017-01-03 00:00:00,198.0,261.0,144.0,6.1,6.0,13.0,beijing_grid_283,-4.57,1012.99,70.94,293.45,0.71
wanliu,2017-01-03 01:00:00,205.0,218.0,155.0,6.3,6.0,19.0,beijing_grid_283,-1.7,1012.99,59.64,299.07,1.42
wanliu,2017-01-03 02:00:00,206.0,195.87162347502615,153.0,5.8,7.0,41.0,beijing_grid_283,1.16,1012.98,48.34,300.94,2.13
wanliu,2017-01-03 03:00:00,200.0,198.41872964195244,149.0,4.9,11.0,47.0,beijing_grid_283,4.03,1012.97,37.04,301.87,2.84
wanliu,2017-01-03 04:00:00,199.0,220.51680072901365,150.0,4.2,16.0,42.0,beijing_grid_283,5.6,1012.48,33.44,310.93,2.96
wanliu,2017-01-03 05:00:00,199.0,231.41873010561798,163.0,3.465938264222688,18.0,34.77393997746265,beijing_grid_283,7.16,1011.98,29.84,319.13,3.14
wanliu,2017-01-03 06:00:00,193.0,226.0,150.83629178784065,3.2,23.0,31.0,beijing_grid_283,8.72,1011.49,26.24,326.3,3.38
