stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
wanshouxigong,2017-01-01 14:00:00,416.0,474.0,140.0,0.6,7.0,5.0,beijing_grid_303,-2.52,1019.24,58.06,316.7,3.37
wanshouxigong,2017-01-01 15:00:00,403.0,469.0,139.0,6.1,6.0,5.0,beijing_grid_303,-2.47,1019.45,57.3,328.81,5.81
wanshouxigong,2017-01-01 16:00:00,389.0,461.0,138.0,6.5,6.0,4.0,beijing_grid_303,-2.17,1019.59,52.96,335.14,8.16
wanshouxigong,2017-01-01 17:00:00,403.0,459.0,133.0,6.9,7.0,5.0,beijing_grid_303,-1.87,1019.73,48.62,338.61,10.56
wanshouxigong,2017-01-01 18:00:00,413.0,479.0,126.0,6.6,7.0,5.0,beijing_grid_303,-1.57,1019.87,44.28,340.8,12.98
wanshouxigong,2017-01-01 19:00:00,422.0,465.0,117.0,6.8,7.0,5.0,beijing_grid_303,-1.86,1020.12,44.6,341.52,13.0
wanshouxigong,2017-01-01 20:00:00,325.0,423.0600306233829,123.0,5.6,5.0,4.0,beijing_grid_303,-2.14,1020.37,44.93,342.24,13.02
wanshouxigong,2017-01-01 21:00:00,148.0,356.0177804976848,104.0,2.7,4.0,3.0,beijing_grid_303,-2.42,1020.63,45.25,342.96,13.04
wanshouxigong,2017-01-01 22:00:00,78.0,263.87324962290614,88.0,1.5,3.0,4.0,beijing_grid_303,-2.73,1021.08,45.38,342.15,11.95
wanshouxigong,2017-01-01 23:00:00,50.0,198.42355216525937,86.0,1.5,3.0,2.0,beijing_grid_303,-3.04,1021.53,45.51,341.17,10.87
wanshouxigong,2017-01-02 00:00:00,56.0,211.46580229095736,89.0,1.6,4.0,2.0,beijing_grid_303,-3.35,1021.98,45.65,339.98,9.78
wanshouxigong,2017-01-02 01:00:00,208.0,303.0,100.0,5.6,7.0,4.0,beijing_grid_303,-1.01,1022.19,39.0,336.74,8.79
wanshouxigong,2017-01-02 02:00:00,362.0,457.0,134.0,7.1,9.0,6.0,beijing_grid_303,1.32,1022.39,32.36,332.69,7.82
wanshouxigong,2017-01-02 03:00:00,419.0,577.3089305366337,153.0,0.7,12.0,7.0,beijing_grid_303,3.66,1022.6,25.72,327.53,6.91
wanshouxigong,2017-01-02 04:00:00,361.0,647.9006463175137,154.0,6.2,17.0,12.0,beijing_grid_303,4.49,1022.09,24.9,312.91,3.82
wanshouxigong,2017-01-02 05:00:00,350.0,668.7751473426399,156.0,5.7,27.0,17.0,beijing_grid_303,5.32,1021.57,24.08,251.7,1.99
wanshouxigong,2017-01-02 06:00:00,316.0,639.9324336120128,137.0,4.6,37.0,17.0,beijing_grid_303,6.14,1021.06,23.26,194.27,3.98
wanshouxigong,2017-01-02 07:00:00,297.0,561.372505125632,125.0,4.4,46.0,17.0,beijing_grid_303,4.11,1020.85,30.59,193.82,5.57
wanshouxigong,2017-01-02 08:00:00,260.0,442.6990691203856,113.0,3.8,51.0,13.0,beijing_grid_303,2.08,1020.64,37.93,193.56,7.15
wanshouxigong,2017-01-02 09:00:00,245.0,341.5343690176035,120.0,3.7,37.0,10.0,beijing_grid_303,0.06,1020.43,45.26,193.4,8.74
wanshouxigong,2017-01-02 10:00:00,204.0,267.4821120541739,126.0,3.1,18.0,10.0,beijing_grid_303,-0.5,1020.45,49.96,197.27,8.61
wanshouxigong,2017-01-02 11:00:00,195.0,220.54229823009683,115.0,2.9,21.0,10.0,beijing_grid_303,-1.05,1020.48,54.65,201.25,8.51
wanshouxigong,2017-01-02 12:00:00,176.0,200.71492754537215,113.0,2.7,15.0,9.0,beijing_grid_303,-1.6,1020.51,59.35,205.3,8.46
wanshouxigong,2017-01-02 13:00:00,194.0,208.0,119.0,3.1,10.0,10.0,beijing_grid_303,-1.88,1020.13,61.25,202.39,8.36
wanshouxigong,2017-01-02 14:00:00,275.0,242.39751559398027,133.0,3.8,7.0,7.0,beijing_grid_303,-2.17,1019.75,63.15,199.43,8.29
wanshouxigong,2017-01-02 15:00:00,308.0,298.7374880828688,138.0,4.4,6.0,5.0,beijing_grid_303,-2.45,1019.38,65.05,196.43,8.24
wanshouxigong,2017-01-02 16:00:00,325.0,346.0,143.0,5.1,7.0,4.0,beijing_grid_303,-2.72,1019.21,65.2,189.4,6.97
wanshouxigong,2017-01-02 17:00:00,365.0,379.0,152.0,5.9,7.0,5.0,beijing_grid_303,-3.0,1019.05,65.36,179.46,5.84
wanshouxigong,2017-01-02 18:00:00,371.0,398.0,151.0,6.3,7.0,5.0,beijing_grid_303,-3.28,1018.88,65.51,165.45,4.97
wanshouxigong,2017-01-02 19:00:00,331.0,405.1023500353229,150.0,6.6,7.0,7.0,beijing_grid_303,-3.58,1018.59,66.57,151.66,4.34
wanshouxigong,2017-01-02 20:00:00,278.0,400.6599526286773,151.0,6.1,7.462763467743577,8.0,beijing_grid_303,-3.89,1018.31,67.64,134.54,4.03
wanshouxigong,2017-01-02 21:00:00,301.0,384.6728077800632,150.0,0.6,8.0,9.0,beijing_grid_303,-4.2,1018.02,68.7,116.45,4.11
wanshouxigong,2017-01-02 22:00:00,325.0,359.951593979972,156.0,0.6,8.0,10.0,beijing_grid_303,-4.32,1017.99,69.2,119.64,3.22
wanshouxigong,2017-01-02 23:00:00,315.0,343.36038217135206,152.0,5.9,7.0,10.0,beijing_grid_303,-4.43,1017.97,69.7,125.26,2.34
wanshouxigong,2017-01-03 00:00:00,291.0,337.7098508446947,147.0,5.8,7.0,8.0,beijing_grid_303,-4.54,1017.95,70.2,137.36,1.5
wanshouxigong,2017-01-03 01:00:00,289.0,343.0,153.0,6.7,8.0,9.0,beijing_grid_303,-2.04,1017.95,60.25,164.29,1.0
wanshouxigong,2017-01-03 02:00:00,343.0,353.0,173.0,8.2,8.0,13.0,beijing_grid_303,0.46,1017.95,50.3,210.16,0.95
wanshouxigong,2017-01-03 03:00:00,327.85299194695335,330.32487302108757,180.65639487164188,7.699047479775828,8.119942414010632,18.257137045855984,beijing_grid_303,2.97,1017.94,40.35,241.04,1.4
wanshouxigong,2017-01-03 04:00:00,285.0,290.0,180.0,6.3,9.0,23.0,beijing_grid_303,4.56,1017.43,36.61,263.44,1.35
wanshouxigong,2017-01-03 05:00:00,271.0,253.28159151074277,177.0,5.4,12.0,25.0,beijing_grid_303,6.16,1016.92,32.87,284.21,1.5
wanshouxigong,2017-01-03 06:00:00,267.0,288.0,167.0,4.8,20.0,22.0,beijing_grid_303,7.75,1016.41,29.12,299.55,1.81
wanshouxigong,2017-01-03 07:00:00,380.0,423.0,199.0,6.2,19.0,24.0,beijing_grid_303,5.42,1016.36,36.21,222.02,2.36
wanshouxigong,2017-01-03 08:00:00,438.0,438.0,202.0,6.7,19.0,22.0,beijing_grid_303,3.08,1016.32,43.3,199.76,4.67
wanshouxigong,2017-01-03 09:00:00,399.0,401.0,199.0,6.6,9.0,19.0,beijing_grid_303,0.75,1016.27,50.39,192.65,7.21
wanshouxigong,2017-01-03 10:00:00,425.0,469.0,193.0,7.1,6.0,13.0,beijing_grid_303,0.17,1016.85,52.07,202.03,6.31
wanshouxigong,2017-01-03 11:00:00,519.0,598.0,195.0,7.8,7.0,12.0,beijing_grid_303,-0.41,1017.42,53.75,214.08,5.63
wanshouxigong,2017-01-03 12:00:00,579.0,654.0,192.0,8.6,7.0,9.0,beijing_grid_303,-0.99,1018.0,55.44,228.57,5.26
