stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
xizhimenbei,2017-01-01 14:00:00,514.0,86.38542941266492,171.0,8.3,8.0,15.0,beijing_grid_283,-2.0,1014.44,49.13,322.85,5.59
xizhimenbei,2017-01-01 15:00:00,508.0,86.25552238868742,161.0,0.8,8.0,15.0,beijing_grid_283,-1.69,1014.69,46.57,327.35,8.39
xizhimenbei,2017-01-01 16:00:00,497.0,86.61027892806752,164.0,7.6,8.0,14.0,beijing_grid_283,-1.59,1014.86,45.46,328.39,10.09
xizhimenbei,2017-01-01 17:00:00,500.0,87.44969903080519,155.0,7.8,8.0,14.0,beijing_grid_283,-1.49,1015.02,44.35,329.12,11.8
xizhimenbei,2017-01-01 18:00:00,480.0,88.77378269690044,147.0,7.8,8.0,14.0,beijing_grid_283,-1.39,1015.19,43.25,329.68,13.5
xizhimenbei,2017-01-01 19:00:00,361.0,90.58252992635327,146.0,6.3,7.0,13.0,beijing_grid_283,-1.71,1015.42,43.9,330.61,13.22
xizhimenbei,2017-01-01 20:00:00,159.0,92.8759407191637,116.0,3.1,8.0,12.0,beijing_grid_283,-2.04,1015.66,44.55,331.58,12.95
xizhimenbei,2017-01-01 21:00:00,105.0,95.65401507533167,95.0,1.9,8.0,12.0,beijing_grid_283,-2.36,1015.89,45.2,332.6,12.68
xizhimenbei,2017-01-01 22:00:00,59.0,98.91675299485726,83.0,1.3,9.0,11.0,beijing_grid_283,-2.62,1016.3,45.0,331.97,11.83
xizhimenbei,2017-01-01 23:00:00,36.0,102.66415447774044,82.0,0.1,10.0,11.0,beijing_grid_283,-2.88,1016.71,44.79,331.25,10.98
xizhimenbei,2017-01-02 00:00:00,27.0,106.89621952398117,79.0,0.1,10.0,11.0,beijing_grid_283,-3.13,1017.12,44.59,330.4,10.13
xizhimenbei,2017-01-02 01:00:00,28.0,111.6129481335795,70.0,0.9,14.0,13.0,beijing_grid_283,-0.85,1017.3,38.12,330.91,8.9
xizhimenbei,2017-01-02 02:00:00,18.0,116.8143403065354,51.0,0.7,33.0,13.0,beijing_grid_283,1.43,1017.49,31.66,331.59,7.66
xizhimenbei,2017-01-02 03:00:00,18.0,122.5003960428489,44.0,0.6,45.0,11.0,beijing_grid_283,3.71,1017.67,25.2,332.52,6.43
xizhimenbei,2017-01-02 04:00:00,144.0,128.67111534251995,105.0,3.3,34.0,18.0,beijing_grid_283,4.55,1017.14,24.05,332.05,2.6
xizhimenbei,2017-01-02 05:00:00,201.0,135.32649820554863,112.0,3.3,47.0,24.0,beijing_grid_283,5.4,1016.61,22.9,154.52,1.24
xizhimenbei,2017-01-02 06:00:00,190.0,142.46654463193488,116.0,3.1,49.0,21.0,beijing_grid_283,6.25,1016.08,21.75,153.25,5.07
xizhimenbei,2017-01-02 07:00:00,267.0,150.09125462167867,137.0,0.4,45.0,24.0,beijing_grid_283,4.19,1015.86,28.44,163.05,6.1
