stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
yanqing,2017-01-30 16:00:00,79.0,112.28565341973811,69.0,2.4,15.0,34.0,yanqing,-8.8,970.8,35,305.0,0.8
yanqing,2017-01-30 17:00:00,78.0,94.0,61.0,2.3,19.0,36.0,yanqing,-8.7,970.6,37,287.0,0.7
yanqing,2017-01-30 18:00:00,86.0,81.32302743605047,58.0,2.6,17.0,31.0,yanqing,-8.2,970.6,31,146.0,1.1
yanqing,2017-01-30 19:00:00,66.0,74.61083296394314,63.0,0.2,12.0,28.0,yanqing,-8.3,969.9,29,243.0,0.7
yanqing,2017-01-30 20:00:00,73.0,76.0,55.0,0.2,12.983079821802566,27.0,yanqing,-9.4,969.3,35,49.0,0.8
yanqing,2017-01-30 21:00:00,94.0,85.84662578027466,48.0,2.8,18.0,30.0,yanqing,-10.6,968.8,36,79.0,1.2
yanqing,2017-01-30 22:00:00,87.0,96.0,45.0,2.8,22.0,26.0,yanqing,-11.1,968.6,35,49.0,0.8
yanqing,2017-01-30 23:00:00,89.0,98.30941235440883,47.0,3.2,17.0,24.0,yanqing,-12.1,968.7,46,45.0,0.6
yanqing,2017-01-31 00:00:00,101.0,111.0,54.0,3.7,16.0,24.0,yanqing,-12.7,969.0,52,285.0,0.6
yanqing,2017-01-31 01:00:00,121.0,142.0,54.0,4.1,23.0,38.0,yanqing,-10.3,969.1,45,301.0,0.5
yanqing,2017-01-31 02:00:00,125.0,129.52801179477444,50.0,2.8,35.0,53.0,yanqing,-6.3,968.8,32,4.0,0.8
yanqing,2017-01-31 03:00:00,94.0,95.0,42.0,2.2,48.0,47.0,yanqing,-3.7,968.6,26,333.0,0.9
yanqing,2017-01-31 04:00:00,77.0,70.12882932462578,32.0,1.5,60.0,39.0,yanqing,-2.1,967.8,20,4.0,1.1
yanqing,2017-01-31 05:00:00,69.0,55.65260962064312,30.0,1.4,67.0,35.0,yanqing,0.5,966.4,17,25.0,1.1
yanqing,2017-01-31 06:00:00,36.0,56.0,16.0,0.7,79.0,20.0,yanqing,2.5,965.7,12,234.0,3.8
yanqing,2017-01-31 07:00:00,27.0,62.0,12.0,0.4,85.0,14.0,yanqing,2.8,965.6,12,234.0,3.6
yanqing,2017-01-31 08:00:00,14.0,29.0,12.0,0.3,86.0,11.0,yanqing,3.2,965.9,10,69.0,1.5
yanqing,2017-01-31 09:00:00,13.0,29.0,10.0,0.2,77.0,3.0,yanqing,1.2,966.7,10,49.0,2.0
yanqing,2017-01-31 10:00:00,7.0,35.0,16.0,0.2,71.0,4.0,yanqing,-1.4,968.0,15,27.0,1.4
yanqing,2017-01-31 11:00:00,10.0,37.0,25.0,0.3,63.0,4.0,yanqing,-2.3,969.0,20,354.0,1.7
yanqing,2017-01-31 12:00:00,14.0,33.0,16.0,0.2,72.0,3.0,yanqing,-2.3,970.0,20,5.0,2.7
yanqing,2017-01-31 13:00:00,8.0,37.0,8.0,0.1,79.0,2.0,yanqing,-2.5,970.9,20,355.0,3.2
yanqing,2017-01-31 14:00:00,7.0,34.0,9.0,0.2,76.0,4.0,yanqing,-4.1,971.8,21,124.0,2.3
yanqing,2017-01-31 15:00:00,14.0,55.0,22.0,0.4,57.0,9.0,yanqing,-5.0,972.9,27,146.0,1.7
yanqing,2017-01-31 16:00:00,26.0,52.0,26.0,0.7,45.0,15.0,yanqing,-6.1,973.7,30,186.0,1.5
yanqing,2017-01-31 17:00:00,20.0,45.0,25.0,0.7,45.0,15.0,yanqing,-6.5,974.2,30,178.0,1.9
yanqing,2017-01-31 18:00:00,22.0,43.0,20.0,0.8,48.0,16.0,yanqing,-7.2,974.8,30,178.0,1.9
yanqing,2017-01-31 19:00:00,17.0,32.0,18.0,0.7,48.0,14.0,yanqing,-7.8,975.3,30,193.0,2.3
yanqing,2017-01-31 20:00:00,16.0,24.0,17.0,0.9,49.0,14.0,yanqing,-8.6,975.6,33,186.0,1.2
yanqing,2017-01-31 21:00:00,13.0,23.0,12.0,0.5,54.0,9.0,yanqing,-9.3,976.2,34,289.0,1.1
yanqing,2017-01-31 22:00:00,11.0,22.0,13.0,0.5,54.0,10.0,yanqing,-9.4,976.7,35,191.0,1.4
yanqing,2017-01-31 23:00:00,17.0,44.0,23.0,1.1,44.0,18.0,yanqing,-11.7,977.7,44,216.0,1.4
yanqing,2017-02-01 00:00:00,41.0,80.0,37.0,2.1,24.0,29.0,yanqing,-13.0,978.9,57,248.0,0.8
yanqing,2017-02-01 01:00:00,64.0,60.1100494140089,30.0,1.8,36.0,40.0,yanqing,-8.9,979.5,36,229.0,1.8
yanqing,2017-02-01 02:00:00,24.0,27.0,16.0,0.8,60.0,20.0,yanqing,-6.4,979.5,26,246.0,2.4
yanqing,2017-02-01 03:00:00,19.0,27.0,10.0,0.5,72.0,15.0,yanqing,-4.7,979.1,21,228.0,3.5
yanqing,2017-02-01 04:00:00,17.0,18.0,10.0,0.6,77.0,15.0,yanqing,-3.3,978.4,17,234.0,4.2
yanqing,2017-02-01 05:00:00,16.0,21.0,10.0,0.6,82.0,16.0,yanqing,-1.8,977.1,13,235.0,3.1
yanqing,2017-02-01 06:00:00,12.0,18.0,8.0,0.5,86.0,13.0,yanqing,-0.5,976.1,10,229.0,3.2
yanqing,2017-02-01 07:00:00,13.0,20.41095143153061,9.0,0.4,89.0,11.0,yanqing,0.4,975.6,8,234.0,3.3
yanqing,2017-02-01 08:00:00,10.0,27.0,10.0,0.5,89.0,12.0,yanqing,0.8,975.3,8,241.0,2.8
yanqing,2017-02-01 09:00:00,17.0,35.0,16.0,0.6,85.0,17.0,yanqing,-0.1,974.9,9,218.0,2.1
