stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
yongledian,2017-01-01 14:00:00,329.0,90.46508016436798,130.0,5.5,6.0,12.0,beijing_grid_385,-2.8,1023.05,73.14,285.78,5.66
yongledian,2017-01-01 15:00:00,317.0,99.49704735003455,128.0,5.5,7.0,10.0,beijing_grid_385,-2.89,1023.23,75.17,294.37,6.42
yongledian,2017-01-01 16:00:00,326.0,111.09590155699972,133.0,0.6,7.0,11.0,beijing_grid_385,-2.65,1023.29,67.39,315.35,7.72
yongledian,2017-01-01 17:00:00,345.0,125.26164278526352,142.0,6.5,6.0,11.0,beijing_grid_385,-2.4,1023.34,59.61,329.04,9.71
yongledian,2017-01-01 18:00:00,356.0,141.99427103482589,146.0,6.7,5.0,8.0,beijing_grid_385,-2.16,1023.4,51.82,337.74,12.07
yongledian,2017-01-01 19:00:00,365.0,161.29378630568687,153.0,0.7,5.0,8.0,beijing_grid_385,-2.26,1023.66,49.75,342.16,12.83
yongledian,2017-01-01 20:00:00,362.0,183.1601885978464,153.0,6.7,3.0,9.0,beijing_grid_385,-2.37,1023.92,47.68,346.08,13.65
yongledian,2017-01-01 21:00:00,353.0,207.59347791130455,144.0,6.5,2.0,8.0,beijing_grid_385,-2.47,1024.17,45.61,349.53,14.53
yongledian,2017-01-01 22:00:00,340.0,234.59365424606136,142.0,6.6,2.0,6.0,beijing_grid_385,-2.74,1024.66,45.51,348.11,13.54
yongledian,2017-01-01 23:00:00,294.0,258.9001601056067,133.0,6.7,2.0,5.0,beijing_grid_385,-3.01,1025.15,45.4,346.45,12.57
yongledian,2017-01-02 00:00:00,272.0,275.2524379934307,126.0,6.6,2.0,4.0,beijing_grid_385,-3.28,1025.64,45.3,344.53,11.6
yongledian,2017-01-02 01:00:00,263.0,283.6504879095333,117.0,6.6,5.0,4.0,beijing_grid_385,-1.0,1025.89,39.16,339.31,11.76
yongledian,2017-01-02 02:00:00,275.0,284.0943098539146,116.0,6.5,15.0,8.0,beijing_grid_385,1.28,1026.13,33.01,334.27,12.01
yongledian,2017-01-02 03:00:00,300.0,276.5839038265744,117.0,6.6,24.0,16.0,beijing_grid_385,3.55,1026.37,26.86,329.47,12.35
yongledian,2017-01-02 04:00:00,304.0,261.1192698275129,112.0,5.9,38.0,26.0,beijing_grid_385,4.44,1025.93,25.72,320.41,10.57
yongledian,2017-01-02 05:00:00,270.0,237.70040785672998,115.0,5.3,48.0,34.0,beijing_grid_385,5.32,1025.49,24.57,308.12,9.15
yongledian,2017-01-02 06:00:00,3.0,206.3273179142256,96.53861935417609,0.4,52.0,23.0,beijing_grid_385,6.2,1025.05,23.42,292.37,8.28
