stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
yufa,2017-01-01 14:00:00,285.0,322.0,87.0,5.2,5.0,14.0,beijing_grid_278,-2.53,1021.1,74.41,254.6,4.34
yufa,2017-01-01 15:00:00,302.0,319.0,87.0,5.3,5.0,13.0,beijing_grid_278,-2.79,1021.27,77.86,265.27,4.08
yufa,2017-01-01 16:00:00,302.0,350.0,94.0,5.7,5.0,16.0,beijing_grid_278,-3.06,1021.4,75.0,286.62,2.85
yufa,2017-01-01 17:00:00,316.0,353.0,95.0,5.8,5.0,16.0,beijing_grid_278,-3.32,1021.54,72.14,324.73,2.41
yufa,2017-01-01 18:00:00,336.0,360.0,97.0,5.9,5.0,17.0,beijing_grid_278,-3.59,1021.68,69.27,359.05,3.12
yufa,2017-01-01 19:00:00,319.0,324.0,100.0,6.1,5.0,18.0,beijing_grid_278,-3.92,1021.97,68.32,357.55,3.21
yufa,2017-01-01 20:00:00,312.0,329.1875,95.0,5.8,5.0,14.0,beijing_grid_278,-4.24,1022.26,67.36,356.14,3.3
yufa,2017-01-01 21:00:00,300.0,334.375,94.0,5.9,6.0,11.0,beijing_grid_278,-4.56,1022.55,66.4,354.81,3.39
yufa,2017-01-01 22:00:00,278.0,339.5625,93.0,0.6,6.0,10.0,beijing_grid_278,-4.7,1023.05,65.42,352.73,2.84
yufa,2017-01-01 23:00:00,276.0,344.75,92.0,6.2,6.0,9.0,beijing_grid_278,-4.84,1023.56,64.44,349.67,2.3
yufa,2017-01-02 00:00:00,253.0,349.9375,88.0,6.4,7.0,8.0,beijing_grid_278,-4.98,1024.06,63.46,344.74,1.76
yufa,2017-01-02 01:00:00,253.0,355.125,83.0,6.5,10.0,7.0,beijing_grid_278,-2.11,1024.32,52.5,282.29,2.45
yufa,2017-01-02 02:00:00,287.0,360.3125,84.0,6.6,13.0,8.0,beijing_grid_278,0.76,1024.59,41.54,261.31,4.37
yufa,2017-01-02 03:00:00,309.0,365.5,84.0,6.8,20.0,10.0,beijing_grid_278,3.63,1024.85,30.58,253.58,6.52
yufa,2017-01-02 04:00:00,351.0,370.6875,93.0,6.5,23.0,14.0,beijing_grid_278,4.51,1024.31,30.72,249.26,7.74
yufa,2017-01-02 05:00:00,385.0,375.875,100.0,6.8,30.0,16.0,beijing_grid_278,5.4,1023.77,30.87,246.13,9.01
yufa,2017-01-02 06:00:00,377.0,381.0625,106.0,6.5,33.0,20.0,beijing_grid_278,6.28,1023.24,31.01,243.78,10.29
yufa,2017-01-02 07:00:00,356.0,386.25,102.0,5.9,49.0,18.0,beijing_grid_278,4.24,1023.07,39.53,239.38,9.96
yufa,2017-01-02 08:00:00,364.0,391.4375,110.0,5.7,39.0,16.0,beijing_grid_278,2.19,1022.9,48.05,234.71,9.7
yufa,2017-01-02 09:00:00,371.0,396.625,116.0,5.6,22.0,12.0,beijing_grid_278,0.14,1022.73,56.56,229.82,9.51
yufa,2017-01-02 10:00:00,362.0,401.8125,127.0,5.5,8.0,9.0,beijing_grid_278,-0.42,1022.8,59.28,226.01,10.0
yufa,2017-01-02 11:00:00,403.0,407.0,129.0,0.6,8.0,9.0,beijing_grid_278,-0.99,1022.87,62.0,222.58,10.54
yufa,2017-01-02 12:00:00,429.0,466.0,137.0,6.6,7.0,8.0,beijing_grid_278,-1.56,1022.93,64.72,219.49,11.1
yufa,2017-01-02 13:00:00,415.0,451.0,129.0,6.6,6.0,11.0,beijing_grid_278,-1.8,1022.54,63.45,217.85,11.44
yufa,2017-01-02 14:00:00,414.0,440.0,121.0,6.7,7.0,27.0,beijing_grid_278,-2.03,1022.14,62.18,216.31,11.79
yufa,2017-01-02 15:00:00,412.0,447.3333333333333,115.0,6.8,7.0,18.0,beijing_grid_278,-2.26,1021.74,60.91,214.86,12.14
yufa,2017-01-02 16:00:00,437.0,454.6666666666667,117.0,7.4,8.0,25.0,beijing_grid_278,-2.38,1021.47,60.24,214.2,11.29
yufa,2017-01-02 17:00:00,445.0,462.0,105.0,7.2,7.0,18.0,beijing_grid_278,-2.5,1021.19,59.58,213.44,10.45
yufa,2017-01-02 18:00:00,444.0,469.3333333333333,91.0,7.3,7.0,10.0,beijing_grid_278,-2.62,1020.91,58.91,212.54,9.61
yufa,2017-01-02 19:00:00,441.0,476.6666666666667,83.0,6.8,6.0,9.0,beijing_grid_278,-2.99,1020.57,60.83,208.55,8.26
yufa,2017-01-02 20:00:00,441.0,484.0,81.0,6.9,8.0,8.0,beijing_grid_278,-3.36,1020.22,62.75,203.05,6.98
yufa,2017-01-02 21:00:00,442.0,491.3333333333333,70.0,7.4,7.0,6.0,beijing_grid_278,-3.74,1019.88,64.67,195.19,5.79
yufa,2017-01-02 22:00:00,448.0,498.6666666666667,68.0,7.8,7.0,5.0,beijing_grid_278,-3.93,1019.9,67.35,194.07,4.93
yufa,2017-01-02 23:00:00,484.0,506.0,74.0,7.4,7.0,6.0,beijing_grid_278,-4.12,1019.91,70.02,192.47,4.08
yufa,2017-01-03 00:00:00,520.0,535.0,94.0,7.6,7.0,9.0,beijing_grid_278,-4.31,1019.93,72.69,190.03,3.23
yufa,2017-01-03 01:00:00,429.0,501.25,92.0,7.8,7.0,11.0,beijing_grid_278,-2.03,1019.99,62.95,191.17,2.78
yufa,2017-01-03 02:00:00,397.0,467.5,86.0,7.2,6.0,15.0,beijing_grid_278,0.24,1020.04,53.21,192.74,2.34
yufa,2017-01-03 03:00:00,348.0,433.75,86.0,6.8,9.0,21.0,beijing_grid_278,2.52,1020.1,43.47,195.05,1.9
yufa,2017-01-03 04:00:00,384.0,400.0,93.0,7.2,9.0,23.0,beijing_grid_278,3.8,1019.62,40.01,191.68,2.08
yufa,2017-01-03 05:00:00,386.0,491.0,94.0,7.2,15.0,22.0,beijing_grid_278,5.08,1019.14,36.54,188.86,2.27
yufa,2017-01-03 06:00:00,479.0,513.0,106.0,7.3,20.0,32.0,beijing_grid_278,6.36,1018.67,33.08,186.48,2.46
yufa,2017-01-03 07:00:00,566.0,534.25,124.0,7.2,19.0,34.0,beijing_grid_278,4.29,1018.61,39.81,186.49,3.95
yufa,2017-01-03 08:00:00,595.0,555.5,129.0,7.4,14.0,29.0,beijing_grid_278,2.22,1018.55,46.54,186.5,5.43
yufa,2017-01-03 09:00:00,604.0,576.75,128.0,7.5,8.0,21.0,beijing_grid_278,0.15,1018.49,53.27,186.5,6.92
yufa,2017-01-03 10:00:00,544.0,598.0,126.0,7.4,4.0,14.0,beijing_grid_278,-0.06,1019.04,54.67,197.49,7.22
yufa,2017-01-03 11:00:00,489.0,581.0,117.0,7.5,5.0,17.0,beijing_grid_278,-0.27,1019.6,56.06,207.28,7.76
yufa,2017-01-03 12:00:00,510.0,579.0,109.0,7.8,7.0,19.0,beijing_grid_278,-0.49,1020.16,57.46,215.58,8.5
yufa,2017-01-03 13:00:00,540.0,617.0,103.0,8.1,7.0,17.0,beijing_grid_278,-0.76,1020.48,59.35,221.86,8.06
yufa,2017-01-03 14:00:00,506.0,596.0,101.0,8.3,7.0,17.0,beijing_grid_278,-1.03,1020.79,61.25,228.78,7.72
yufa,2017-01-03 15:00:00,422.0,427.0,111.0,0.8,7.0,21.0,beijing_grid_278,-1.31,1021.11,63.14,236.21,7.51
yufa,2017-01-03 16:00:00,360.0,422.0769230769231,111.0,7.8,7.0,20.0,beijing_grid_278,-1.69,1021.17,68.32,235.6,5.43
yufa,2017-01-03 17:00:00,335.0,417.15384615384613,109.0,7.9,7.0,19.0,beijing_grid_278,-2.07,1021.23,73.49,234.23,3.35
yufa,2017-01-03 18:00:00,315.0,412.2307692307692,108.0,7.9,7.0,18.0,beijing_grid_278,-2.46,1021.29,78.67,228.46,1.29
yufa,2017-01-03 19:00:00,298.0,407.3076923076923,107.0,7.9,7.0,17.0,beijing_grid_278,-2.52,1021.35,77.93,138.38,1.35
