stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
yungang,2017-01-01 14:00:00,415.0,495.0,136.0,6.4,2.0,8.0,beijing_grid_239,-1.68,1005.83,48.64,310.21,5.27
yungang,2017-01-01 15:00:00,423.0,491.0,131.0,6.5,2.0,7.0,beijing_grid_239,-1.64,1006.02,47.82,318.85,6.69
yungang,2017-01-01 16:00:00,449.0,502.0,127.0,6.9,3.0,8.0,beijing_grid_239,-1.61,1006.14,46.22,323.26,7.8
yungang,2017-01-01 17:00:00,469.0,462.5,122.0,6.8,3.0,7.0,beijing_grid_239,-1.58,1006.26,44.63,326.55,8.94
yungang,2017-01-01 18:00:00,421.0,423.0,119.0,6.8,3.0,5.0,beijing_grid_239,-1.54,1006.39,43.04,329.1,10.1
yungang,2017-01-01 19:00:00,423.0,411.42105263157896,111.0,6.3,3.0,5.0,beijing_grid_239,-1.8,1006.62,43.68,326.48,10.1
yungang,2017-01-01 20:00:00,394.0,399.8421052631579,116.0,6.6,3.0,5.0,beijing_grid_239,-2.06,1006.86,44.31,323.86,10.13
yungang,2017-01-01 21:00:00,368.0,388.2631578947368,102.0,6.1,3.0,5.0,beijing_grid_239,-2.31,1007.1,44.95,321.26,10.17
yungang,2017-01-01 22:00:00,344.0,376.6842105263158,108.0,6.8,4.0,4.0,beijing_grid_239,-2.77,1007.57,46.33,318.18,8.71
yungang,2017-01-01 23:00:00,347.0,365.10526315789474,111.0,7.1,4.0,5.0,beijing_grid_239,-3.23,1008.03,47.71,313.88,7.29
yungang,2017-01-02 00:00:00,317.0,353.5263157894737,106.0,7.3,4.0,5.0,beijing_grid_239,-3.69,1008.5,49.09,307.55,5.93
yungang,2017-01-02 01:00:00,327.0,341.9473684210526,102.0,7.4,6.0,7.0,beijing_grid_239,-1.35,1008.73,42.1,291.66,4.9
yungang,2017-01-02 02:00:00,341.0,330.36842105263156,109.0,7.6,13.0,10.0,beijing_grid_239,0.99,1008.97,35.1,270.02,4.4
yungang,2017-01-02 03:00:00,351.0,318.7894736842105,126.0,7.2,28.0,15.0,beijing_grid_239,3.32,1009.21,28.11,247.02,4.62
yungang,2017-01-02 04:00:00,368.0,307.2105263157895,120.0,6.4,33.0,25.0,beijing_grid_239,4.01,1008.7,27.83,223.95,4.82
yungang,2017-01-02 05:00:00,375.0,295.63157894736844,114.0,0.6,43.0,29.0,beijing_grid_239,4.69,1008.19,27.55,205.36,5.68
yungang,2017-01-02 06:00:00,342.0,284.0526315789474,120.0,5.3,45.0,32.0,beijing_grid_239,5.37,1007.68,27.27,192.64,6.97
yungang,2017-01-02 07:00:00,323.0,272.4736842105263,102.0,0.4,60.0,32.0,beijing_grid_239,3.39,1007.47,34.91,203.12,7.15
yungang,2017-01-02 08:00:00,254.0,260.89473684210526,86.0,3.1,66.0,27.0,beijing_grid_239,1.41,1007.27,42.56,212.77,7.56
yungang,2017-01-02 09:00:00,213.0,249.3157894736842,83.0,2.5,55.0,21.0,beijing_grid_239,-0.57,1007.06,50.2,221.23,8.15
yungang,2017-01-02 10:00:00,206.0,237.73684210526315,95.0,2.8,40.0,19.0,beijing_grid_239,-0.84,1007.08,51.89,227.14,8.1
yungang,2017-01-02 11:00:00,204.0,226.1578947368421,73.0,2.1,47.0,18.0,beijing_grid_239,-1.1,1007.09,53.59,233.05,8.14
yungang,2017-01-02 12:00:00,162.0,214.57894736842104,78.0,2.1,36.0,19.0,beijing_grid_239,-1.37,1007.1,55.28,238.84,8.27
yungang,2017-01-02 13:00:00,196.0,203.0,111.0,3.2,11.0,19.0,beijing_grid_239,-1.49,1006.67,56.36,239.46,8.22
yungang,2017-01-02 14:00:00,236.0,215.38888888888889,101.0,3.3,12.0,19.0,beijing_grid_239,-1.61,1006.25,57.43,240.09,8.17
yungang,2017-01-02 15:00:00,236.0,227.77777777777777,116.0,3.9,6.0,20.0,beijing_grid_239,-1.72,1005.82,58.51,240.72,8.13
yungang,2017-01-02 16:00:00,253.0,240.16666666666669,120.0,4.1,3.0,21.0,beijing_grid_239,-2.09,1005.6,59.13,239.13,6.49
yungang,2017-01-02 17:00:00,258.0,252.55555555555554,119.0,4.2,3.0,17.0,beijing_grid_239,-2.45,1005.39,59.76,236.48,4.87
yungang,2017-01-02 18:00:00,242.0,264.94444444444446,109.0,0.4,2.0,14.0,beijing_grid_239,-2.81,1005.17,60.38,231.2,3.27
yungang,2017-01-02 19:00:00,223.0,277.33333333333337,115.0,4.3,2.0,17.0,beijing_grid_239,-3.11,1004.89,61.74,228.18,1.7
yungang,2017-01-02 20:00:00,215.0,289.72222222222223,99.0,3.7,2.0,16.0,beijing_grid_239,-3.4,1004.62,63.09,178.01,0.22
yungang,2017-01-02 21:00:00,193.0,302.1111111111111,92.0,3.5,2.0,12.0,beijing_grid_239,-3.7,1004.34,64.45,61.86,1.46
yungang,2017-01-02 22:00:00,177.0,314.5,70.0,2.8,10.0,13.0,beijing_grid_239,-3.71,1004.37,63.93,27.57,1.13
yungang,2017-01-02 23:00:00,157.0,326.8888888888889,79.0,2.9,8.0,16.0,beijing_grid_239,-3.73,1004.41,63.42,349.64,1.34
yungang,2017-01-03 00:00:00,154.0,339.27777777777777,75.0,2.7,8.0,14.0,beijing_grid_239,-3.75,1004.44,62.9,328.36,1.91
yungang,2017-01-03 01:00:00,151.0,351.6666666666667,68.0,2.7,14.0,15.0,beijing_grid_239,-1.18,1004.47,54.18,310.08,1.76
yungang,2017-01-03 02:00:00,166.0,364.05555555555554,67.0,0.3,16.0,20.0,beijing_grid_239,1.39,1004.51,45.46,290.61,1.8
yungang,2017-01-03 03:00:00,185.0,376.44444444444446,65.0,3.1,29.0,25.0,beijing_grid_239,3.96,1004.54,36.74,273.84,2.03
yungang,2017-01-03 04:00:00,204.0,388.83333333333337,86.0,3.8499999999999996,42.0,26.5,beijing_grid_239,5.25,1004.12,33.93,254.89,1.2
yungang,2017-01-03 05:00:00,241.0,401.22222222222223,107.0,4.6,55.0,28.0,beijing_grid_239,6.54,1003.7,31.13,200.68,0.81
yungang,2017-01-03 06:00:00,331.0,413.6111111111111,148.0,0.6,58.0,36.0,beijing_grid_239,7.82,1003.28,28.32,154.27,1.34
yungang,2017-01-03 07:00:00,426.0,426.0,164.0,6.6,36.0,36.0,beijing_grid_239,5.27,1003.24,35.37,193.49,1.91
yungang,2017-01-03 08:00:00,529.0,469.25,183.0,7.7,26.0,38.0,beijing_grid_239,2.73,1003.2,42.43,210.39,2.92
yungang,2017-01-03 09:00:00,483.0,512.5,187.0,7.3,14.0,31.0,beijing_grid_239,0.18,1003.17,49.48,218.3,4.04
yungang,2017-01-03 10:00:00,436.0,555.75,180.0,6.5,6.0,23.0,beijing_grid_239,-0.04,1003.7,49.64,235.49,4.05
yungang,2017-01-03 11:00:00,527.0,599.0,190.0,7.9,4.0,21.0,beijing_grid_239,-0.27,1004.23,49.81,251.2,4.4
yungang,2017-01-03 12:00:00,644.0,719.0,185.0,9.4,5.0,16.0,beijing_grid_239,-0.49,1004.77,49.97,263.79,5.03
yungang,2017-01-03 13:00:00,618.0,662.0,182.0,9.6,5.0,13.0,beijing_grid_239,-0.74,1005.07,50.72,259.61,4.62
yungang,2017-01-03 14:00:00,574.0,726.0,167.0,9.8,5.0,11.0,beijing_grid_239,-0.99,1005.37,51.46,254.64,4.23
yungang,2017-01-03 15:00:00,580.0,696.0,155.0,10.2,5.0,10.0,beijing_grid_239,-1.25,1005.68,52.21,248.72,3.88
yungang,2017-01-03 16:00:00,611.0,742.0,148.0,10.3,5.0,10.0,beijing_grid_239,-1.46,1005.8,57.39,262.75,2.4
yungang,2017-01-03 17:00:00,633.0,716.0,139.0,11.2,6.0,7.0,beijing_grid_239,-1.67,1005.92,62.57,305.22,1.39
yungang,2017-01-03 18:00:00,664.0,737.0,134.0,11.8,6.0,6.0,beijing_grid_239,-1.88,1006.04,67.75,3.02,1.91
yungang,2017-01-03 19:00:00,639.0,652.0,129.0,12.2,6.0,6.0,beijing_grid_239,-2.13,1006.09,68.02,34.0,1.95
yungang,2017-01-03 20:00:00,644.0,705.0,116.0,11.8,5.0,4.0,beijing_grid_239,-2.39,1006.15,68.29,57.49,2.47
yungang,2017-01-03 21:00:00,635.0,617.8,111.0,11.5,5.0,3.0,beijing_grid_239,-2.65,1006.2,68.56,71.37,3.25
yungang,2017-01-03 22:00:00,363.0,530.6,112.0,7.6,2.0,6.0,beijing_grid_239,-2.89,1006.46,67.45,82.13,2.5
yungang,2017-01-03 23:00:00,246.0,443.4,106.0,5.5,2.0,7.0,beijing_grid_239,-3.13,1006.72,66.34,100.58,1.92
